basis_folder,species,formula,mol_energy_hartree,atomization_energy_hartree,atomization_energy_kcal_mol
F12_aug-cc-pV(5+d)Z,be_h,BeH,-15.24558131,0.08092944999999929,50.78399660571551
F12_aug-cc-pV(5+d)Z,c2_h2,C2H2,-77.32827068,0.6461544400000037,405.4680328079392
F12_aug-cc-pV(5+d)Z,c2_h4,C2H4,-78.58106731,0.8989602900000051,564.106098781515
F12_aug-cc-pV(5+d)Z,c_h,CH,-38.47507257,0.13401445000000223,84.09533703635701
F12_aug-cc-pV(5+d)Z,c_h2_singlet,CH2,-39.12977281,0.2887193000000039,181.17409609486884
F12_aug-cc-pV(5+d)Z,c_h2_triplet,CH2,-39.14510452,0.304051010000002,190.79488937345562
F12_aug-cc-pV(5+d)Z,c_h3,CH3,-39.83175716,0.4907082600000052,307.9240821510222
F12_aug-cc-pV(5+d)Z,c_h3_cl,CClH3,-500.09120466,0.6321551800000407,396.68336452808984
F12_aug-cc-pV(5+d)Z,c_h4,CH4,-40.51120713,0.6701628400000033,420.5335312650355
F12_aug-cc-pV(5+d)Z,c_n,CN,-92.71341495,0.2874424400000066,180.37285434781833
F12_aug-cc-pV(5+d)Z,c_o,CO,-113.31672906,0.41351410000001465,259.48401540868537
F12_aug-cc-pV(5+d)Z,c_o2,CO2,-188.58716754,0.6218003500000009,390.18561060075206
F12_aug-cc-pV(5+d)Z,c_s,CS,-436.19327625,0.2742667200000142,172.1049652202204
F12_aug-cc-pV(5+d)Z,cl2,Cl2,-920.33159403,0.09559287000001859,59.985431577893955
F12_aug-cc-pV(5+d)Z,cl_f,ClF,-559.94620655,0.10017354000001433,62.8598454004479
F12_aug-cc-pV(5+d)Z,cl_o,ClO,-535.28359824,0.1034454299999652,64.9129873735094
F12_aug-cc-pV(5+d)Z,f2,F2,-199.51722482,0.06115995999999768,38.37845433331878
F12_aug-cc-pV(5+d)Z,h2_c_o,CH2O,-114.5003058,0.5971000600000167,374.6859446136559
F12_aug-cc-pV(5+d)Z,h2_o,H2O,-76.43354783,0.3714048199999951,233.06004326269723
F12_aug-cc-pV(5+d)Z,h2_o2,H2O2,-151.55286257,0.42856733000002123,268.93005984894035
F12_aug-cc-pV(5+d)Z,h2_s,H2S,-399.37183994,0.2939023599999473,184.4265153494708
F12_aug-cc-pV(5+d)Z,h3_c_o_h,CH4O,-115.72193969,0.8187431700000047,513.7690959994583
F12_aug-cc-pV(5+d)Z,h3_c_s_h,CH4S,-438.67765062,0.7586595299999885,476.06604266325144
F12_aug-cc-pV(5+d)Z,h_c_n,CHN,-93.42498201,0.4990141100000045,313.13608171616875
F12_aug-cc-pV(5+d)Z,h_c_o,CHO,-113.848193,0.44498265000000004,279.23082866870453
F12_aug-cc-pV(5+d)Z,h_cl,ClH,-460.78998705,0.17199107999999796,107.92603215434329
F12_aug-cc-pV(5+d)Z,h_f,FH,-100.45391598,0.22588816000001088,141.7469604786882
F12_aug-cc-pV(5+d)Z,h_o_cl,ClHO,-535.94533388,0.2651856800000587,166.40652658590238
F12_aug-cc-pV(5+d)Z,li2,Li2,-14.98975577,0.03891105000000117,24.41705252074372
F12_aug-cc-pV(5+d)Z,li_f,FLi,-107.42601809,0.22256330000000446,139.66057932875074
F12_aug-cc-pV(5+d)Z,li_h,HLi,-8.06805664,0.0926388900000008,58.131781141689885
F12_aug-cc-pV(5+d)Z,n2,N2,-109.53309693,0.3632773700000058,227.95999138772984
F12_aug-cc-pV(5+d)Z,n_h,HN,-55.2171269,0.1322217299999977,82.97038825201177
F12_aug-cc-pV(5+d)Z,n_h2,H2N,-55.87566804,0.29076748000000663,182.4593484494571
F12_aug-cc-pV(5+d)Z,n_h3,H3N,-56.55984599,0.47495004000000307,298.03564980665027
F12_aug-cc-pV(5+d)Z,n_o,NO,-129.88964396,0.24258195000001592,152.22247186171123
F12_aug-cc-pV(5+d)Z,na2,Na2,-324.46856787,0.02814589000001888,17.661812630949715
F12_aug-cc-pV(5+d)Z,na_cl,ClNa,-622.49624489,0.15803331999995862,99.16740551761961
F12_aug-cc-pV(5+d)Z,o2,O2,-150.3158017,0.1914972400000181,120.1663323569466
F12_aug-cc-pV(5+d)Z,o_h,HO,-75.73294704,0.1707994200000087,107.17825421448798
F12_aug-cc-pV(5+d)Z,p2,P2,-682.63812711,0.18668591000005108,117.14717719912328
F12_aug-cc-pV(5+d)Z,p_h2,H2P,-342.47263267,0.24692128999998886,154.9454488228752
F12_aug-cc-pV(5+d)Z,p_h3,H3P,-343.11281628,0.38710951000001614,242.91488502493448
F12_aug-cc-pV(5+d)Z,s2,S2,-796.32207053,0.166176930000006,104.27759794572435
F12_aug-cc-pV(5+d)Z,s_o,OS,-473.34180453,0.20170550000000276,126.57211222063636
F12_aug-cc-pV(5+d)Z,s_o2,O2S,-548.61774578,0.4154945199999247,260.72674772125293
F12_aug-cc-pV(5+d)Z,si2,Si2,-578.76987169,0.11731818999999177,73.61827570492967
F12_aug-cc-pV(5+d)Z,si_h2_singlet,H2Si,-290.57209522,0.2458276899999987,154.25920446204597
F12_aug-cc-pV(5+d)Z,si_h2_triplet,H2Si,-290.5389456,0.2126780699999813,133.45750385044343
F12_aug-cc-pV(5+d)Z,si_h3,H3Si,-291.19065879,0.36439587000000984,228.66186073447193
F12_aug-cc-pV(5+d)Z,si_h4,H4Si,-291.84497314,0.5187148300000217,325.498470162044
F12_aug-cc-pV(5+d)Z,si_o,OSi,-364.69623447,0.3078054900000211,193.15086114364803
F12_aug-cc-pV(D+d)Z,be_h,BeH,-15.23935207,0.0785754100000009,49.30681420339302
F12_aug-cc-pV(D+d)Z,c2_h2,C2H2,-77.30007026,0.6355908399999919,398.8392737277189
F12_aug-cc-pV(D+d)Z,c2_h4,C2H4,-78.55011014,0.8867125400000049,556.4205196205586
F12_aug-cc-pV(D+d)Z,c2_h6,C2H6,-79.7842379,1.1219221199999936,704.0167594609542
F12_aug-cc-pV(D+d)Z,c_h,CH,-38.46301062,0.1307709099999954,82.0599849568501
F12_aug-cc-pV(D+d)Z,c_h2_singlet,CH2,-39.11496793,0.28326913000000076,177.7540627846124
F12_aug-cc-pV(D+d)Z,c_h2_triplet,CH2,-39.13112329,0.2994244899999998,187.89170424151183
F12_aug-cc-pV(D+d)Z,c_h3,CH3,-39.81496791,0.48381001999999995,303.5953711966579
F12_aug-cc-pV(D+d)Z,c_h3_cl,CClH3,-500.02285171,0.6234827800000176,391.2413513652105
F12_aug-cc-pV(D+d)Z,c_h4,CH4,-40.4921886,0.6615716199999966,415.1424593212709
F12_aug-cc-pV(D+d)Z,c_n,CN,-92.68658065,0.2802350099999984,175.85012373916658
F12_aug-cc-pV(D+d)Z,c_o,CO,-113.28563074,0.4088674999999995,256.56822988649424
F12_aug-cc-pV(D+d)Z,c_o2,CO2,-188.53428305,0.6135371900000166,385.0003994150627
F12_aug-cc-pV(D+d)Z,c_s,CS,-436.14529167,0.2700346199999899,169.44928237502273
F12_aug-cc-pV(D+d)Z,cl2,Cl2,-920.23212202,0.09569994000003135,60.0526190172899
F12_aug-cc-pV(D+d)Z,cl_f,ClF,-559.87195775,0.09957870999994611,62.48658393994814
F12_aug-cc-pV(D+d)Z,cl_o,ClO,-535.21406835,0.10187469000004512,63.92733314226967
F12_aug-cc-pV(D+d)Z,f2,F2,-199.46774368,0.059407680000020946,37.27888203212209
F12_aug-cc-pV(D+d)Z,h2_c_o,CH2O,-114.46457962,0.5888982000000027,369.539199758708
F12_aug-cc-pV(D+d)Z,h2_o,H2O,-76.40990616,0.3670053600000074,230.2993404319433
F12_aug-cc-pV(D+d)Z,h2_o2,H2O2,-151.50881563,0.42193220999999426,264.76645918737785
F12_aug-cc-pV(D+d)Z,h2_s,H2S,-399.3304455,0.2890508899999986,181.38217196137012
F12_aug-cc-pV(D+d)Z,h3_c_o_h,CH4O,-115.6824096,0.8078100000000035,506.908428242915
F12_aug-cc-pV(D+d)Z,h3_c_s_h,CH4S,-438.62002748,0.746934069999952,468.7082054254806
F12_aug-cc-pV(D+d)Z,h_c_n,CHN,-93.3952839,0.48947916999999563,307.15281653154
F12_aug-cc-pV(D+d)Z,h_c_o,CHO,-113.81461608,0.438393750000003,275.09623149505205
F12_aug-cc-pV(D+d)Z,h_cl,ClH,-460.73809027,0.17042013999997607,106.94025242114486
F12_aug-cc-pV(D+d)Z,h_f,FH,-100.42771768,0.22409059000000298,140.61896827339166
F12_aug-cc-pV(D+d)Z,h_o_cl,ClHO,-535.87324395,0.261591199999998,164.15095633153396
F12_aug-cc-pV(D+d)Z,li2,Li2,-14.98217218,0.03853895999999857,24.18356252053795
F12_aug-cc-pV(D+d)Z,li_f,FLi,-107.39447575,0.21849113999999759,137.10526034884563
F12_aug-cc-pV(D+d)Z,li_h,HLi,-8.06177958,0.09050387999999909,56.792042139469345
F12_aug-cc-pV(D+d)Z,n2,N2,-109.50211026,0.3549802200000016,222.75345115500457
