species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(5+d)Z,ΛCCSD(T),-14.66775372983,slurm-50591.out
be_h,aug-ano-pV(5+d)Z,ΛUCCSD(T),-15.247527710878,slurm-50143.out
c,aug-ano-pV(5+d)Z,ΛUCCSD(T),-37.844851564736,slurm-50108.out
c2_h2,aug-ano-pV(5+d)Z,ΛCCSD(T),-77.334888397319,slurm-50220.out
c2_h4,aug-ano-pV(5+d)Z,ΛCCSD(T),-78.587701123801,slurm-50697.out
c_h,aug-ano-pV(5+d)Z,ΛUCCSD(T),-38.478677969141,slurm-50651.out
c_h2_singlet,aug-ano-pV(5+d)Z,ΛCCSD(T),-39.133287902762,slurm-50619.out
c_h2_triplet,aug-ano-pV(5+d)Z,ΛUCCSD(T),-39.148667234332,slurm-50150.out
c_h3,aug-ano-pV(5+d)Z,ΛUCCSD(T),-39.835306018438,slurm-50157.out
c_h3_cl,aug-ano-pV(5+d)Z,ΛCCSD(T),-500.09713705108,slurm-50722.out
c_h4,aug-ano-pV(5+d)Z,ΛCCSD(T),-40.514730061312,slurm-50607.out
c_o,aug-ano-pV(5+d)Z,ΛCCSD(T),-113.325646929291,slurm-50671.out
c_o2,aug-ano-pV(5+d)Z,ΛCCSD(T),-188.601030090113,slurm-50732.out
c_s,aug-ano-pV(5+d)Z,ΛCCSD(T),-436.198565270162,slurm-50667.out
cl,aug-ano-pV(5+d)Z,ΛUCCSD(T),-460.120559259938,slurm-50136.out
cl2,aug-ano-pV(5+d)Z,ΛCCSD(T),-920.335997544497,slurm-50276.out
cl_f,aug-ano-pV(5+d)Z,ΛCCSD(T),-559.955530894881,slurm-50297.out
cl_o,aug-ano-pV(5+d)Z,ΛUCCSD(T),-535.291152094907,slurm-50655.out
f,aug-ano-pV(5+d)Z,ΛUCCSD(T),-99.734664815278,slurm-50579.out
f2,aug-ano-pV(5+d)Z,ΛCCSD(T),-199.529556996515,slurm-50635.out
h,aug-ano-pV(5+d)Z,ΛUCCSD(T),-0.499874147316,slurm-50683.out
h-,aug-ano-pV(5+d)Z,ΛCCSD(T),-0.483774965127,slurm-50611.out
h2_c_o,aug-ano-pV(5+d)Z,ΛCCSD(T),-114.50876365347,slurm-50631.out
h2_o,aug-ano-pV(5+d)Z,ΛCCSD(T),-76.438764156656,slurm-50178.out
h2_o2,aug-ano-pV(5+d)Z,ΛCCSD(T),-151.563147343179,slurm-50255.out
h2_s,aug-ano-pV(5+d)Z,ΛCCSD(T),-399.37255980283,slurm-50206.out
h3_c_o_h,aug-ano-pV(5+d)Z,ΛCCSD(T),-115.730691366681,slurm-50241.out
