species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(D+d)Z,ΛCCSD(T),-14.666753037708,slurm-44332.out
be_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-15.235734902716,slurm-893222.out
c,aug-ano-pV(D+d)Z,ΛUCCSD(T),-37.840166066036,slurm-44338.out
c2_h2,aug-ano-pV(D+d)Z,ΛCCSD(T),-77.314244027776,slurm-893244.out
c2_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-78.569319861856,slurm-893245.out
c2_h6,aug-ano-pV(D+d)Z,ΛCCSD(T),-79.80762564862,slurm-893246.out
c_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-38.471584397942,slurm-893223.out
c_h2_singlet,aug-ano-pV(D+d)Z,ΛCCSD(T),-39.12468049644,slurm-893225.out
c_h2_triplet,aug-ano-pV(D+d)Z,ΛUCCSD(T),-39.140360578978,slurm-893224.out
c_h3,aug-ano-pV(D+d)Z,ΛUCCSD(T),-39.826289805403,slurm-893226.out
c_h3_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-499.992803893006,slurm-44701.out
c_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-40.505968508176,slurm-893227.out
c_n,aug-ano-pV(D+d)Z,ΛUCCSD(T),-92.69999079957,slurm-893247.out
c_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-113.302545387983,slurm-893249.out
c_o2,aug-ano-pV(D+d)Z,ΛCCSD(T),-188.558304784328,slurm-893259.out
c_s,aug-ano-pV(D+d)Z,ΛCCSD(T),-436.104257137104,slurm-44671.out
cl,aug-ano-pV(D+d)Z,ΛUCCSD(T),-460.031417883099,slurm-44386.out
cl2,aug-ano-pV(D+d)Z,ΛCCSD(T),-920.144599061069,slurm-44653.out
cl_f,aug-ano-pV(D+d)Z,ΛCCSD(T),-559.842239221358,slurm-44689.out
cl_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-535.17876213458,slurm-44683.out
f,aug-ano-pV(D+d)Z,ΛUCCSD(T),-99.722009789586,slurm-44356.out
f2,aug-ano-pV(D+d)Z,ΛCCSD(T),-199.495080051392,slurm-893258.out
h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-0.499343867182,slurm-44320.out
h2_c_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-114.483737911888,slurm-893251.out
h2_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-76.424464401625,slurm-893232.out
h2_o2,aug-ano-pV(D+d)Z,ΛCCSD(T),-151.531809260031,slurm-893257.out
h2_s,aug-ano-pV(D+d)Z,ΛCCSD(T),-399.287634868932,slurm-44506.out
h3_c_o_h,aug-ano-pV(D+d)Z,ΛCCSD(T),-115.705860741326,slurm-893252.out
h3_c_s_h,aug-ano-pV(D+d)Z,ΛCCSD(T),-438.585316485168,slurm-44707.out
h_c_n,aug-ano-pV(D+d)Z,ΛCCSD(T),-93.410639865148,slurm-893248.out
h_c_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-113.831843205358,slurm-893250.out
h_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-460.700938533227,slurm-44512.out
h_f,aug-ano-pV(D+d)Z,ΛCCSD(T),-100.445752457574,slurm-893233.out
h_o_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-535.840772928862,slurm-44713.out
li,aug-ano-pV(D+d)Z,ΛUCCSD(T),-7.477854004053,slurm-917575.out
li2,aug-ano-pV(D+d)Z,ΛCCSD(T),-14.993861630841,slurm-915508.out
li_f,aug-ano-pV(D+d)Z,ΛCCSD(T),-107.4101518342,slurm-915520.out
li_h,aug-ano-pV(D+d)Z,ΛCCSD(T),-8.068046913066,slurm-915514.out
n,aug-ano-pV(D+d)Z,ΛUCCSD(T),-54.582819053559,slurm-44344.out
n2,aug-ano-pV(D+d)Z,ΛCCSD(T),-109.518640732555,slurm-893253.out
n2_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-111.84866610275,slurm-893254.out
n_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-55.211779730188,slurm-893228.out
n_h2,aug-ano-pV(D+d)Z,ΛUCCSD(T),-55.867985930594,slurm-893229.out
n_h3,aug-ano-pV(D+d)Z,ΛCCSD(T),-56.550705804019,slurm-893230.out
n_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-129.870242078326,slurm-893255.out
na,aug-ano-pV(D+d)Z,ΛUCCSD(T),-162.212162390663,slurm-915496.out
na2,aug-ano-pV(D+d)Z,ΛCCSD(T),-324.451231844906,slurm-915490.out
na_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-622.392880743445,slurm-915502.out
o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-75.056241115502,slurm-44350.out
o2,aug-ano-pV(D+d)Z,ΛUCCSD(T),-150.293023244051,slurm-908316.out
o_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-75.724865770074,slurm-893231.out
p,aug-ano-pV(D+d)Z,ΛUCCSD(T),-341.164680708102,slurm-44374.out
p2,aug-ano-pV(D+d)Z,ΛCCSD(T),-682.494021117987,slurm-44641.out
