species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(Q+d)Z,ΛCCSD(T),-14.668120087081,slurm-43938.out
be_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-15.247674536494,slurm-43946.out
c,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-37.845388255814,slurm-910793.out
c2_h2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-77.336307708139,slurm-910838.out
c2_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T),-78.589248151145,slurm-912983.out
c2_h6,aug-ano-pV(Q+d)Z,ΛCCSD(T),-79.827470140068,slurm-44267.out
c_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-38.479288764107,slurm-43947.out
c_h2_singlet,aug-ano-pV(Q+d)Z,ΛCCSD(T),-39.133904163832,slurm-43949.out
c_h2_triplet,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-39.149294390569,slurm-43948.out
c_h3,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-39.83605823647,slurm-910823.out
c_h3_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-500.085246853472,slurm-913824.out
c_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T),-40.515528269635,slurm-910843.out
c_n,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-92.722320004768,slurm-43965.out
c_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-113.327170439766,slurm-43966.out
c_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-188.603414037524,slurm-910968.out
c_s,aug-ano-pV(Q+d)Z,ΛCCSD(T),-436.182986867297,slurm-913870.out
cl,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-460.107722346301,slurm-913826.out
cl2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-920.309853104602,slurm-913864.out
cl_f,aug-ano-pV(Q+d)Z,ΛCCSD(T),-559.94307061242,slurm-913828.out
cl_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-535.278995007975,slurm-913866.out
f,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-99.735150943761,slurm-43939.out
f2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-199.530802219685,slurm-43971.out
h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-0.499886239185,slurm-910808.out
h-,aug-ano-pV(Q+d)Z,ΛCCSD(T),-0.48376714835,slurm-43990.out
h2_c_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-114.510327685431,slurm-910833.out
h2_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-76.439655774339,slurm-43953.out
h2_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-151.564778533761,slurm-43970.out
h2_s,aug-ano-pV(Q+d)Z,ΛCCSD(T),-399.357642240126,slurm-913872.out
h3_c_o_h,aug-ano-pV(Q+d)Z,ΛCCSD(T),-115.732381131189,slurm-912985.out
