species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(T+d)Z,ΛCCSD(T),-14.666851594901,slurm-906130.out
be_h,aug-ano-pV(T+d)Z,ΛUCCSD(T),-15.244102661535,slurm-906141.out
c,aug-ano-pV(T+d)Z,ΛUCCSD(T),-37.845078565052,slurm-906131.out
c2_h2,aug-ano-pV(T+d)Z,ΛCCSD(T),-77.335331998354,slurm-906163.out
c2_h4,aug-ano-pV(T+d)Z,ΛCCSD(T),-78.588988893477,slurm-906164.out
c2_h6,aug-ano-pV(T+d)Z,ΛCCSD(T),-79.827891091534,slurm-906468.out
c_h,aug-ano-pV(T+d)Z,ΛUCCSD(T),-38.479111751091,slurm-906142.out
c_h2_singlet,aug-ano-pV(T+d)Z,ΛCCSD(T),-39.133800262934,slurm-906144.out
c_h2_triplet,aug-ano-pV(T+d)Z,ΛUCCSD(T),-39.149121718982,slurm-906143.out
c_h3,aug-ano-pV(T+d)Z,ΛUCCSD(T),-39.836051504212,slurm-906145.out
c_h3_cl,aug-ano-pV(T+d)Z,ΛCCSD(T),-500.062890475988,slurm-908871.out
c_h4,aug-ano-pV(T+d)Z,ΛCCSD(T),-40.515936337129,slurm-906146.out
c_n,aug-ano-pV(T+d)Z,ΛUCCSD(T),-92.721173225806,slurm-906166.out
c_o,aug-ano-pV(T+d)Z,ΛCCSD(T),-113.326416377986,slurm-906168.out
c_o2,aug-ano-pV(T+d)Z,ΛCCSD(T),-188.602275435721,slurm-906178.out
c_s,aug-ano-pV(T+d)Z,ΛCCSD(T),-436.164149417793,slurm-909181.out
cl,aug-ano-pV(T+d)Z,ΛUCCSD(T),-460.085393829991,slurm-908881.out
cl2,aug-ano-pV(T+d)Z,ΛCCSD(T),-920.262986155243,slurm-909211.out
cl_f,aug-ano-pV(T+d)Z,ΛCCSD(T),-559.920694537782,slurm-908887.out
cl_o,aug-ano-pV(T+d)Z,ΛUCCSD(T),-535.256303278184,slurm-909165.out
f,aug-ano-pV(T+d)Z,ΛUCCSD(T),-99.736085142138,slurm-906134.out
f2,aug-ano-pV(T+d)Z,ΛCCSD(T),-199.531803035273,slurm-906177.out
h,aug-ano-pV(T+d)Z,ΛUCCSD(T),-0.499835308872,slurm-901255.out
h2_c_o,aug-ano-pV(T+d)Z,ΛCCSD(T),-114.510062520066,slurm-906170.out
h2_o,aug-ano-pV(T+d)Z,ΛCCSD(T),-76.439898674623,slurm-906151.out
h2_o2,aug-ano-pV(T+d)Z,ΛCCSD(T),-151.565037838717,slurm-906176.out
