species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(5+d)Z,ΛCCSD(T),-14.668269859793,slurm-50319.out
be_h,aug-cc-pV(5+d)Z,ΛUCCSD(T),-15.248791225872,slurm-50363.out
c,aug-cc-pV(5+d)Z,ΛUCCSD(T),-37.845201561956,slurm-50323.out
c2_h2,aug-cc-pV(5+d)Z,ΛCCSD(T),-77.33588496953,slurm-50451.out
c_h,aug-cc-pV(5+d)Z,ΛUCCSD(T),-38.479130811526,slurm-50367.out
c_h2_singlet,aug-cc-pV(5+d)Z,ΛCCSD(T),-39.133777825849,slurm-50375.out
c_h4,aug-cc-pV(5+d)Z,ΛCCSD(T),-40.515183471274,slurm-50383.out
c_n,aug-cc-pV(5+d)Z,ΛUCCSD(T),-92.72187055633,slurm-50459.out
c_o,aug-cc-pV(5+d)Z,ΛCCSD(T),-113.326456428586,slurm-50467.out
c_o2,aug-cc-pV(5+d)Z,ΛCCSD(T),-188.602270417225,slurm-50499.out
c_s,aug-cc-pV(5+d)Z,ΛCCSD(T),-436.197853046986,slurm-50531.out
cl,aug-cc-pV(5+d)Z,ΛUCCSD(T),-460.119009454934,slurm-50355.out
cl2,aug-cc-pV(5+d)Z,ΛCCSD(T),-920.333932529488,slurm-50519.out
cl_f,aug-cc-pV(5+d)Z,ΛCCSD(T),-559.954640210171,slurm-50543.out
f,aug-cc-pV(5+d)Z,ΛUCCSD(T),-99.734811068969,slurm-50335.out
f2,aug-cc-pV(5+d)Z,ΛCCSD(T),-199.530220886801,slurm-50495.out
h,aug-cc-pV(5+d)Z,ΛUCCSD(T),-0.500002831234,slurm-50311.out
h-,aug-cc-pV(5+d)Z,ΛCCSD(T),-0.52759966115,slurm-50567.out
h2_c_o,aug-cc-pV(5+d)Z,ΛCCSD(T),-114.509706114646,slurm-50475.out
h2_o,aug-cc-pV(5+d)Z,ΛCCSD(T),-76.439078974085,slurm-50403.out
h2_o2,aug-cc-pV(5+d)Z,ΛCCSD(T),-151.563820718873,slurm-50491.out
h2_s,aug-cc-pV(5+d)Z,ΛCCSD(T),-399.372146630659,slurm-50435.out
h_c_n,aug-cc-pV(5+d)Z,ΛCCSD(T),-93.433218340012,slurm-50463.out
h_cl,aug-cc-pV(5+d)Z,ΛCCSD(T),-460.791156586718,slurm-50439.out
h_f,aug-cc-pV(5+d)Z,ΛCCSD(T),-100.460561806973,slurm-50407.out
h_o_cl,aug-cc-pV(5+d)Z,ΛCCSD(T),-535.952559889433,slurm-50551.out
li,aug-cc-pV(5+d)Z,ΛUCCSD(T),-7.478209102443,slurm-50315.out
li+,aug-cc-pV(5+d)Z,ΛCCSD(T),-7.279984066662,slurm-50559.out
li2,aug-cc-pV(5+d)Z,ΛCCSD(T),-14.995241314871,slurm-50443.out
li_f,aug-cc-pV(5+d)Z,ΛCCSD(T),-107.435830577271,slurm-50447.out
li_h,aug-cc-pV(5+d)Z,ΛCCSD(T),-8.070874269446,slurm-50359.out
n,aug-cc-pV(5+d)Z,ΛUCCSD(T),-54.589417710148,slurm-50327.out
n2,aug-cc-pV(5+d)Z,ΛCCSD(T),-109.541999509158,slurm-50479.out
n_h,aug-cc-pV(5+d)Z,ΛUCCSD(T),-55.221718518902,slurm-50387.out
n_h3,aug-cc-pV(5+d)Z,ΛCCSD(T),-56.564443389234,slurm-50395.out
n_o,aug-cc-pV(5+d)Z,ΛUCCSD(T),-129.89973109075,slurm-50483.out
na,aug-cc-pV(5+d)Z,ΛUCCSD(T),-162.256103795477,slurm-50339.out
na+,aug-cc-pV(5+d)Z,ΛCCSD(T),-162.06730532661,slurm-50563.out
na2,aug-cc-pV(5+d)Z,ΛCCSD(T),-324.539362319661,slurm-50503.out
na_cl,aug-cc-pV(5+d)Z,ΛCCSD(T),-622.533832383378,slurm-50523.out
o,aug-cc-pV(5+d)Z,ΛUCCSD(T),-75.06773526524,slurm-50331.out
o2,aug-cc-pV(5+d)Z,ΛUCCSD(T),-150.326104497246,slurm-50487.out
o_h,aug-cc-pV(5+d)Z,ΛUCCSD(T),-75.738483185722,slurm-50399.out
p,aug-cc-pV(5+d)Z,ΛUCCSD(T),-341.225043894436,slurm-50347.out
p2,aug-cc-pV(5+d)Z,ΛCCSD(T),-682.636837566268,slurm-50511.out
p_h3,aug-cc-pV(5+d)Z,ΛCCSD(T),-343.112103338183,slurm-50431.out
s,aug-cc-pV(5+d)Z,ΛUCCSD(T),-398.078381003767,slurm-50351.out
s_o2,aug-cc-pV(5+d)Z,ΛCCSD(T),-548.629375151472,slurm-50555.out
si,aug-cc-pV(5+d)Z,ΛUCCSD(T),-289.320456318878,slurm-50343.out
si_h2_singlet,aug-cc-pV(5+d)Z,ΛCCSD(T),-290.566679126688,slurm-50411.out
si_h4,aug-cc-pV(5+d)Z,ΛCCSD(T),-291.839628540517,slurm-50423.out
si_o,aug-cc-pV(5+d)Z,ΛCCSD(T),-364.697177691498,slurm-50527.out
