species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(D+d)Z,ΛCCSD(T),-14.663993191422,slurm-905263.out
be_h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-15.241198874183,slurm-912864.out
c,aug-cc-pV(D+d)Z,ΛUCCSD(T),-37.826705823351,slurm-905266.out
c2_h2,aug-cc-pV(D+d)Z,ΛCCSD(T),-77.274834452045,slurm-912906.out
c2_h4,aug-cc-pV(D+d)Z,ΛCCSD(T),-78.534471783608,slurm-912908.out
c2_h6,aug-cc-pV(D+d)Z,ΛCCSD(T),-79.773146620085,slurm-912910.out
c_h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-38.457150734229,slurm-912866.out
c_h2_singlet,aug-cc-pV(D+d)Z,ΛCCSD(T),-39.108810587271,slurm-912870.out
c_h2_triplet,aug-cc-pV(D+d)Z,ΛUCCSD(T),-39.124101955873,slurm-912868.out
c_h3,aug-cc-pV(D+d)Z,ΛUCCSD(T),-39.808664749824,slurm-912872.out
c_h3_cl,aug-cc-pV(D+d)Z,ΛCCSD(T),-499.938677407207,slurm-45776.out
c_h4,aug-cc-pV(D+d)Z,ΛCCSD(T),-40.486951983642,slurm-912874.out
c_n,aug-cc-pV(D+d)Z,ΛUCCSD(T),-92.659212097106,slurm-912912.out
c_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-113.251857756661,slurm-912916.out
c_o2,aug-cc-pV(D+d)Z,ΛCCSD(T),-188.47769998199,slurm-912936.out
c_s,aug-cc-pV(D+d)Z,ΛCCSD(T),-436.05806412073,slurm-905431.out
cl,aug-cc-pV(D+d)Z,ΛUCCSD(T),-459.995555309645,slurm-905290.out
cl_f,aug-cc-pV(D+d)Z,ΛCCSD(T),-559.766718563402,slurm-45778.out
cl_o,aug-cc-pV(D+d)Z,ΛUCCSD(T),-535.111432727072,slurm-45780.out
f,aug-cc-pV(D+d)Z,ΛUCCSD(T),-99.680145456468,slurm-905275.out
f2,aug-cc-pV(D+d)Z,ΛCCSD(T),-199.409010924444,slurm-912934.out
h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-0.499762710947,slurm-905257.out
h-,aug-cc-pV(D+d)Z,ΛCCSD(T),-0.527488860239,slurm-912966.out
h2_c_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-114.436326947463,slurm-912920.out
h2_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-76.393480538291,slurm-912884.out
h2_o2,aug-cc-pV(D+d)Z,ΛCCSD(T),-151.470526264961,slurm-912932.out
h2_s,aug-cc-pV(D+d)Z,ΛCCSD(T),-399.257872098633,slurm-905350.out
h3_c_o_h,aug-cc-pV(D+d)Z,ΛCCSD(T),-115.658932446956,slurm-912922.out
h3_c_s_h,aug-cc-pV(D+d)Z,ΛCCSD(T),-438.5377313523,slurm-905449.out
h_c_n,aug-cc-pV(D+d)Z,ΛCCSD(T),-93.367580283376,slurm-912914.out
h_c_o,aug-cc-pV(D+d)Z,ΛUCCSD(T),-113.783640011118,slurm-912918.out
h_cl,aug-cc-pV(D+d)Z,ΛCCSD(T),-460.664205507464,slurm-45782.out
h_f,aug-cc-pV(D+d)Z,ΛCCSD(T),-100.403185391855,slurm-912886.out
h_o_cl,aug-cc-pV(D+d)Z,ΛCCSD(T),-535.77467542116,slurm-45784.out
li,aug-cc-pV(D+d)Z,ΛUCCSD(T),-7.477847852532,slurm-917552.out
li+,aug-cc-pV(D+d)Z,ΛCCSD(T),-7.276686985534,slurm-894609.out
li2,aug-cc-pV(D+d)Z,ΛCCSD(T),-14.993786824834,slurm-45818.out
li_f,aug-cc-pV(D+d)Z,ΛCCSD(T),-107.375215292679,slurm-45830.out
li_h,aug-cc-pV(D+d)Z,ΛCCSD(T),-8.067874042286,slurm-45824.out
n,aug-cc-pV(D+d)Z,ΛUCCSD(T),-54.562474151911,slurm-905269.out
n2,aug-cc-pV(D+d)Z,ΛCCSD(T),-109.46922980369,slurm-912924.out
n2_h4,aug-cc-pV(D+d)Z,ΛCCSD(T),-111.808179307662,slurm-912926.out
n_h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-55.191161794844,slurm-912876.out
n_h2,aug-cc-pV(D+d)Z,ΛUCCSD(T),-55.846496801453,slurm-912878.out
