species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(Q+d)Z,ΛCCSD(T),-14.668702946444,slurm-43868.out
be_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-15.249147257411,slurm-43879.out
c,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-37.845267385852,slurm-43869.out
c2_h2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-77.336187288148,slurm-43901.out
c2_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T),-78.589387408282,slurm-43902.out
c2_h6,aug-cc-pV(Q+d)Z,ΛCCSD(T),-79.827743107739,slurm-913060.out
c_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-38.479269917672,slurm-43880.out
c_h2_singlet,aug-cc-pV(Q+d)Z,ΛCCSD(T),-39.13397532781,slurm-43882.out
c_h2_triplet,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-39.149255611608,slurm-43881.out
c_h3,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-39.836030413961,slurm-43883.out
c_h3_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-500.074352591107,slurm-913734.out
c_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T),-40.515594222766,slurm-43884.out
c_n,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-92.721894694631,slurm-43904.out
c_o,aug-cc-pV(Q+d)Z,ΛCCSD(T),-113.326400358379,slurm-43906.out
c_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-188.601965566377,slurm-43916.out
c_s,aug-cc-pV(Q+d)Z,ΛCCSD(T),-436.170344808012,slurm-913780.out
cl,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-460.09600352765,slurm-913736.out
cl2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-920.286402759635,slurm-913774.out
cl_f,aug-cc-pV(Q+d)Z,ΛCCSD(T),-559.930712105361,slurm-913738.out
cl_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-535.266779169782,slurm-913776.out
f,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-99.734654411865,slurm-43872.out
f2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-199.528965114289,slurm-43915.out
h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-0.499974677107,slurm-43866.out
h-,aug-cc-pV(Q+d)Z,ΛCCSD(T),-0.527468397538,slurm-43936.out
h2_c_o,aug-cc-pV(Q+d)Z,ΛCCSD(T),-114.509875534757,slurm-43908.out
h2_o,aug-cc-pV(Q+d)Z,ΛCCSD(T),-76.439068948467,slurm-43889.out
h2_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-151.563557395259,slurm-43914.out
h2_s,aug-cc-pV(Q+d)Z,ΛCCSD(T),-399.345086612673,slurm-913782.out
h3_c_o_h,aug-cc-pV(Q+d)Z,ΛCCSD(T),-115.731846814959,slurm-912842.out
h3_c_s_h,aug-cc-pV(Q+d)Z,ΛCCSD(T),-438.656291450169,slurm-913784.out
h_c_n,aug-cc-pV(Q+d)Z,ΛCCSD(T),-93.43360218242,slurm-43905.out
h_c_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-113.857827091714,slurm-43907.out
h_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-460.767923113613,slurm-913778.out
h_f,aug-cc-pV(Q+d)Z,ΛCCSD(T),-100.460196719214,slurm-43890.out
h_o_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-535.929452701851,slurm-913740.out
li,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-7.478191210189,slurm-917564.out
li+,aug-cc-pV(Q+d)Z,ΛCCSD(T),-7.281617044271,slurm-43934.out
li2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-14.995236162253,slurm-45876.out
li_f,aug-cc-pV(Q+d)Z,ΛCCSD(T),-107.435395588181,slurm-45889.out
li_h,aug-cc-pV(Q+d)Z,ΛCCSD(T),-8.070911169693,slurm-45882.out
n,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-54.589352062954,slurm-43870.out
n2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-109.54198182148,slurm-43910.out
n2_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T),-111.878024051322,slurm-43911.out
n_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-55.221731267308,slurm-43885.out
n_h2,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-55.880408390073,slurm-43886.out
n_h3,aug-cc-pV(Q+d)Z,ΛCCSD(T),-56.56478940747,slurm-43887.out
n_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-129.8993891428,slurm-43912.out
na,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-162.254445907734,slurm-44779.out
na+,aug-cc-pV(Q+d)Z,ΛCCSD(T),-161.913577159258,slurm-43935.out
na2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-324.536163033647,slurm-44773.out
na_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-622.507645360431,slurm-44785.out
o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-75.067475388477,slurm-43871.out
o2,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-150.325359638042,slurm-43913.out
