species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(T+d)Z,ΛCCSD(T),-14.666318092822,slurm-898923.out
be_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-15.247548881226,slurm-899083.out
c,aug-cc-pV(T+d)Z,ΛUCCSD(T),-37.841628938297,slurm-898925.out
c2_h2,aug-cc-pV(T+d)Z,ΛCCSD(T),-77.329727444503,slurm-899204.out
c2_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-78.584335593521,slurm-899210.out
c2_h6,aug-cc-pV(T+d)Z,ΛCCSD(T),-79.824072718674,slurm-899216.out
c_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-38.476499837073,slurm-899089.out
c_h2_singlet,aug-cc-pV(T+d)Z,ΛCCSD(T),-39.131629659138,slurm-899101.out
c_h2_triplet,aug-cc-pV(T+d)Z,ΛUCCSD(T),-39.146608413302,slurm-899095.out
c_h3,aug-cc-pV(T+d)Z,ΛUCCSD(T),-39.833797061679,slurm-899107.out
c_h3_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-500.046489528495,slurm-898887.out
c_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-40.513859409416,slurm-899113.out
c_n,aug-cc-pV(T+d)Z,ΛUCCSD(T),-92.712471799449,slurm-899222.out
c_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-113.315006524526,slurm-899234.out
c_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-188.583538861406,slurm-899352.out
c_s,aug-cc-pV(T+d)Z,ΛCCSD(T),-436.145913011921,slurm-899027.out
cl,aug-cc-pV(T+d)Z,ΛUCCSD(T),-460.070619602412,slurm-898941.out
cl2,aug-cc-pV(T+d)Z,ΛCCSD(T),-920.233602212878,slurm-44743.out
cl_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-559.895817625914,slurm-898893.out
cl_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-535.233788265262,slurm-898896.out
f,aug-cc-pV(T+d)Z,ΛUCCSD(T),-99.724019242667,slurm-898931.out
f2,aug-cc-pV(T+d)Z,ΛCCSD(T),-199.509999160383,slurm-899346.out
h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-0.499938600797,slurm-898919.out
h-,aug-cc-pV(T+d)Z,ΛCCSD(T),-0.527428777577,slurm-899436.out
h2_c_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-114.499802858946,slurm-899272.out
h2_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-76.432491407545,slurm-899143.out
h2_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-151.549997841053,slurm-899310.out
h2_s,aug-cc-pV(T+d)Z,ΛCCSD(T),-399.325774934419,slurm-898981.out
h3_c_o_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-115.723295197693,slurm-899280.out
h3_c_s_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-438.634594379339,slurm-898899.out
h_c_n,aug-cc-pV(T+d)Z,ΛCCSD(T),-93.425351634473,slurm-899228.out
h_c_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-113.846975019182,slurm-899240.out
h_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-460.742324193001,slurm-898983.out
h_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-100.450756626997,slurm-899149.out
h_o_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-535.89691027112,slurm-898902.out
li,aug-cc-pV(T+d)Z,ΛUCCSD(T),-7.478259874931,slurm-917558.out
li+,aug-cc-pV(T+d)Z,ΛCCSD(T),-7.280880051625,slurm-894667.out
li2,aug-cc-pV(T+d)Z,ΛCCSD(T),-14.99535876629,slurm-45858.out
li_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-107.424676057118,slurm-45870.out
li_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-8.071305895177,slurm-45864.out
n,aug-cc-pV(T+d)Z,ΛUCCSD(T),-54.584134481373,slurm-898927.out
n2,aug-cc-pV(T+d)Z,ΛCCSD(T),-109.531570354799,slurm-899286.out
n2_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-111.869949362513,slurm-899292.out
n_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-55.217230801303,slurm-899119.out
n_h2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-55.87626010913,slurm-899125.out
n_h3,aug-cc-pV(T+d)Z,ΛCCSD(T),-56.560869382245,slurm-899131.out
n_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-129.886908823971,slurm-899298.out
na,aug-cc-pV(T+d)Z,ΛUCCSD(T),-162.247452476924,slurm-45842.out
na+,aug-cc-pV(T+d)Z,ΛCCSD(T),-161.912938880604,slurm-894673.out
na2,aug-cc-pV(T+d)Z,ΛCCSD(T),-324.522297676499,slurm-45836.out
na_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-622.472507043624,slurm-45848.out
o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-75.05967040483,slurm-898929.out
o2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-150.310536839088,slurm-908291.out
o_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-75.731255883451,slurm-899137.out
p,aug-cc-pV(T+d)Z,ΛUCCSD(T),-341.185832808493,slurm-898937.out
p2,aug-cc-pV(T+d)Z,ΛCCSD(T),-682.552225841738,slurm-898908.out
p_h2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-342.432355318024,slurm-898977.out
p_h3,aug-cc-pV(T+d)Z,ΛCCSD(T),-343.071826271926,slurm-898979.out
s,aug-cc-pV(T+d)Z,ΛUCCSD(T),-398.032287022667,slurm-898939.out
s2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-796.225360215592,slurm-898911.out
s_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-473.29325515062,slurm-899029.out
s_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-548.565064912459,slurm-898917.out
si,aug-cc-pV(T+d)Z,ΛUCCSD(T),-289.288505869869,slurm-898935.out
si2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-578.695778031207,slurm-908143.out
si2_h6,aug-cc-pV(T+d)Z,ΛCCSD(T),-582.429816378125,slurm-898914.out
si_h2_singlet,aug-cc-pV(T+d)Z,ΛCCSD(T),-290.533652752904,slurm-898969.out
si_h2_triplet,aug-cc-pV(T+d)Z,ΛUCCSD(T),-290.500032278707,slurm-899497.out
si_h3,aug-cc-pV(T+d)Z,ΛUCCSD(T),-291.150809247693,slurm-898973.out
