species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-14.666717259884,ref:slurm-50591.out|corr:slurm-51637.out
be_h,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-15.242477392653,ref:slurm-50143.out|corr:slurm-51659.out
c,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-37.840361576977,ref:slurm-50108.out|corr:slurm-51639.out
c2_h4,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-78.574778213692,ref:slurm-50697.out|corr:slurm-51705.out
c2_h6,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-79.812865039078,ref:slurm-51149.out|corr:slurm-51707.out
c_h,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-38.472269206145,ref:slurm-50651.out|corr:slurm-51661.out
c_h2_singlet,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-39.126125398908,ref:slurm-50619.out|corr:slurm-51665.out
c_h2_triplet,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-39.141821810753996,ref:slurm-50150.out|corr:slurm-51663.out
c_h3,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-39.828359314583,ref:slurm-50157.out|corr:slurm-51667.out
c_h3_cl,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-499.998853465433,ref:slurm-50722.out|corr:slurm-51759.out
c_h4,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-40.508467023273,ref:slurm-50607.out|corr:slurm-51669.out
c_n,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-92.705416554175,ref:slurm-51143.out|corr:slurm-51709.out
c_o,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-113.309281065908,ref:slurm-50671.out|corr:slurm-51713.out
c_o2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-188.570144207287,ref:slurm-50732.out|corr:slurm-51733.out
cl,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-460.032842409704,ref:slurm-50136.out|corr:slurm-51655.out
cl2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-920.1542883284541,ref:slurm-50276.out|corr:slurm-51743.out
