species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-14.668108708671001,ref:slurm-50591.out|corr:slurm-51909.out
be_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-15.247863845881,ref:slurm-50143.out|corr:slurm-51931.out
c,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-37.84538106968,ref:slurm-50108.out|corr:slurm-51911.out
c2_h2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-77.336324049327,ref:slurm-50220.out|corr:slurm-51975.out
c2_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-78.589296987102,ref:slurm-50697.out|corr:slurm-51977.out
c_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-38.479301591115004,ref:slurm-50651.out|corr:slurm-51933.out
c_h2_singlet,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-39.134017879703,ref:slurm-50619.out|corr:slurm-51937.out
c_h2_triplet,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-39.149370096975,ref:slurm-50150.out|corr:slurm-51935.out
c_h3,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-39.836099849689,ref:slurm-50157.out|corr:slurm-51939.out
c_h3_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-500.0854632066,ref:slurm-50722.out|corr:slurm-52031.out
c_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-40.515581089070004,ref:slurm-50607.out|corr:slurm-51941.out
c_n,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-92.72248646462201,ref:slurm-51143.out|corr:slurm-51981.out
c_o,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-113.327374914556,ref:slurm-50671.out|corr:slurm-51985.out
c_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-188.603608950357,ref:slurm-50732.out|corr:slurm-52005.out
c_s,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-436.183239351603,ref:slurm-50667.out|corr:slurm-52021.out
cl2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-920.3101810280241,ref:slurm-50276.out|corr:slurm-52015.out
cl_f,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-559.943395980091,ref:slurm-50297.out|corr:slurm-52027.out
cl_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-535.279273550581,ref:slurm-50655.out|corr:slurm-52025.out
f,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-99.735173925428,ref:slurm-50579.out|corr:slurm-51917.out
