species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-14.666898562741,ref:slurm-50591.out|corr:slurm-51771.out
be_h,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-15.246045770726,ref:slurm-50143.out|corr:slurm-51793.out
c,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-37.845154608083,ref:slurm-50108.out|corr:slurm-51773.out
c2_h2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-77.33585347206599,ref:slurm-50220.out|corr:slurm-51837.out
c2_h4,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-78.589825455327,ref:slurm-50697.out|corr:slurm-51839.out
c2_h6,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-79.82853190362701,ref:slurm-51149.out|corr:slurm-51841.out
c_h,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-38.479100848753,ref:slurm-50651.out|corr:slurm-51795.out
c_h2_singlet,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-39.134040597465,ref:slurm-50619.out|corr:slurm-51799.out
c_h2_triplet,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-39.149289272055995,ref:slurm-50150.out|corr:slurm-51797.out
c_h3_cl,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-500.063460881675,ref:slurm-50722.out|corr:slurm-51893.out
c_h4,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-40.516191894246,ref:slurm-50607.out|corr:slurm-51803.out
c_n,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-92.721994077543,ref:slurm-51143.out|corr:slurm-51843.out
c_o,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-113.327499989524,ref:slurm-50671.out|corr:slurm-51847.out
c_o2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-188.60367026444902,ref:slurm-50732.out|corr:slurm-51867.out
c_s,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-436.16426990432,ref:slurm-50667.out|corr:slurm-51883.out
cl,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-460.08558864640605,ref:slurm-50136.out|corr:slurm-51789.out
cl2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-920.264294695698,ref:slurm-50276.out|corr:slurm-51877.out
cl_f,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-559.921632333168,ref:slurm-50297.out|corr:slurm-51889.out
cl_o,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-535.257013643595,ref:slurm-50655.out|corr:slurm-51887.out
f,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-99.736010012609,ref:slurm-50579.out|corr:slurm-51779.out
f2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-199.53224744295898,ref:slurm-50635.out|corr:slurm-51865.out
h,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-0.499874147316,ref:slurm-50683.out|corr:slurm-51767.out
h2_c_o,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-114.510971695292,ref:slurm-50631.out|corr:slurm-51851.out
h2_o,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-76.44017930115,ref:slurm-50178.out|corr:slurm-51813.out
h2_o2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-151.56560061878298,ref:slurm-50255.out|corr:slurm-51863.out
h2_s,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-399.340367253124,ref:slurm-50206.out|corr:slurm-51829.out
