species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-14.664165477787,ref:slurm-50319.out|corr:slurm-51186.out
be_h,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-15.243072979362001,ref:slurm-50363.out|corr:slurm-51208.out
c,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-37.831276535305,ref:slurm-50323.out|corr:slurm-51188.out
c2_h2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-77.300515903993,ref:slurm-50451.out|corr:slurm-51252.out
c_h,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-38.463868937033,ref:slurm-50367.out|corr:slurm-51210.out
c_h2_singlet,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-39.117903352998,ref:slurm-50375.out|corr:slurm-51214.out
c_h2_triplet,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-39.133809734481,ref:slurm-51119.out|corr:slurm-51212.out
c_h4,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-40.500022516215004,ref:slurm-50383.out|corr:slurm-51218.out
c_n,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-92.68278785495501,ref:slurm-50459.out|corr:slurm-51258.out
c_o,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-113.284225717402,ref:slurm-50467.out|corr:slurm-51262.out
c_o2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-188.531747440738,ref:slurm-50499.out|corr:slurm-51282.out
c_s,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-436.07961814275,ref:slurm-50531.out|corr:slurm-51298.out
cl,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-460.008289939348,ref:slurm-50355.out|corr:slurm-51204.out
cl2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-920.106593460065,ref:slurm-50519.out|corr:slurm-51292.out
cl_f,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-559.8137167117569,ref:slurm-50543.out|corr:slurm-51304.out
cl_o,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-535.150336838302,ref:slurm-51129.out|corr:slurm-51302.out
f,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-99.706178825804,ref:slurm-50335.out|corr:slurm-51194.out
f2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-199.471292448321,ref:slurm-50495.out|corr:slurm-51280.out
h,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-0.500004256557,ref:slurm-50311.out|corr:slurm-51182.out
h-,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-0.527364391632,ref:slurm-50567.out|corr:slurm-51320.out
h2_c_o,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-114.467683266365,ref:slurm-50475.out|corr:slurm-51266.out
h2_o,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-76.41282207908,ref:slurm-50403.out|corr:slurm-51228.out
h2_o2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-151.509939924322,ref:slurm-50491.out|corr:slurm-51278.out
h2_s,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-399.271864012368,ref:slurm-50435.out|corr:slurm-51244.out
h_c_n,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-93.393682449909,ref:slurm-50463.out|corr:slurm-51260.out
h_c_o,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-113.814768087342,ref:slurm-51125.out|corr:slurm-51264.out
h_cl,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-460.679492557873,ref:slurm-50439.out|corr:slurm-51246.out
h_f,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-100.432696354568,ref:slurm-50407.out|corr:slurm-51230.out
h_o_cl,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-535.812561526046,ref:slurm-50551.out|corr:slurm-51312.out
li,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-7.477916411032,ref:slurm-50315.out|corr:slurm-51184.out
li+,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-7.276965704817,ref:slurm-50559.out|corr:slurm-51316.out
li2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-14.994345063593,ref:slurm-50443.out|corr:slurm-51248.out
li_f,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-107.40330512442,ref:slurm-50447.out|corr:slurm-51250.out
