species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-14.66866874493,ref:slurm-50319.out|corr:slurm-51468.out
be_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-15.249204390300001,ref:slurm-50363.out|corr:slurm-51490.out
c,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-37.845483992156005,ref:slurm-50323.out|corr:slurm-51470.out
c2_h2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-77.33688508156601,ref:slurm-50451.out|corr:slurm-51534.out
c_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-38.479573790879,ref:slurm-50367.out|corr:slurm-51492.out
c_h2_singlet,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-39.134397912418,ref:slurm-50375.out|corr:slurm-51496.out
c_h2_triplet,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-39.149591800683,ref:slurm-51119.out|corr:slurm-51494.out
c_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-40.516007508395006,ref:slurm-50383.out|corr:slurm-51500.out
c_n,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-92.722783419273,ref:slurm-50459.out|corr:slurm-51540.out
c_o,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-113.327748063359,ref:slurm-50467.out|corr:slurm-51544.out
c_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-188.60436501681,ref:slurm-50499.out|corr:slurm-51564.out
c_s,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-436.171059213583,ref:slurm-50531.out|corr:slurm-51580.out
cl,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-460.09613909246997,ref:slurm-50355.out|corr:slurm-51486.out
cl2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-920.287539193232,ref:slurm-50519.out|corr:slurm-51574.out
cl_f,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-559.93284383449,ref:slurm-50543.out|corr:slurm-51586.out
