species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-14.666289838696,ref:slurm-50319.out|corr:slurm-51328.out
be_h,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-15.248001529508,ref:slurm-50363.out|corr:slurm-51350.out
c,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-37.842754862111,ref:slurm-50323.out|corr:slurm-51330.out
c2_h2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-77.333240453927,ref:slurm-50451.out|corr:slurm-51394.out
c_h,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-38.477821095295,ref:slurm-50367.out|corr:slurm-51352.out
c_h2_singlet,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-39.133103285445,ref:slurm-50375.out|corr:slurm-51356.out
c_h2_triplet,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-39.148191991377,ref:slurm-51119.out|corr:slurm-51354.out
c_h4,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-40.515515143132006,ref:slurm-50383.out|corr:slurm-51360.out
c_n,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-92.71774462318801,ref:slurm-50459.out|corr:slurm-51400.out
c_o,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-113.322311126343,ref:slurm-50467.out|corr:slurm-51404.out
c_o2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-188.595716715366,ref:slurm-50499.out|corr:slurm-51424.out
c_s,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-436.150498746518,ref:slurm-50531.out|corr:slurm-51440.out
cl2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-920.240531601318,ref:slurm-50519.out|corr:slurm-51434.out
cl_f,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-559.9062997819129,ref:slurm-50543.out|corr:slurm-51446.out
cl_o,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-535.242080076618,ref:slurm-51129.out|corr:slurm-51444.out
f,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-99.73036248292,ref:slurm-50335.out|corr:slurm-51336.out
f2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-199.522985509569,ref:slurm-50495.out|corr:slurm-51422.out
h,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-0.500003851065,ref:slurm-50311.out|corr:slurm-51324.out
h-,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-0.527492776,ref:slurm-50567.out|corr:slurm-51462.out
h2_c_o,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-114.506617663899,ref:slurm-50475.out|corr:slurm-51408.out
h2_o,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-76.43714061086301,ref:slurm-50403.out|corr:slurm-51370.out
h2_o2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-151.559424635096,ref:slurm-50491.out|corr:slurm-51420.out
h2_s,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-399.328476223129,ref:slurm-50435.out|corr:slurm-51386.out
h_c_n,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-93.43020557466299,ref:slurm-50463.out|corr:slurm-51402.out
h_cl,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-460.74549661325005,ref:slurm-50439.out|corr:slurm-51388.out
h_f,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-100.457123398733,ref:slurm-50407.out|corr:slurm-51372.out
h_o_cl,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-535.905327285598,ref:slurm-50551.out|corr:slurm-51454.out
li,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-7.4783029978540005,ref:slurm-50315.out|corr:slurm-51326.out
li+,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-7.2810054716899995,ref:slurm-50559.out|corr:slurm-51458.out
li2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-14.995409466314,ref:slurm-50443.out|corr:slurm-51390.out
li_f,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-107.431367568817,ref:slurm-50447.out|corr:slurm-51392.out
li_h,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-8.07143046431,ref:slurm-50359.out|corr:slurm-51348.out
