species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(D+d)Z,ΛCCSD(T),-14.666753037708,slurm-44332.out
be_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-15.235804583023,slurm-44398.out
c,aug-ano-pV(D+d)Z,ΛUCCSD(T),-37.840166066036,slurm-44338.out
c2_h2,aug-ano-pV(D+d)Z,ΛCCSD(T),-77.314660015607,slurm-44530.out
c2_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-78.569579016984,slurm-44536.out
c2_h6,aug-ano-pV(D+d)Z,ΛCCSD(T),-79.80766292592,slurm-44542.out
c_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-38.471595445713,slurm-44404.out
c_h2_singlet,aug-ano-pV(D+d)Z,ΛCCSD(T),-39.124622092076,slurm-44416.out
c_h2_triplet,aug-ano-pV(D+d)Z,ΛUCCSD(T),-39.140447760848,slurm-44410.out
c_h3,aug-ano-pV(D+d)Z,ΛUCCSD(T),-39.826419252124,slurm-44422.out
c_h3_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-499.992803893006,slurm-44701.out
c_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-40.505837463048,slurm-44428.out
c_n,aug-ano-pV(D+d)Z,ΛUCCSD(T),-92.700014448344,slurm-44551.out
c_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-113.302544263706,slurm-44563.out
c_o2,aug-ano-pV(D+d)Z,ΛCCSD(T),-188.558403092659,slurm-44623.out
c_s,aug-ano-pV(D+d)Z,ΛCCSD(T),-436.104257137104,slurm-44671.out
cl,aug-ano-pV(D+d)Z,ΛUCCSD(T),-460.031417883099,slurm-44386.out
cl2,aug-ano-pV(D+d)Z,ΛCCSD(T),-920.144599061069,slurm-44653.out
cl_f,aug-ano-pV(D+d)Z,ΛCCSD(T),-559.842239221358,slurm-44689.out
cl_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-535.17876213458,slurm-44683.out
f,aug-ano-pV(D+d)Z,ΛUCCSD(T),-99.722009789586,slurm-44356.out
f2,aug-ano-pV(D+d)Z,ΛCCSD(T),-199.495267849238,slurm-44617.out
h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-0.499343867182,slurm-44320.out
h-,aug-ano-pV(D+d)Z,ΛCCSD(T),-0.476128185958,slurm-44737.out
h2_c_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-114.483724770673,slurm-44575.out
h2_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-76.424594070036,slurm-44458.out
h2_o2,aug-ano-pV(D+d)Z,ΛCCSD(T),-151.53141201593,slurm-44611.out
h2_s,aug-ano-pV(D+d)Z,ΛCCSD(T),-399.287634868932,slurm-44506.out
h3_c_o_h,aug-ano-pV(D+d)Z,ΛCCSD(T),-115.705916875818,slurm-44581.out
h3_c_s_h,aug-ano-pV(D+d)Z,ΛCCSD(T),-438.585316485168,slurm-44707.out
h_c_n,aug-ano-pV(D+d)Z,ΛCCSD(T),-93.410648273883,slurm-44557.out
h_c_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-113.831649644621,slurm-44569.out
h_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-460.700938533227,slurm-44512.out
h_f,aug-ano-pV(D+d)Z,ΛCCSD(T),-100.445654005144,slurm-44464.out
h_o_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-535.840772928862,slurm-44713.out
li,aug-ano-pV(D+d)Z,ΛUCCSD(T),-7.478092117822,slurm-44326.out
li+,aug-ano-pV(D+d)Z,ΛCCSD(T),-7.279887835496,slurm-44725.out
li2,aug-ano-pV(D+d)Z,ΛCCSD(T),-14.969639522085,slurm-44518.out
li_f,aug-ano-pV(D+d)Z,ΛCCSD(T),-107.408214138616,slurm-44524.out
li_h,aug-ano-pV(D+d)Z,ΛCCSD(T),-8.06218951516,slurm-44392.out
n,aug-ano-pV(D+d)Z,ΛUCCSD(T),-54.582819053559,slurm-44344.out
n2,aug-ano-pV(D+d)Z,ΛCCSD(T),-109.518672958212,slurm-44587.out
n2_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-111.848710352067,slurm-44593.out
n_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-55.211698555625,slurm-44434.out
n_h2,aug-ano-pV(D+d)Z,ΛUCCSD(T),-55.867949867755,slurm-44440.out
n_h3,aug-ano-pV(D+d)Z,ΛCCSD(T),-56.550688366281,slurm-44446.out
n_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-129.870293356107,slurm-44599.out
na,aug-ano-pV(D+d)Z,ΛUCCSD(T),-162.180058638485,slurm-44362.out
na+,aug-ano-pV(D+d)Z,ΛCCSD(T),-161.997325112315,slurm-44731.out
na2,aug-ano-pV(D+d)Z,ΛCCSD(T),-324.368930450281,slurm-44629.out
na_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-622.354408941013,slurm-44659.out
o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-75.056241115502,slurm-44350.out
o2,aug-ano-pV(D+d)Z,ΛUCCSD(T),-150.292988521457,slurm-44605.out
o_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-75.724877540934,slurm-44452.out
p,aug-ano-pV(D+d)Z,ΛUCCSD(T),-341.164680708102,slurm-44374.out
p2,aug-ano-pV(D+d)Z,ΛCCSD(T),-682.494021117987,slurm-44641.out
p_h2,aug-ano-pV(D+d)Z,ΛUCCSD(T),-342.402664053445,slurm-44494.out
p_h3,aug-ano-pV(D+d)Z,ΛCCSD(T),-343.041131123011,slurm-44500.out
s,aug-ano-pV(D+d)Z,ΛUCCSD(T),-397.999592673379,slurm-44380.out
s2,aug-ano-pV(D+d)Z,ΛUCCSD(T),-796.147826464515,slurm-44647.out
s_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-473.245096423943,slurm-44677.out
s_o2,aug-ano-pV(D+d)Z,ΛCCSD(T),-548.501362915443,slurm-44719.out
si,aug-ano-pV(D+d)Z,ΛUCCSD(T),-289.262940407634,slurm-44368.out
si2,aug-ano-pV(D+d)Z,ΛUCCSD(T),-578.634000179675,slurm-44635.out
si2_h6,aug-ano-pV(D+d)Z,ΛCCSD(T),-582.360131275226,slurm-44695.out
si_h2_singlet,aug-ano-pV(D+d)Z,ΛCCSD(T),-290.501977744517,slurm-44470.out
si_h2_triplet,aug-ano-pV(D+d)Z,ΛUCCSD(T),-290.469372190335,slurm-44476.out
si_h3,aug-ano-pV(D+d)Z,ΛUCCSD(T),-291.119025706639,slurm-44482.out
si_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-291.772095147861,slurm-44488.out
si_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-364.616237414083,slurm-44665.out
