species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(Q+d)Z,ΛCCSD(T),-14.668120087081,slurm-43938.out
c,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-37.845388255814,slurm-910793.out
c_h3_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-500.085246853472,slurm-913824.out
c_s,aug-ano-pV(Q+d)Z,ΛCCSD(T),-436.182986867297,slurm-913870.out
cl,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-460.107722346301,slurm-913826.out
cl2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-920.309853104602,slurm-913864.out
cl_f,aug-ano-pV(Q+d)Z,ΛCCSD(T),-559.94307061242,slurm-913828.out
cl_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-535.278995007975,slurm-913866.out
f,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-99.735150943761,slurm-43939.out
h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-0.499886239185,slurm-910808.out
h2_s,aug-ano-pV(Q+d)Z,ΛCCSD(T),-399.357642240126,slurm-913872.out
h3_c_s_h,aug-ano-pV(Q+d)Z,ΛCCSD(T),-438.668005779379,slurm-913950.out
h_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-460.77946251916,slurm-913868.out
h_o_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-535.941347579255,slurm-913830.out
li,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-7.478182983426,slurm-43937.out
n,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-54.589819190206,slurm-910803.out
na,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-162.238658332541,slurm-913876.out
na2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-324.492661589862,slurm-913878.out
na_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-622.50089060684,slurm-913832.out
o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-75.068166500216,slurm-910798.out
p,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-341.210567669505,slurm-913834.out
p2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-682.606758162944,slurm-913840.out
p_h2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-342.457441050064,slurm-913836.out
p_h3,aug-ano-pV(Q+d)Z,ΛCCSD(T),-343.098076562599,slurm-913838.out
s,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-398.063373181606,slurm-913842.out
s2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-796.291848217072,slurm-913844.out
s_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-473.333478702639,slurm-913846.out
s_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-548.61553081146,slurm-913960.out
si,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-289.308108673583,slurm-913880.out
si2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-578.736896838687,slurm-913850.out
si2_h6,aug-ano-pV(Q+d)Z,ΛCCSD(T),-582.474027386763,slurm-913955.out
si_h2_singlet,aug-ano-pV(Q+d)Z,ΛCCSD(T),-290.553983603422,slurm-913856.out
si_h2_triplet,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-290.520682952299,slurm-913854.out
si_h3,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-291.172852251062,slurm-913858.out
si_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T),-291.82780797149,slurm-913860.out
si_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-364.685046746613,slurm-913862.out
