species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(T+d)Z,ΛCCSD(T),-14.666851594901,slurm-906130.out
c,aug-ano-pV(T+d)Z,ΛUCCSD(T),-37.845078565052,slurm-906131.out
c_h3_cl,aug-ano-pV(T+d)Z,ΛCCSD(T),-500.062890475988,slurm-908871.out
c_s,aug-ano-pV(T+d)Z,ΛCCSD(T),-436.164149417793,slurm-909181.out
cl,aug-ano-pV(T+d)Z,ΛUCCSD(T),-460.085393829991,slurm-908881.out
cl2,aug-ano-pV(T+d)Z,ΛCCSD(T),-920.262986155243,slurm-909211.out
cl_f,aug-ano-pV(T+d)Z,ΛCCSD(T),-559.920694537782,slurm-908887.out
cl_o,aug-ano-pV(T+d)Z,ΛUCCSD(T),-535.256303278184,slurm-909165.out
f,aug-ano-pV(T+d)Z,ΛUCCSD(T),-99.736085142138,slurm-906134.out
h,aug-ano-pV(T+d)Z,ΛUCCSD(T),-0.499835308872,slurm-901255.out
h2_s,aug-ano-pV(T+d)Z,ΛCCSD(T),-399.340218238369,slurm-909187.out
h3_c_s_h,aug-ano-pV(T+d)Z,ΛCCSD(T),-438.650612640085,slurm-909193.out
h_cl,aug-ano-pV(T+d)Z,ΛCCSD(T),-460.757526154151,slurm-909175.out
h_o_cl,aug-ano-pV(T+d)Z,ΛCCSD(T),-535.918331877806,slurm-908931.out
li,aug-ano-pV(T+d)Z,ΛUCCSD(T),-7.478351364589,slurm-906129.out
n,aug-ano-pV(T+d)Z,ΛUCCSD(T),-54.589572711055,slurm-906132.out
na,aug-ano-pV(T+d)Z,ΛUCCSD(T),-162.230463149122,slurm-909199.out
na2,aug-ano-pV(T+d)Z,ΛCCSD(T),-324.471004786787,slurm-909205.out
na_cl,aug-ano-pV(T+d)Z,ΛCCSD(T),-622.466152293012,slurm-908964.out
o,aug-ano-pV(T+d)Z,ΛUCCSD(T),-75.068061029507,slurm-901265.out
p,aug-ano-pV(T+d)Z,ΛUCCSD(T),-341.198712943062,slurm-908973.out
p2,aug-ano-pV(T+d)Z,ΛCCSD(T),-682.578169614726,slurm-909077.out
p_h2,aug-ano-pV(T+d)Z,ΛUCCSD(T),-342.444732515256,slurm-909039.out
p_h3,aug-ano-pV(T+d)Z,ΛCCSD(T),-343.085195090227,slurm-909071.out
s,aug-ano-pV(T+d)Z,ΛUCCSD(T),-398.046000304801,slurm-909083.out
s2,aug-ano-pV(T+d)Z,ΛUCCSD(T),-796.253937954481,slurm-909395.out
s_o,aug-ano-pV(T+d)Z,ΛUCCSD(T),-473.314950551754,slurm-909110.out
s_o2,aug-ano-pV(T+d)Z,ΛCCSD(T),-548.595504111202,slurm-909116.out
si,aug-ano-pV(T+d)Z,ΛUCCSD(T),-289.2940791972,slurm-908821.out
si2,aug-ano-pV(T+d)Z,ΛUCCSD(T),-578.70736771331,slurm-909122.out
si2_h6,aug-ano-pV(T+d)Z,ΛCCSD(T),-582.4441845185,slurm-909493.out
si_h2_singlet,aug-ano-pV(T+d)Z,ΛCCSD(T),-290.539422702794,slurm-909135.out
si_h2_triplet,aug-ano-pV(T+d)Z,ΛUCCSD(T),-290.506037921805,slurm-909129.out
si_h3,aug-ano-pV(T+d)Z,ΛUCCSD(T),-291.158308997004,slurm-909141.out
si_h4,aug-ano-pV(T+d)Z,ΛCCSD(T),-291.813092762964,slurm-909147.out
si_o,aug-ano-pV(T+d)Z,ΛCCSD(T),-364.668816592848,slurm-909153.out
