species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pvdz,ΛCCSD(T),-14.666665581891,slurm-893211.out
be_h,aug-ano-pvdz,ΛUCCSD(T),-15.235734902716,slurm-893222.out
c,aug-ano-pvdz,ΛUCCSD(T),-37.840180173677,slurm-893212.out
c2_h2,aug-ano-pvdz,ΛCCSD(T),-77.314244027776,slurm-893244.out
c2_h4,aug-ano-pvdz,ΛCCSD(T),-78.569319861856,slurm-893245.out
c2_h6,aug-ano-pvdz,ΛCCSD(T),-79.80762564862,slurm-893246.out
c_h,aug-ano-pvdz,ΛUCCSD(T),-38.471584397942,slurm-893223.out
c_h2_singlet,aug-ano-pvdz,ΛCCSD(T),-39.12468049644,slurm-893225.out
c_h2_triplet,aug-ano-pvdz,ΛUCCSD(T),-39.140360578978,slurm-893224.out
c_h3,aug-ano-pvdz,ΛUCCSD(T),-39.826289805403,slurm-893226.out
c_h3_cl,aug-ano-pvdz,ΛCCSD(T),-499.964601957869,slurm-893272.out
c_h4,aug-ano-pvdz,ΛCCSD(T),-40.505968508176,slurm-893227.out
c_n,aug-ano-pvdz,ΛUCCSD(T),-92.69999079957,slurm-893247.out
c_o,aug-ano-pvdz,ΛCCSD(T),-113.302545387983,slurm-893249.out
c_o2,aug-ano-pvdz,ΛCCSD(T),-188.558304784328,slurm-893259.out
c_s,aug-ano-pvdz,ΛCCSD(T),-436.075888492572,slurm-893267.out
cl,aug-ano-pvdz,ΛUCCSD(T),-460.0038517058,slurm-893220.out
cl2,aug-ano-pvdz,ΛCCSD(T),-920.088591466975,slurm-893440.out
cl_f,aug-ano-pvdz,ΛCCSD(T),-559.814398104801,slurm-893270.out
cl_o,aug-ano-pvdz,ΛUCCSD(T),-535.150050839309,slurm-893269.out
f,aug-ano-pvdz,ΛUCCSD(T),-99.721828246112,slurm-893215.out
f2,aug-ano-pvdz,ΛCCSD(T),-199.495080051392,slurm-893258.out
h,aug-ano-pvdz,ΛUCCSD(T),-0.499313473287,slurm-893209.out
h2_c_o,aug-ano-pvdz,ΛCCSD(T),-114.483737911888,slurm-893251.out
h2_o,aug-ano-pvdz,ΛCCSD(T),-76.424464401625,slurm-893232.out
h2_o2,aug-ano-pvdz,ΛCCSD(T),-151.531809260031,slurm-893257.out
h2_s,aug-ano-pvdz,ΛCCSD(T),-399.260023949832,slurm-893240.out
h3_c_o_h,aug-ano-pvdz,ΛCCSD(T),-115.705860741326,slurm-893252.out
h3_c_s_h,aug-ano-pvdz,ΛCCSD(T),-438.558026562292,slurm-893273.out
h_c_n,aug-ano-pvdz,ΛCCSD(T),-93.410639865148,slurm-893248.out
h_c_o,aug-ano-pvdz,ΛUCCSD(T),-113.831843205358,slurm-893250.out
h_cl,aug-ano-pvdz,ΛCCSD(T),-460.672409288642,slurm-893241.out
h_f,aug-ano-pvdz,ΛCCSD(T),-100.445752457574,slurm-893233.out
h_o_cl,aug-ano-pvdz,ΛCCSD(T),-535.81337962083,slurm-893274.out
li,aug-ano-pvdz,ΛUCCSD(T),-7.47813039764,slurm-893210.out
li2,aug-ano-pvdz,ΛCCSD(T),-14.969619530144,slurm-893242.out
li_f,aug-ano-pvdz,ΛCCSD(T),-107.408130080449,slurm-893243.out
li_h,aug-ano-pvdz,ΛCCSD(T),-8.062219454937,slurm-893221.out
n,aug-ano-pvdz,ΛUCCSD(T),-54.582595504585,slurm-893213.out
n2,aug-ano-pvdz,ΛCCSD(T),-109.518640732555,slurm-893253.out
n2_h4,aug-ano-pvdz,ΛCCSD(T),-111.84866610275,slurm-893254.out
n_h,aug-ano-pvdz,ΛUCCSD(T),-55.211779730188,slurm-893228.out
n_h2,aug-ano-pvdz,ΛUCCSD(T),-55.867985930594,slurm-893229.out
n_h3,aug-ano-pvdz,ΛCCSD(T),-56.550705804019,slurm-893230.out
n_o,aug-ano-pvdz,ΛUCCSD(T),-129.870242078326,slurm-893255.out
na,aug-ano-pvdz,ΛUCCSD(T),-162.175653537938,slurm-893216.out
na2,aug-ano-pvdz,ΛCCSD(T),-324.360114867284,slurm-893260.out
na_cl,aug-ano-pvdz,ΛCCSD(T),-622.32047891151,slurm-893265.out
o,aug-ano-pvdz,ΛUCCSD(T),-75.056147250418,slurm-893214.out
o2,aug-ano-pvdz,ΛUCCSD(T),-150.293023244051,slurm-908316.out
o_h,aug-ano-pvdz,ΛUCCSD(T),-75.724865770074,slurm-893231.out
p,aug-ano-pvdz,ΛUCCSD(T),-341.13733485825,slurm-893218.out
p2,aug-ano-pvdz,ΛCCSD(T),-682.437822014827,slurm-893262.out
p_h2,aug-ano-pvdz,ΛUCCSD(T),-342.37464915384,slurm-893238.out
p_h3,aug-ano-pvdz,ΛCCSD(T),-343.012763188699,slurm-893239.out
s,aug-ano-pvdz,ΛUCCSD(T),-397.972420530612,slurm-893219.out
s2,aug-ano-pvdz,ΛUCCSD(T),-796.092630866881,slurm-893263.out
s_o,aug-ano-pvdz,ΛUCCSD(T),-473.21554622139,slurm-893268.out
s_o2,aug-ano-pvdz,ΛCCSD(T),-548.466534838905,slurm-893275.out
si,aug-ano-pvdz,ΛUCCSD(T),-289.2395526407,slurm-893217.out
si2,aug-ano-pvdz,ΛUCCSD(T),-578.586895771272,slurm-908322.out
si2_h6,aug-ano-pvdz,ΛCCSD(T),-582.312322540056,slurm-893446.out
si_h2_singlet,aug-ano-pvdz,ΛCCSD(T),-290.47812857562,slurm-893234.out
si_h2_triplet,aug-ano-pvdz,ΛUCCSD(T),-290.44572710597,slurm-893235.out
si_h3,aug-ano-pvdz,ΛUCCSD(T),-291.094915787616,slurm-893236.out
si_h4,aug-ano-pvdz,ΛCCSD(T),-291.74748061796,slurm-893237.out
si_o,aug-ano-pvdz,ΛCCSD(T),-364.590006860601,slurm-893266.out
