species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pvqz,ΛCCSD(T),-14.668120087081,slurm-43938.out
be_h,aug-ano-pvqz,ΛUCCSD(T),-15.247674536494,slurm-43946.out
c,aug-ano-pvqz,ΛUCCSD(T),-37.845388255814,slurm-910793.out
c2_h2,aug-ano-pvqz,ΛCCSD(T),-77.336307708139,slurm-910838.out
c2_h4,aug-ano-pvqz,ΛCCSD(T),-78.589248151145,slurm-912983.out
c2_h6,aug-ano-pvqz,ΛCCSD(T),-79.827470140068,slurm-44267.out
c_h,aug-ano-pvqz,ΛUCCSD(T),-38.479288764107,slurm-43947.out
c_h2_singlet,aug-ano-pvqz,ΛCCSD(T),-39.133904163832,slurm-43949.out
c_h2_triplet,aug-ano-pvqz,ΛUCCSD(T),-39.149294390569,slurm-43948.out
c_h3,aug-ano-pvqz,ΛUCCSD(T),-39.83605823647,slurm-910823.out
c_h3_cl,aug-ano-pvqz,ΛCCSD(T),-500.064862133443,slurm-44013.out
c_h4,aug-ano-pvqz,ΛCCSD(T),-40.515528269635,slurm-910843.out
c_n,aug-ano-pvqz,ΛUCCSD(T),-92.722320004768,slurm-43965.out
c_o,aug-ano-pvqz,ΛCCSD(T),-113.327170439766,slurm-43966.out
c_o2,aug-ano-pvqz,ΛCCSD(T),-188.603414037524,slurm-910968.out
c_s,aug-ano-pvqz,ΛCCSD(T),-436.151615867014,slurm-43979.out
cl,aug-ano-pvqz,ΛUCCSD(T),-460.087308409737,slurm-43944.out
cl2,aug-ano-pvqz,ΛCCSD(T),-920.269088814752,slurm-43976.out
cl_f,aug-ano-pvqz,ΛCCSD(T),-559.922689607469,slurm-43982.out
cl_o,aug-ano-pvqz,ΛUCCSD(T),-535.258416938271,slurm-43981.out
f,aug-ano-pvqz,ΛUCCSD(T),-99.735150943761,slurm-43939.out
f2,aug-ano-pvqz,ΛCCSD(T),-199.530802219685,slurm-43971.out
h,aug-ano-pvqz,ΛUCCSD(T),-0.499886239185,slurm-910808.out
h-,aug-ano-pvqz,ΛCCSD(T),-0.48376714835,slurm-43990.out
h2_c_o,aug-ano-pvqz,ΛCCSD(T),-114.510327685431,slurm-910833.out
h2_o,aug-ano-pvqz,ΛCCSD(T),-76.439655774339,slurm-43953.out
h2_o2,aug-ano-pvqz,ΛCCSD(T),-151.564778533761,slurm-43970.out
h2_s,aug-ano-pvqz,ΛCCSD(T),-399.325198181123,slurm-43961.out
h3_c_o_h,aug-ano-pvqz,ΛCCSD(T),-115.732381131189,slurm-912985.out
h3_c_s_h,aug-ano-pvqz,ΛCCSD(T),-438.637565635532,slurm-44018.out
h_c_n,aug-ano-pvqz,ΛCCSD(T),-93.433823459246,slurm-910828.out
h_c_o,aug-ano-pvqz,ΛUCCSD(T),-113.858459030269,slurm-910813.out
h_cl,aug-ano-pvqz,ΛCCSD(T),-460.758932275151,slurm-43962.out
h_f,aug-ano-pvqz,ΛCCSD(T),-100.461017294604,slurm-43954.out
h_o_cl,aug-ano-pvqz,ΛCCSD(T),-535.920813465155,slurm-43986.out
li,aug-ano-pvqz,ΛUCCSD(T),-7.478182983426,slurm-43937.out
li+,aug-ano-pvqz,ΛCCSD(T),-7.27995186358,slurm-43988.out
li2,aug-ano-pvqz,ΛCCSD(T),-14.984783288679,slurm-43963.out
li_f,aug-ano-pvqz,ΛCCSD(T),-107.434962037133,slurm-43964.out
li_h,aug-ano-pvqz,ΛCCSD(T),-8.068503273155,slurm-43945.out
n,aug-ano-pvqz,ΛUCCSD(T),-54.589819190206,slurm-910803.out
n2,aug-ano-pvqz,ΛCCSD(T),-109.542735957244,slurm-43967.out
n2_h4,aug-ano-pvqz,ΛCCSD(T),-111.877585529154,slurm-912984.out
n_h,aug-ano-pvqz,ΛUCCSD(T),-55.222001898223,slurm-43950.out
n_h2,aug-ano-pvqz,ΛUCCSD(T),-55.8803917867,slurm-43951.out
n_h3,aug-ano-pvqz,ΛCCSD(T),-56.564455619465,slurm-910818.out
n_o,aug-ano-pvqz,ΛUCCSD(T),-129.900455285693,slurm-43968.out
na,aug-ano-pvqz,ΛUCCSD(T),-162.235241937604,slurm-43940.out
na+,aug-ano-pvqz,ΛCCSD(T),-162.047004373661,slurm-43989.out
na2,aug-ano-pvqz,ΛCCSD(T),-324.485731918505,slurm-43972.out
na_cl,aug-ano-pvqz,ΛCCSD(T),-622.477250048553,slurm-43977.out
o,aug-ano-pvqz,ΛUCCSD(T),-75.068166500216,slurm-910798.out
o2,aug-ano-pvqz,ΛUCCSD(T),-150.327004470964,slurm-43969.out
o_h,aug-ano-pvqz,ΛUCCSD(T),-75.738898081393,slurm-43952.out
p,aug-ano-pvqz,ΛUCCSD(T),-341.177081864732,slurm-43942.out
p2,aug-ano-pvqz,ΛCCSD(T),-682.544910353653,slurm-43974.out
p_h2,aug-ano-pvqz,ΛUCCSD(T),-342.425995431051,slurm-43959.out
p_h3,aug-ano-pvqz,ΛCCSD(T),-343.068889785389,slurm-43960.out
s,aug-ano-pvqz,ΛUCCSD(T),-398.027253578181,slurm-43943.out
s2,aug-ano-pvqz,ΛUCCSD(T),-796.222734740056,slurm-43975.out
s_o,aug-ano-pvqz,ΛUCCSD(T),-473.300732569489,slurm-43980.out
s_o2,aug-ano-pvqz,ΛCCSD(T),-548.586351422568,slurm-44003.out
si,aug-ano-pvqz,ΛUCCSD(T),-289.274344742707,slurm-43941.out
si2,aug-ano-pvqz,ΛUCCSD(T),-578.673753004984,slurm-43973.out
si2_h6,aug-ano-pvqz,ΛCCSD(T),-582.415667212336,slurm-44265.out
si_h2_singlet,aug-ano-pvqz,ΛCCSD(T),-290.522188036316,slurm-43955.out
si_h2_triplet,aug-ano-pvqz,ΛUCCSD(T),-290.488363122022,slurm-43956.out
si_h3,aug-ano-pvqz,ΛUCCSD(T),-291.142089249917,slurm-43957.out
si_h4,aug-ano-pvqz,ΛCCSD(T),-291.797795890755,slurm-43958.out
si_o,aug-ano-pvqz,ΛCCSD(T),-364.653971647114,slurm-43978.out
