species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pvtz,ΛCCSD(T),-14.666851594901,slurm-906130.out
be_h,aug-ano-pvtz,ΛUCCSD(T),-15.244102661535,slurm-906141.out
c,aug-ano-pvtz,ΛUCCSD(T),-37.845078565052,slurm-906131.out
c2_h2,aug-ano-pvtz,ΛCCSD(T),-77.335331998354,slurm-906163.out
c2_h4,aug-ano-pvtz,ΛCCSD(T),-78.588988893477,slurm-906164.out
c2_h6,aug-ano-pvtz,ΛCCSD(T),-79.827891091534,slurm-906468.out
c_h,aug-ano-pvtz,ΛUCCSD(T),-38.479111751091,slurm-906142.out
c_h2_singlet,aug-ano-pvtz,ΛCCSD(T),-39.133800262934,slurm-906144.out
c_h2_triplet,aug-ano-pvtz,ΛUCCSD(T),-39.149121718982,slurm-906143.out
c_h3,aug-ano-pvtz,ΛUCCSD(T),-39.836051504212,slurm-906145.out
c_h3_cl,aug-ano-pvtz,ΛCCSD(T),-500.028460181239,slurm-906469.out
c_h4,aug-ano-pvtz,ΛCCSD(T),-40.515936337129,slurm-906146.out
c_n,aug-ano-pvtz,ΛUCCSD(T),-92.721173225806,slurm-906166.out
c_o,aug-ano-pvtz,ΛCCSD(T),-113.326416377986,slurm-906168.out
c_o2,aug-ano-pvtz,ΛCCSD(T),-188.602275435721,slurm-906178.out
c_s,aug-ano-pvtz,ΛCCSD(T),-436.128796188961,slurm-906186.out
cl,aug-ano-pvtz,ΛUCCSD(T),-460.050795830474,slurm-906139.out
cl2,aug-ano-pvtz,ΛCCSD(T),-920.19359097259,slurm-906470.out
cl_f,aug-ano-pvtz,ΛCCSD(T),-559.885334888716,slurm-906189.out
cl_o,aug-ano-pvtz,ΛUCCSD(T),-535.220326164105,slurm-906471.out
f,aug-ano-pvtz,ΛUCCSD(T),-99.736085142138,slurm-906134.out
f2,aug-ano-pvtz,ΛCCSD(T),-199.531803035273,slurm-906177.out
h,aug-ano-pvtz,ΛUCCSD(T),-0.499835308872,slurm-906128.out
h2_c_o,aug-ano-pvtz,ΛCCSD(T),-114.510062520066,slurm-906170.out
h2_o,aug-ano-pvtz,ΛCCSD(T),-76.439898674623,slurm-906151.out
h2_o2,aug-ano-pvtz,ΛCCSD(T),-151.565037838717,slurm-906176.out
h2_s,aug-ano-pvtz,ΛCCSD(T),-399.30599573676,slurm-906159.out
h3_c_o_h,aug-ano-pvtz,ΛCCSD(T),-115.732774141785,slurm-906472.out
h3_c_s_h,aug-ano-pvtz,ΛCCSD(T),-438.616556009561,slurm-906473.out
h_c_n,aug-ano-pvtz,ΛCCSD(T),-93.432968833626,slurm-906167.out
h_c_o,aug-ano-pvtz,ΛUCCSD(T),-113.857709755285,slurm-906474.out
h_cl,aug-ano-pvtz,ΛCCSD(T),-460.721996236565,slurm-906160.out
