species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pvtz,DC-CCSDT,-14.666861105083,slurm-906130.out
be_h,aug-ano-pvtz,UDC-CCSDT,-15.244320732495,slurm-906141.out
c,aug-ano-pvtz,UDC-CCSDT,-37.845621221744,slurm-906131.out
c2_h2,aug-ano-pvtz,DC-CCSDT,-77.336487988578,slurm-906163.out
c2_h4,aug-ano-pvtz,DC-CCSDT,-78.590138212628,slurm-906164.out
c_h,aug-ano-pvtz,UDC-CCSDT,-38.47990361115,slurm-906142.out
c_h2_singlet,aug-ano-pvtz,DC-CCSDT,-39.134846757448,slurm-906144.out
c_h2_triplet,aug-ano-pvtz,UDC-CCSDT,-39.149648161359,slurm-906143.out
c_h3,aug-ano-pvtz,UDC-CCSDT,-39.836540594008,slurm-906145.out
c_h4,aug-ano-pvtz,DC-CCSDT,-40.516356076829,slurm-906146.out
c_n,aug-ano-pvtz,UDC-CCSDT,-92.72315943867,slurm-906166.out
c_o,aug-ano-pvtz,DC-CCSDT,-113.327408033146,slurm-906168.out
c_s,aug-ano-pvtz,DC-CCSDT,-436.131127882393,slurm-906186.out
cl,aug-ano-pvtz,UDC-CCSDT,-460.051649228861,slurm-906139.out
cl2,aug-ano-pvtz,DC-CCSDT,-920.195642951084,slurm-906470.out
cl_f,aug-ano-pvtz,DC-CCSDT,-559.886687484812,slurm-906189.out
f,aug-ano-pvtz,UDC-CCSDT,-99.736283737116,slurm-906134.out
f2,aug-ano-pvtz,DC-CCSDT,-199.532850628147,slurm-906177.out
h,aug-ano-pvtz,UDC-CCSDT,-0.499835308872,slurm-906128.out
h2_c_o,aug-ano-pvtz,DC-CCSDT,-114.510919072604,slurm-906170.out
h2_o,aug-ano-pvtz,DC-CCSDT,-76.440006658598,slurm-906151.out
h2_o2,aug-ano-pvtz,DC-CCSDT,-151.565660196449,slurm-906176.out
h2_s,aug-ano-pvtz,DC-CCSDT,-399.307070270446,slurm-906159.out
h3_c_o_h,aug-ano-pvtz,DC-CCSDT,-115.733215710781,slurm-906472.out
h_c_n,aug-ano-pvtz,DC-CCSDT,-93.433973940578,slurm-906167.out
h_c_o,aug-ano-pvtz,UDC-CCSDT,-113.858691582621,slurm-906474.out
h_cl,aug-ano-pvtz,DC-CCSDT,-460.722815297437,slurm-906160.out
h_f,aug-ano-pvtz,DC-CCSDT,-100.462027433802,slurm-906152.out
h_o_cl,aug-ano-pvtz,DC-CCSDT,-535.884736612946,slurm-906193.out
li,aug-ano-pvtz,UDC-CCSDT,-7.47835295846,slurm-906129.out
li+,aug-ano-pvtz,DC-CCSDT,-7.280079309167,slurm-906195.out
li2,aug-ano-pvtz,DC-CCSDT,-14.97718093307,slurm-906161.out
li_f,aug-ano-pvtz,DC-CCSDT,-107.432697512867,slurm-906162.out
li_h,aug-ano-pvtz,DC-CCSDT,-8.067197428,slurm-906140.out
n,aug-ano-pvtz,UDC-CCSDT,-54.58993583349,slurm-906132.out
n2,aug-ano-pvtz,DC-CCSDT,-109.543088730512,slurm-906172.out
n2_h4,aug-ano-pvtz,DC-CCSDT,-111.877980961407,slurm-906475.out
n_h,aug-ano-pvtz,UDC-CCSDT,-55.222304238971,slurm-906147.out
n_h2,aug-ano-pvtz,UDC-CCSDT,-55.880950489508,slurm-906148.out
n_h3,aug-ano-pvtz,DC-CCSDT,-56.564763125046,slurm-906149.out
n_o,aug-ano-pvtz,UDC-CCSDT,-129.900704862381,slurm-906174.out
na,aug-ano-pvtz,UDC-CCSDT,-162.227760110375,slurm-906135.out
na+,aug-ano-pvtz,DC-CCSDT,-162.041637452202,slurm-906196.out
na2,aug-ano-pvtz,DC-CCSDT,-324.466486761291,slurm-906179.out
na_cl,aug-ano-pvtz,DC-CCSDT,-622.42954004041,slurm-906184.out
o,aug-ano-pvtz,UDC-CCSDT,-75.068391465068,slurm-906133.out
o_h,aug-ano-pvtz,UDC-CCSDT,-75.739449019688,slurm-906150.out
p,aug-ano-pvtz,UDC-CCSDT,-341.16493991284,slurm-906137.out
p2,aug-ano-pvtz,DC-CCSDT,-682.511903651828,slurm-906181.out
p_h2,aug-ano-pvtz,UDC-CCSDT,-342.412278988983,slurm-906157.out
p_h3,aug-ano-pvtz,DC-CCSDT,-343.053833428991,slurm-906158.out
s,aug-ano-pvtz,UDC-CCSDT,-398.011481234373,slurm-906138.out
si,aug-ano-pvtz,UDC-CCSDT,-289.263584381622,slurm-906136.out
si_h2_singlet,aug-ano-pvtz,DC-CCSDT,-290.510234380479,slurm-906153.out
si_h2_triplet,aug-ano-pvtz,UDC-CCSDT,-290.476911670296,slurm-906154.out
si_h3,aug-ano-pvtz,UDC-CCSDT,-291.129649288925,slurm-906479.out
si_h4,aug-ano-pvtz,DC-CCSDT,-291.787000467929,slurm-906156.out
si_o,aug-ano-pvtz,DC-CCSDT,-364.637369885289,slurm-906185.out
