species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(D+d)Z,ΛCCSD(T),-14.663993191422,slurm-905263.out
be_h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-15.241143742773,slurm-905296.out
c,aug-cc-pV(D+d)Z,ΛUCCSD(T),-37.826705823351,slurm-905266.out
c2_h2,aug-cc-pV(D+d)Z,ΛCCSD(T),-77.274823537553,slurm-905362.out
c2_h4,aug-cc-pV(D+d)Z,ΛCCSD(T),-78.534717193768,slurm-905365.out
c2_h6,aug-cc-pV(D+d)Z,ΛCCSD(T),-79.773080887733,slurm-905368.out
c_h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-38.45708420937,slurm-905299.out
c_h2_singlet,aug-cc-pV(D+d)Z,ΛCCSD(T),-39.1086791055,slurm-905305.out
c_h2_triplet,aug-cc-pV(D+d)Z,ΛUCCSD(T),-39.123922659043,slurm-905302.out
c_h3,aug-cc-pV(D+d)Z,ΛUCCSD(T),-39.808666504518,slurm-905308.out
c_h3_cl,aug-cc-pV(D+d)Z,ΛCCSD(T),-499.938677407207,slurm-45776.out
c_h4,aug-cc-pV(D+d)Z,ΛCCSD(T),-40.486865020851,slurm-905311.out
c_n,aug-cc-pV(D+d)Z,ΛUCCSD(T),-92.659181043198,slurm-905371.out
c_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-113.252085014729,slurm-905377.out
c_o2,aug-cc-pV(D+d)Z,ΛCCSD(T),-188.477456413451,slurm-905407.out
c_s,aug-cc-pV(D+d)Z,ΛCCSD(T),-436.05806412073,slurm-905431.out
cl,aug-cc-pV(D+d)Z,ΛUCCSD(T),-459.995555309645,slurm-905290.out
cl_f,aug-cc-pV(D+d)Z,ΛCCSD(T),-559.766718563402,slurm-45778.out
cl_o,aug-cc-pV(D+d)Z,ΛUCCSD(T),-535.111432727072,slurm-45780.out
f,aug-cc-pV(D+d)Z,ΛUCCSD(T),-99.680145456468,slurm-905275.out
f2,aug-cc-pV(D+d)Z,ΛCCSD(T),-199.40902159642,slurm-905404.out
h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-0.499762710947,slurm-905257.out
h-,aug-cc-pV(D+d)Z,ΛCCSD(T),-0.527482029942,slurm-905464.out
h2_c_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-114.436178929793,slurm-905383.out
h2_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-76.393535532277,slurm-905326.out
h2_o2,aug-cc-pV(D+d)Z,ΛCCSD(T),-151.470752383782,slurm-905401.out
h2_s,aug-cc-pV(D+d)Z,ΛCCSD(T),-399.257872098633,slurm-905350.out
h3_c_o_h,aug-cc-pV(D+d)Z,ΛCCSD(T),-115.658856610739,slurm-905386.out
h3_c_s_h,aug-cc-pV(D+d)Z,ΛCCSD(T),-438.5377313523,slurm-905449.out
h_c_n,aug-cc-pV(D+d)Z,ΛCCSD(T),-93.367714135428,slurm-905374.out
h_c_o,aug-cc-pV(D+d)Z,ΛUCCSD(T),-113.783811213959,slurm-905380.out
h_cl,aug-cc-pV(D+d)Z,ΛCCSD(T),-460.664205507464,slurm-45782.out
