species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(Q+d)Z,ΛCCSD(T),-14.668702946444,slurm-43868.out
c,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-37.845267385852,slurm-43869.out
c_h3_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-500.074352591107,slurm-913734.out
c_s,aug-cc-pV(Q+d)Z,ΛCCSD(T),-436.170344808012,slurm-913780.out
cl,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-460.09600352765,slurm-913736.out
cl2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-920.286402759635,slurm-913774.out
cl_f,aug-cc-pV(Q+d)Z,ΛCCSD(T),-559.930712105361,slurm-913738.out
cl_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-535.266779169782,slurm-913776.out
f,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-99.734654411865,slurm-43872.out
h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-0.499974677107,slurm-43866.out
h2_s,aug-cc-pV(Q+d)Z,ΛCCSD(T),-399.345086612673,slurm-913782.out
h3_c_s_h,aug-cc-pV(Q+d)Z,ΛCCSD(T),-438.656291450169,slurm-913784.out
h_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-460.767923113613,slurm-913778.out
h_o_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-535.929452701851,slurm-913740.out
li,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-7.47976300404,slurm-43867.out
n,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-54.589352062954,slurm-43870.out
na,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-162.138281048843,slurm-913786.out
na2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-324.31515154999,slurm-913788.out
na_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-622.399216902792,slurm-913742.out
o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-75.067475388477,slurm-43871.out
p,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-341.193558950188,slurm-913744.out
p2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-682.572892147905,slurm-913750.out
p_h2,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-342.440928868402,slurm-913746.out
p_h3,aug-cc-pV(Q+d)Z,ΛCCSD(T),-343.08119495601,slurm-913748.out
s,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-398.050856145115,slurm-913752.out
s2,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-796.267202357973,slurm-913754.out
s_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-473.32059725007,slurm-913756.out
s_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-548.601154095911,slurm-913758.out
si,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-289.287354320932,slurm-913790.out
si2,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-578.696033987255,slurm-914102.out
si2_h6,aug-cc-pV(Q+d)Z,ΛCCSD(T),-582.433935232962,slurm-44263.out
si_h2_singlet,aug-cc-pV(Q+d)Z,ΛCCSD(T),-290.53434856309,slurm-913766.out
si_h2_triplet,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-290.500750868787,slurm-913764.out
si_h3,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-291.153034137317,slurm-913768.out
si_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T),-291.808287903396,slurm-913770.out
si_o,aug-cc-pV(Q+d)Z,ΛCCSD(T),-364.664537111844,slurm-913772.out
