species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(T+d)Z,ΛCCSD(T),-14.666318092822,slurm-898923.out
be_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-15.247519266573,slurm-898945.out
c,aug-cc-pV(T+d)Z,ΛUCCSD(T),-37.841628938297,slurm-898925.out
c2_h2,aug-cc-pV(T+d)Z,ΛCCSD(T),-77.329669545793,slurm-898989.out
c2_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-78.584355528948,slurm-898991.out
c2_h6,aug-cc-pV(T+d)Z,ΛCCSD(T),-79.824096880089,slurm-898993.out
c_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-38.476528490019,slurm-898947.out
c_h2_singlet,aug-cc-pV(T+d)Z,ΛCCSD(T),-39.131601110955,slurm-898951.out
c_h2_triplet,aug-cc-pV(T+d)Z,ΛUCCSD(T),-39.146598532107,slurm-898949.out
c_h3,aug-cc-pV(T+d)Z,ΛUCCSD(T),-39.833907354223,slurm-898953.out
c_h3_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-500.046489528495,slurm-898887.out
c_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-40.513782653961,slurm-898955.out
c_n,aug-cc-pV(T+d)Z,ΛUCCSD(T),-92.712466810115,slurm-898995.out
c_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-113.314982105777,slurm-898999.out
c_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-188.583452095174,slurm-899019.out
c_s,aug-cc-pV(T+d)Z,ΛCCSD(T),-436.145913011921,slurm-899027.out
cl,aug-cc-pV(T+d)Z,ΛUCCSD(T),-460.070619602412,slurm-898941.out
cl2,aug-cc-pV(T+d)Z,ΛCCSD(T),-920.233602212878,slurm-44743.out
cl_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-559.895817625914,slurm-898893.out
cl_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-535.233788265262,slurm-898896.out
f,aug-cc-pV(T+d)Z,ΛUCCSD(T),-99.724019242667,slurm-898931.out
f2,aug-cc-pV(T+d)Z,ΛCCSD(T),-199.510064692416,slurm-899017.out
h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-0.499938600797,slurm-898919.out
h-,aug-cc-pV(T+d)Z,ΛCCSD(T),-0.527435311652,slurm-899035.out
h2_c_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-114.499896758747,slurm-899003.out
h2_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-76.432366173029,slurm-898965.out
h2_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-151.549925319438,slurm-899015.out
h2_s,aug-cc-pV(T+d)Z,ΛCCSD(T),-399.325774934419,slurm-898981.out
h3_c_o_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-115.723308331748,slurm-899005.out
h3_c_s_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-438.634594379339,slurm-898899.out
h_c_n,aug-cc-pV(T+d)Z,ΛCCSD(T),-93.425346499071,slurm-898997.out
h_c_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-113.847203023022,slurm-899001.out
h_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-460.742324193001,slurm-898983.out
h_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-100.450752025661,slurm-898967.out
h_o_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-535.89691027112,slurm-898902.out
li,aug-cc-pV(T+d)Z,ΛUCCSD(T),-7.478785034747,slurm-898921.out
li+,aug-cc-pV(T+d)Z,ΛCCSD(T),-7.281001665332,slurm-899031.out
li2,aug-cc-pV(T+d)Z,ΛCCSD(T),-14.996379293946,slurm-898985.out
li_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-107.423212471341,slurm-898987.out
li_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-8.071682719405,slurm-898943.out
n,aug-cc-pV(T+d)Z,ΛUCCSD(T),-54.584134481373,slurm-898927.out
n2,aug-cc-pV(T+d)Z,ΛCCSD(T),-109.531572345143,slurm-899007.out
n2_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-111.869781739976,slurm-899009.out
n_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-55.217153761114,slurm-898957.out
n_h2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-55.876101449118,slurm-898959.out
n_h3,aug-cc-pV(T+d)Z,ΛCCSD(T),-56.560832020113,slurm-898961.out
n_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-129.886931045152,slurm-899011.out
na,aug-cc-pV(T+d)Z,ΛUCCSD(T),-162.121914164586,slurm-898933.out
na+,aug-cc-pV(T+d)Z,ΛCCSD(T),-161.936312727228,slurm-899033.out
na2,aug-cc-pV(T+d)Z,ΛCCSD(T),-324.273003453009,slurm-899021.out
na_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-622.348648118362,slurm-898905.out
o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-75.05967040483,slurm-898929.out
o2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-150.31048190035,slurm-908137.out
o_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-75.731265292503,slurm-898963.out
p,aug-cc-pV(T+d)Z,ΛUCCSD(T),-341.185832808493,slurm-898937.out
p2,aug-cc-pV(T+d)Z,ΛCCSD(T),-682.552225841738,slurm-898908.out
