species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pvdz,ΛCCSD(T),-14.664075072618,slurm-912848.out
be_h,aug-cc-pvdz,ΛUCCSD(T),-15.241198874183,slurm-912864.out
c,aug-cc-pvdz,ΛUCCSD(T),-37.826718088731,slurm-912850.out
c2_h2,aug-cc-pvdz,ΛCCSD(T),-77.274834452045,slurm-912906.out
c2_h4,aug-cc-pvdz,ΛCCSD(T),-78.534471783608,slurm-912908.out
c2_h6,aug-cc-pvdz,ΛCCSD(T),-79.773146620085,slurm-912910.out
c_h,aug-cc-pvdz,ΛUCCSD(T),-38.457150734229,slurm-912866.out
c_h2_singlet,aug-cc-pvdz,ΛCCSD(T),-39.108810587271,slurm-912870.out
c_h2_triplet,aug-cc-pvdz,ΛUCCSD(T),-39.124101955873,slurm-912868.out
c_h3,aug-cc-pvdz,ΛUCCSD(T),-39.808664749824,slurm-912872.out
c_h4,aug-cc-pvdz,ΛCCSD(T),-40.486951983642,slurm-912874.out
c_n,aug-cc-pvdz,ΛUCCSD(T),-92.659212097106,slurm-912912.out
c_o,aug-cc-pvdz,ΛCCSD(T),-113.251857756661,slurm-912916.out
c_o2,aug-cc-pvdz,ΛCCSD(T),-188.47769998199,slurm-912936.out
c_s,aug-cc-pvdz,ΛCCSD(T),-436.022309996877,slurm-914136.out
cl,aug-cc-pvdz,ΛUCCSD(T),-459.960727099835,slurm-912862.out
f,aug-cc-pvdz,ΛUCCSD(T),-99.680053760049,slurm-912856.out
f2,aug-cc-pvdz,ΛCCSD(T),-199.409010924444,slurm-912934.out
h,aug-cc-pvdz,ΛUCCSD(T),-0.499763232489,slurm-894771.out
h-,aug-cc-pvdz,ΛCCSD(T),-0.527488860239,slurm-912966.out
h2_c_o,aug-cc-pvdz,ΛCCSD(T),-114.436326947463,slurm-912920.out
h2_o,aug-cc-pvdz,ΛCCSD(T),-76.393480538291,slurm-912884.out
h2_o2,aug-cc-pvdz,ΛCCSD(T),-151.470526264961,slurm-912932.out
h2_s,aug-cc-pvdz,ΛCCSD(T),-399.222602197637,slurm-912900.out
h3_c_o_h,aug-cc-pvdz,ΛCCSD(T),-115.658932446956,slurm-912922.out
h3_c_s_h,aug-cc-pvdz,ΛCCSD(T),-438.502749836676,slurm-914139.out
h_c_n,aug-cc-pvdz,ΛCCSD(T),-93.367580283376,slurm-912914.out
h_c_o,aug-cc-pvdz,ΛUCCSD(T),-113.783640011118,slurm-912918.out
h_cl,aug-cc-pvdz,ΛCCSD(T),-460.628074157682,slurm-914142.out
h_f,aug-cc-pvdz,ΛCCSD(T),-100.403185391855,slurm-912886.out
li,aug-cc-pvdz,ΛUCCSD(T),-7.473754122268,slurm-894585.out
li+,aug-cc-pvdz,ΛCCSD(T),-7.276686985534,slurm-894609.out
li2,aug-cc-pvdz,ΛCCSD(T),-14.985598359292,slurm-894591.out
li_f,aug-cc-pvdz,ΛCCSD(T),-107.370997116076,slurm-912904.out
li_h,aug-cc-pvdz,ΛCCSD(T),-8.064550640073,slurm-894635.out
n,aug-cc-pvdz,ΛUCCSD(T),-54.562371130557,slurm-912852.out
n2,aug-cc-pvdz,ΛCCSD(T),-109.46922980369,slurm-912924.out
n2_h4,aug-cc-pvdz,ΛCCSD(T),-111.808179307662,slurm-912926.out
n_h,aug-cc-pvdz,ΛUCCSD(T),-55.191161794844,slurm-912876.out
n_h2,aug-cc-pvdz,ΛUCCSD(T),-55.846496801453,slurm-912878.out
n_h3,aug-cc-pvdz,ΛCCSD(T),-56.528974342811,slurm-912880.out
n_o,aug-cc-pvdz,ΛUCCSD(T),-129.819022359321,slurm-912928.out
na,aug-cc-pvdz,ΛUCCSD(T),-162.085160277867,slurm-894597.out
na+,aug-cc-pvdz,ΛCCSD(T),-161.903013056229,slurm-894615.out
na2,aug-cc-pvdz,ΛCCSD(T),-324.197441641626,slurm-894603.out
o,aug-cc-pvdz,ΛUCCSD(T),-75.025981923042,slurm-912854.out
o2,aug-cc-pvdz,ΛUCCSD(T),-150.233895345785,slurm-912930.out
o_h,aug-cc-pvdz,ΛUCCSD(T),-75.694445350745,slurm-912882.out
p,aug-cc-pvdz,ΛUCCSD(T),-341.105691215251,slurm-912858.out
p_h2,aug-cc-pvdz,ΛUCCSD(T),-342.340050993094,slurm-912896.out
p_h3,aug-cc-pvdz,ΛCCSD(T),-342.977016661292,slurm-914154.out
s,aug-cc-pvdz,ΛUCCSD(T),-397.938674362998,slurm-912860.out
s_o,aug-cc-pvdz,ΛUCCSD(T),-473.140567091003,slurm-914164.out
si,aug-cc-pvdz,ΛUCCSD(T),-289.211727018241,slurm-894621.out
si2,aug-cc-pvdz,ΛUCCSD(T),-578.524283181757,slurm-894628.out
si2_h6,aug-cc-pvdz,ΛCCSD(T),-582.246726732463,slurm-914161.out
si_h2_singlet,aug-cc-pvdz,ΛCCSD(T),-290.448064096435,slurm-912888.out
si_h2_triplet,aug-cc-pvdz,ΛUCCSD(T),-290.415871923464,slurm-912890.out
si_h3,aug-cc-pvdz,ΛUCCSD(T),-291.063698875301,slurm-912892.out
si_h4,aug-cc-pvdz,ΛCCSD(T),-291.71473975973,slurm-912894.out
si_o,aug-cc-pvdz,ΛCCSD(T),-364.517025881293,slurm-912946.out
