species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pvqz,ΛCCSD(T),-14.668702946444,slurm-43868.out
be_h,aug-cc-pvqz,ΛUCCSD(T),-15.249147257411,slurm-43879.out
c,aug-cc-pvqz,ΛUCCSD(T),-37.845267385852,slurm-43869.out
c2_h2,aug-cc-pvqz,ΛCCSD(T),-77.336187288148,slurm-43901.out
c2_h4,aug-cc-pvqz,ΛCCSD(T),-78.589387408282,slurm-43902.out
c2_h6,aug-cc-pvqz,ΛCCSD(T),-79.827743107739,slurm-913060.out
c_h,aug-cc-pvqz,ΛUCCSD(T),-38.479269917672,slurm-43880.out
c_h2_singlet,aug-cc-pvqz,ΛCCSD(T),-39.13397532781,slurm-43882.out
c_h2_triplet,aug-cc-pvqz,ΛUCCSD(T),-39.149255611608,slurm-43881.out
c_h3,aug-cc-pvqz,ΛUCCSD(T),-39.836030413961,slurm-43883.out
c_h3_cl,aug-cc-pvqz,ΛCCSD(T),-500.034558904349,slurm-43930.out
c_h4,aug-cc-pvqz,ΛCCSD(T),-40.515594222766,slurm-43884.out
c_n,aug-cc-pvqz,ΛUCCSD(T),-92.721894694631,slurm-43904.out
c_o,aug-cc-pvqz,ΛCCSD(T),-113.326400358379,slurm-43906.out
c_o2,aug-cc-pvqz,ΛCCSD(T),-188.601965566377,slurm-43916.out
c_s,aug-cc-pvqz,ΛCCSD(T),-436.132701856226,slurm-43924.out
cl,aug-cc-pvqz,ΛUCCSD(T),-460.056452278657,slurm-43877.out
cl2,aug-cc-pvqz,ΛCCSD(T),-920.206184057041,slurm-43921.out
cl_f,aug-cc-pvqz,ΛCCSD(T),-559.890329292958,slurm-43928.out
cl_o,aug-cc-pvqz,ΛUCCSD(T),-535.22565263058,slurm-43927.out
f,aug-cc-pvqz,ΛUCCSD(T),-99.734654411865,slurm-43872.out
f2,aug-cc-pvqz,ΛCCSD(T),-199.528965114289,slurm-43915.out
h,aug-cc-pvqz,ΛUCCSD(T),-0.499974677107,slurm-43866.out
h-,aug-cc-pvqz,ΛCCSD(T),-0.527468397538,slurm-43936.out
h2_c_o,aug-cc-pvqz,ΛCCSD(T),-114.509875534757,slurm-43908.out
h2_o,aug-cc-pvqz,ΛCCSD(T),-76.439068948467,slurm-43889.out
h2_o2,aug-cc-pvqz,ΛCCSD(T),-151.563557395259,slurm-43914.out
h2_s,aug-cc-pvqz,ΛCCSD(T),-399.307185964464,slurm-43897.out
h3_c_o_h,aug-cc-pvqz,ΛCCSD(T),-115.731846814959,slurm-912842.out
h3_c_s_h,aug-cc-pvqz,ΛCCSD(T),-438.61849324429,slurm-43931.out
h_c_n,aug-cc-pvqz,ΛCCSD(T),-93.43360218242,slurm-43905.out
h_c_o,aug-cc-pvqz,ΛUCCSD(T),-113.857827091714,slurm-43907.out
h_cl,aug-cc-pvqz,ΛCCSD(T),-460.727819202336,slurm-43898.out
h_f,aug-cc-pvqz,ΛCCSD(T),-100.460196719214,slurm-43890.out
h_o_cl,aug-cc-pvqz,ΛCCSD(T),-535.888778519985,slurm-43932.out
li,aug-cc-pvqz,ΛUCCSD(T),-7.47976300404,slurm-43867.out
li+,aug-cc-pvqz,ΛCCSD(T),-7.281617044271,slurm-43934.out
li2,aug-cc-pvqz,ΛCCSD(T),-14.998035691882,slurm-43899.out
li_f,aug-cc-pvqz,ΛCCSD(T),-107.435949581864,slurm-43900.out
li_h,aug-cc-pvqz,ΛCCSD(T),-8.071918829518,slurm-43878.out
n,aug-cc-pvqz,ΛUCCSD(T),-54.589352062954,slurm-43870.out
n2,aug-cc-pvqz,ΛCCSD(T),-109.54198182148,slurm-43910.out
n2_h4,aug-cc-pvqz,ΛCCSD(T),-111.878024051322,slurm-43911.out
n_h,aug-cc-pvqz,ΛUCCSD(T),-55.221731267308,slurm-43885.out
n_h2,aug-cc-pvqz,ΛUCCSD(T),-55.880408390073,slurm-43886.out
n_h3,aug-cc-pvqz,ΛCCSD(T),-56.56478940747,slurm-43887.out
n_o,aug-cc-pvqz,ΛUCCSD(T),-129.8993891428,slurm-43912.out
na,aug-cc-pvqz,ΛUCCSD(T),-162.097807222166,slurm-43873.out
na+,aug-cc-pvqz,ΛCCSD(T),-161.913577159258,slurm-43935.out
na2,aug-cc-pvqz,ΛCCSD(T),-324.238712294297,slurm-43917.out
na_cl,aug-cc-pvqz,ΛCCSD(T),-622.317533962582,slurm-43922.out
o,aug-cc-pvqz,ΛUCCSD(T),-75.067475388477,slurm-43871.out
o2,aug-cc-pvqz,ΛUCCSD(T),-150.325359638042,slurm-43913.out
o_h,aug-cc-pvqz,ΛUCCSD(T),-75.738447081348,slurm-43888.out
p,aug-cc-pvqz,ΛUCCSD(T),-341.158512137589,slurm-43875.out
p2,aug-cc-pvqz,ΛCCSD(T),-682.501692816153,slurm-43919.out
p_h2,aug-cc-pvqz,ΛUCCSD(T),-342.405276689898,slurm-43895.out
p_h3,aug-cc-pvqz,ΛCCSD(T),-343.045452042479,slurm-43896.out
s,aug-cc-pvqz,ΛUCCSD(T),-398.013958702753,slurm-43876.out
s2,aug-cc-pvqz,ΛUCCSD(T),-796.190750220115,slurm-43920.out
s_o,aug-cc-pvqz,ΛUCCSD(T),-473.281006605702,slurm-43925.out
s_o2,aug-cc-pvqz,ΛCCSD(T),-548.555516717893,slurm-43933.out
si,aug-cc-pvqz,ΛUCCSD(T),-289.252567127916,slurm-43874.out
si2,aug-cc-pvqz,ΛUCCSD(T),-578.627045340091,slurm-43918.out
si2_h6,aug-cc-pvqz,ΛCCSD(T),-582.365678296381,slurm-913560.out
si_h2_singlet,aug-cc-pvqz,ΛCCSD(T),-290.4996879414,slurm-43891.out
si_h2_triplet,aug-cc-pvqz,ΛUCCSD(T),-290.466538729641,slurm-43892.out
si_h3,aug-cc-pvqz,ΛUCCSD(T),-291.119179433805,slurm-43893.out
si_h4,aug-cc-pvqz,ΛCCSD(T),-291.773231212172,slurm-43894.out
si_o,aug-cc-pvqz,ΛCCSD(T),-364.629064141672,slurm-43923.out
