species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pvtz,ΛCCSD(T),-14.666342882956,slurm-899041.out
be_h,aug-cc-pvtz,ΛUCCSD(T),-15.247548881226,slurm-899083.out
c,aug-cc-pvtz,ΛUCCSD(T),-37.841437242137,slurm-899047.out
c2_h2,aug-cc-pvtz,ΛCCSD(T),-77.329727444503,slurm-899204.out
c2_h4,aug-cc-pvtz,ΛCCSD(T),-78.584335593521,slurm-899210.out
c2_h6,aug-cc-pvtz,ΛCCSD(T),-79.824072718674,slurm-899216.out
c_h,aug-cc-pvtz,ΛUCCSD(T),-38.476499837073,slurm-899089.out
c_h2_singlet,aug-cc-pvtz,ΛCCSD(T),-39.131629659138,slurm-899101.out
c_h2_triplet,aug-cc-pvtz,ΛUCCSD(T),-39.146608413302,slurm-899095.out
c_h3,aug-cc-pvtz,ΛUCCSD(T),-39.833797061679,slurm-899107.out
c_h3_cl,aug-cc-pvtz,ΛCCSD(T),-500.007098254025,slurm-899500.out
c_h4,aug-cc-pvtz,ΛCCSD(T),-40.513859409416,slurm-899113.out
c_n,aug-cc-pvtz,ΛUCCSD(T),-92.712471799449,slurm-899222.out
c_o,aug-cc-pvtz,ΛCCSD(T),-113.315006524526,slurm-899234.out
c_o2,aug-cc-pvtz,ΛCCSD(T),-188.583538861406,slurm-899352.out
c_s,aug-cc-pvtz,ΛCCSD(T),-436.1069335959,slurm-899382.out
cl,aug-cc-pvtz,ΛUCCSD(T),-460.031474087754,slurm-899077.out
cl2,aug-cc-pvtz,ΛCCSD(T),-920.153101844999,slurm-44741.out
cl_f,aug-cc-pvtz,ΛCCSD(T),-559.855727071787,slurm-899506.out
cl_o,aug-cc-pvtz,ΛUCCSD(T),-535.192054142044,slurm-899509.out
f,aug-cc-pvtz,ΛUCCSD(T),-99.724098033528,slurm-899065.out
f2,aug-cc-pvtz,ΛCCSD(T),-199.509999160383,slurm-899346.out
h,aug-cc-pvtz,ΛUCCSD(T),-0.499931121682,slurm-894777.out
h-,aug-cc-pvtz,ΛCCSD(T),-0.527428777577,slurm-899436.out
h2_c_o,aug-cc-pvtz,ΛCCSD(T),-114.499802858946,slurm-899272.out
h2_o,aug-cc-pvtz,ΛCCSD(T),-76.432491407545,slurm-899143.out
h2_o2,aug-cc-pvtz,ΛCCSD(T),-151.549997841053,slurm-899310.out
h2_s,aug-cc-pvtz,ΛCCSD(T),-399.286874092092,slurm-899186.out
h3_c_o_h,aug-cc-pvtz,ΛCCSD(T),-115.723295197693,slurm-899280.out
h3_c_s_h,aug-cc-pvtz,ΛCCSD(T),-438.596041237026,slurm-899512.out
h_c_n,aug-cc-pvtz,ΛCCSD(T),-93.425351634473,slurm-899228.out
h_c_o,aug-cc-pvtz,ΛUCCSD(T),-113.846975019182,slurm-899240.out
h_cl,aug-cc-pvtz,ΛCCSD(T),-460.702476974914,slurm-899192.out
h_f,aug-cc-pvtz,ΛCCSD(T),-100.450756626997,slurm-899149.out
h_o_cl,aug-cc-pvtz,ΛCCSD(T),-535.856762895315,slurm-899515.out
li,aug-cc-pvtz,ΛUCCSD(T),-7.478799785091,slurm-894641.out
li+,aug-cc-pvtz,ΛCCSD(T),-7.280880051625,slurm-894667.out
li2,aug-cc-pvtz,ΛCCSD(T),-14.996315216369,slurm-894647.out
li_f,aug-cc-pvtz,ΛCCSD(T),-107.423426466373,slurm-899198.out
li_h,aug-cc-pvtz,ΛCCSD(T),-8.071661101195,slurm-894691.out
n,aug-cc-pvtz,ΛUCCSD(T),-54.584206260985,slurm-899053.out
n2,aug-cc-pvtz,ΛCCSD(T),-109.531570354799,slurm-899286.out
n2_h4,aug-cc-pvtz,ΛCCSD(T),-111.869949362513,slurm-899292.out
n_h,aug-cc-pvtz,ΛUCCSD(T),-55.217230801303,slurm-899119.out
n_h2,aug-cc-pvtz,ΛUCCSD(T),-55.87626010913,slurm-899125.out
n_h3,aug-cc-pvtz,ΛCCSD(T),-56.560869382245,slurm-899131.out
n_o,aug-cc-pvtz,ΛUCCSD(T),-129.886908823971,slurm-899298.out
na,aug-cc-pvtz,ΛUCCSD(T),-162.096165569528,slurm-894654.out
na+,aug-cc-pvtz,ΛCCSD(T),-161.912938880604,slurm-894673.out
na2,aug-cc-pvtz,ΛCCSD(T),-324.221772982702,slurm-894661.out
na_cl,aug-cc-pvtz,ΛCCSD(T),-622.283787425339,slurm-899518.out
o,aug-cc-pvtz,ΛUCCSD(T),-75.0595992148,slurm-899059.out
o2,aug-cc-pvtz,ΛUCCSD(T),-150.310536839088,slurm-908291.out
o_h,aug-cc-pvtz,ΛUCCSD(T),-75.731255883451,slurm-899137.out
p,aug-cc-pvtz,ΛUCCSD(T),-341.148725072718,slurm-899071.out
p2,aug-cc-pvtz,ΛCCSD(T),-682.475830810094,slurm-899521.out
p_h2,aug-cc-pvtz,ΛUCCSD(T),-342.393943496274,slurm-899174.out
p_h3,aug-cc-pvtz,ΛCCSD(T),-343.033619110792,slurm-899180.out
s,aug-cc-pvtz,ΛUCCSD(T),-397.994354702732,slurm-893621.out
s2,aug-cc-pvtz,ΛUCCSD(T),-796.147184967373,slurm-893615.out
s_o,aug-cc-pvtz,ΛUCCSD(T),-473.251465799812,slurm-899388.out
s_o2,aug-cc-pvtz,ΛCCSD(T),-548.512230752684,slurm-899539.out
si,aug-cc-pvtz,ΛUCCSD(T),-289.255566839533,slurm-894679.out
si2,aug-cc-pvtz,ΛUCCSD(T),-578.629899249214,slurm-908297.out
si2_h6,aug-cc-pvtz,ΛCCSD(T),-582.364083639599,slurm-899536.out
si_h2_singlet,aug-cc-pvtz,ΛCCSD(T),-290.500684179079,slurm-899155.out
si_h2_triplet,aug-cc-pvtz,ΛUCCSD(T),-290.467163114183,slurm-899161.out
si_h3,aug-cc-pvtz,ΛUCCSD(T),-291.118624711147,slurm-914121.out
si_h4,aug-cc-pvtz,ΛCCSD(T),-291.772715174913,slurm-899168.out
si_o,aug-cc-pvtz,ΛCCSD(T),-364.619597752822,slurm-899376.out
