species,basis_set,method,energy_hartree,slurm_file
be,cc-pV(D+d)Z,ΛCCSD(T),-14.663881324643,slurm-898018.out
be_h,cc-pV(D+d)Z,ΛUCCSD(T),-15.239157055571,slurm-898038.out
c,cc-pV(D+d)Z,ΛUCCSD(T),-37.822612218827,slurm-898020.out
c2_h2,cc-pV(D+d)Z,ΛCCSD(T),-77.266483228669,slurm-898082.out
c2_h4,cc-pV(D+d)Z,ΛCCSD(T),-78.523942884537,slurm-898084.out
c2_h6,cc-pV(D+d)Z,ΛCCSD(T),-79.761912574229,slurm-898086.out
c_h,cc-pV(D+d)Z,ΛUCCSD(T),-38.450775548053,slurm-898040.out
c_h2_singlet,cc-pV(D+d)Z,ΛCCSD(T),-39.101013736402,slurm-898044.out
c_h2_triplet,cc-pV(D+d)Z,ΛUCCSD(T),-39.118585944872,slurm-898042.out
c_h3,cc-pV(D+d)Z,ΛUCCSD(T),-39.802074297019,slurm-898046.out
c_h3_cl,cc-pV(D+d)Z,ΛCCSD(T),-499.913847036863,slurm-44296.out
c_h4,cc-pV(D+d)Z,ΛCCSD(T),-40.481079379016,slurm-898048.out
c_n,cc-pV(D+d)Z,ΛUCCSD(T),-92.648202242362,slurm-898088.out
c_o,cc-pV(D+d)Z,ΛCCSD(T),-113.235865983522,slurm-898092.out
c_o2,cc-pV(D+d)Z,ΛCCSD(T),-188.444260850584,slurm-898112.out
c_s,cc-pV(D+d)Z,ΛCCSD(T),-436.042939455314,slurm-898126.out
cl,cc-pV(D+d)Z,ΛUCCSD(T),-459.9815376905,slurm-898034.out
cl2,cc-pV(D+d)Z,ΛCCSD(T),-920.044918372911,slurm-44298.out
cl_f,cc-pV(D+d)Z,ΛCCSD(T),-559.717660606336,slurm-44300.out
cl_o,cc-pV(D+d)Z,ΛUCCSD(T),-535.076925594568,slurm-44302.out
f,cc-pV(D+d)Z,ΛUCCSD(T),-99.659189898621,slurm-898026.out
f2,cc-pV(D+d)Z,ΛCCSD(T),-199.3631072271,slurm-898180.out
h,cc-pV(D+d)Z,ΛUCCSD(T),-0.499710619015,slurm-898014.out
h-,cc-pV(D+d)Z,ΛCCSD(T),-0.48349938464,slurm-898148.out
h2_c_o,cc-pV(D+d)Z,ΛCCSD(T),-114.413691830136,slurm-898096.out
h2_o,cc-pV(D+d)Z,ΛCCSD(T),-76.364317070671,slurm-898058.out
h2_o2,cc-pV(D+d)Z,ΛCCSD(T),-151.425833398319,slurm-898108.out
h2_s,cc-pV(D+d)Z,ΛCCSD(T),-399.242646965946,slurm-898074.out
h3_c_o_h,cc-pV(D+d)Z,ΛCCSD(T),-115.627909102412,slurm-898098.out
h3_c_s_h,cc-pV(D+d)Z,ΛCCSD(T),-438.520857141307,slurm-44304.out
h_c_n,cc-pV(D+d)Z,ΛCCSD(T),-93.355836888574,slurm-898090.out
h_c_o,cc-pV(D+d)Z,ΛUCCSD(T),-113.763363622861,slurm-898094.out
h_cl,cc-pV(D+d)Z,ΛCCSD(T),-460.64694056674,slurm-898076.out
h_f,cc-pV(D+d)Z,ΛCCSD(T),-100.371022160504,slurm-898060.out
h_o_cl,cc-pV(D+d)Z,ΛCCSD(T),-535.739664743683,slurm-44306.out
li,cc-pV(D+d)Z,ΛUCCSD(T),-7.473533011985,slurm-898016.out
li+,cc-pV(D+d)Z,ΛCCSD(T),-7.276690400379,slurm-898144.out
li2,cc-pV(D+d)Z,ΛCCSD(T),-14.985547028608,slurm-898078.out
li_f,cc-pV(D+d)Z,ΛCCSD(T),-107.33468848847,slurm-898080.out
li_h,cc-pV(D+d)Z,ΛCCSD(T),-8.060481197376,slurm-898036.out
n,cc-pV(D+d)Z,ΛUCCSD(T),-54.554926153014,slurm-898022.out
