species,basis_set,method,energy_hartree,slurm_file
be,cc-pV(T+d)Z,ΛCCSD(T),-14.666075837582,slurm-898288.out
be_h,cc-pV(T+d)Z,ΛUCCSD(T),-15.245820940878,slurm-898308.out
c,cc-pV(T+d)Z,ΛUCCSD(T),-37.840532992828,slurm-898290.out
c2_h2,cc-pV(T+d)Z,ΛCCSD(T),-77.326124039578,slurm-898352.out
c2_h4,cc-pV(T+d)Z,ΛCCSD(T),-78.580423389981,slurm-898354.out
c2_h6,cc-pV(T+d)Z,ΛCCSD(T),-79.820189731303,slurm-898356.out
c_h,cc-pV(T+d)Z,ΛUCCSD(T),-38.474079778938,slurm-898310.out
c_h2_singlet,cc-pV(T+d)Z,ΛCCSD(T),-39.128670762815,slurm-898314.out
c_h2_triplet,cc-pV(T+d)Z,ΛUCCSD(T),-39.144559055492,slurm-898312.out
c_h3,cc-pV(T+d)Z,ΛUCCSD(T),-39.831599534043,slurm-898316.out
c_h3_cl,cc-pV(T+d)Z,ΛCCSD(T),-500.037503706218,slurm-898404.out
c_h4,cc-pV(T+d)Z,ΛCCSD(T),-40.511914612932,slurm-898318.out
c_n,cc-pV(T+d)Z,ΛUCCSD(T),-92.707927350406,slurm-898358.out
c_o,cc-pV(T+d)Z,ΛCCSD(T),-113.30955436929,slurm-898362.out
c_o2,cc-pV(T+d)Z,ΛCCSD(T),-188.572755814725,slurm-898382.out
c_s,cc-pV(T+d)Z,ΛCCSD(T),-436.140050600539,slurm-898394.out
cl,cc-pV(T+d)Z,ΛUCCSD(T),-460.066465421339,slurm-898304.out
cl2,cc-pV(T+d)Z,ΛCCSD(T),-920.221791653658,slurm-914113.out
cl_f,cc-pV(T+d)Z,ΛCCSD(T),-559.88096654135,slurm-898400.out
cl_o,cc-pV(T+d)Z,ΛUCCSD(T),-535.221057931019,slurm-898398.out
f,cc-pV(T+d)Z,ΛUCCSD(T),-99.718764885498,slurm-898296.out
f2,cc-pV(T+d)Z,ΛCCSD(T),-199.495357999704,slurm-898380.out
h,cc-pV(T+d)Z,ΛUCCSD(T),-0.499923279557,slurm-898284.out
h-,cc-pV(T+d)Z,ΛCCSD(T),-0.498813441491,slurm-898416.out
h2_c_o,cc-pV(T+d)Z,ΛCCSD(T),-114.492574447111,slurm-898366.out
h2_o,cc-pV(T+d)Z,ΛCCSD(T),-76.424066313882,slurm-898328.out
h2_o2,cc-pV(T+d)Z,ΛCCSD(T),-151.536896399834,slurm-898378.out
h2_s,cc-pV(T+d)Z,ΛCCSD(T),-399.320293585871,slurm-898344.out
h3_c_o_h,cc-pV(T+d)Z,ΛCCSD(T),-115.713633996903,slurm-898368.out
h3_c_s_h,cc-pV(T+d)Z,ΛCCSD(T),-438.626219683111,slurm-898406.out
h_c_n,cc-pV(T+d)Z,ΛCCSD(T),-93.420478047429,slurm-898360.out
h_c_o,cc-pV(T+d)Z,ΛUCCSD(T),-113.83995063035,slurm-898364.out
h_cl,cc-pV(T+d)Z,ΛCCSD(T),-460.736844155847,slurm-898346.out
h_f,cc-pV(T+d)Z,ΛCCSD(T),-100.442187018014,slurm-898330.out
h_o_cl,cc-pV(T+d)Z,ΛCCSD(T),-535.88359216832,slurm-898408.out
li,cc-pV(T+d)Z,ΛUCCSD(T),-7.478743942204,slurm-898286.out
li+,cc-pV(T+d)Z,ΛCCSD(T),-7.280963141944,slurm-898412.out
li2,cc-pV(T+d)Z,ΛCCSD(T),-14.996182556958,slurm-898348.out
li_f,cc-pV(T+d)Z,ΛCCSD(T),-107.412921181646,slurm-898350.out
li_h,cc-pV(T+d)Z,ΛCCSD(T),-8.071169490219,slurm-898306.out
n,cc-pV(T+d)Z,ΛUCCSD(T),-54.582056209908,slurm-898292.out
n2,cc-pV(T+d)Z,ΛCCSD(T),-109.526216108118,slurm-898370.out
n2_h4,cc-pV(T+d)Z,ΛCCSD(T),-111.859049398374,slurm-898372.out
n_h,cc-pV(T+d)Z,ΛUCCSD(T),-55.213238806839,slurm-898320.out
n_h2,cc-pV(T+d)Z,ΛUCCSD(T),-55.87089717191,slurm-898322.out
n_h3,cc-pV(T+d)Z,ΛCCSD(T),-56.554635110056,slurm-898324.out
n_o,cc-pV(T+d)Z,ΛUCCSD(T),-129.879425839922,slurm-898374.out
na,cc-pV(T+d)Z,ΛUCCSD(T),-162.121230042912,slurm-898298.out
na+,cc-pV(T+d)Z,ΛCCSD(T),-161.936183216211,slurm-898414.out
na2,cc-pV(T+d)Z,ΛCCSD(T),-324.271686551743,slurm-898384.out
na_cl,cc-pV(T+d)Z,ΛCCSD(T),-622.339806120652,slurm-898390.out
o,cc-pV(T+d)Z,ΛUCCSD(T),-75.05570199711,slurm-898294.out
o2,cc-pV(T+d)Z,ΛUCCSD(T),-150.300754918476,slurm-898376.out
o_h,cc-pV(T+d)Z,ΛUCCSD(T),-75.724751142434,slurm-898326.out
p,cc-pV(T+d)Z,ΛUCCSD(T),-341.184316526961,slurm-898300.out
p2,cc-pV(T+d)Z,ΛCCSD(T),-682.546611662185,slurm-898386.out
p_h2,cc-pV(T+d)Z,ΛUCCSD(T),-342.428055970806,slurm-898340.out
p_h3,cc-pV(T+d)Z,ΛCCSD(T),-343.067510417204,slurm-898342.out
s,cc-pV(T+d)Z,ΛUCCSD(T),-398.029094595496,slurm-898302.out
s2,cc-pV(T+d)Z,ΛUCCSD(T),-796.218010337997,slurm-898388.out
s_o,cc-pV(T+d)Z,ΛUCCSD(T),-473.281803932291,slurm-898396.out
s_o2,cc-pV(T+d)Z,ΛCCSD(T),-548.547198230096,slurm-898410.out
si,cc-pV(T+d)Z,ΛUCCSD(T),-289.287573859319,slurm-897376.out
si2,cc-pV(T+d)Z,ΛUCCSD(T),-578.691836835979,slurm-44739.out
