species,basis_set,method,energy_hartree,slurm_file
h,cc-pvdz,ΛUCCSD(T),-0.499711117945,slurm-894752.out
li,cc-pvdz,ΛUCCSD(T),-7.473650271783,slurm-894270.out
li+,cc-pvdz,ΛCCSD(T),-7.276708573295,slurm-894447.out
li2,cc-pvdz,ΛCCSD(T),-14.984833734006,slurm-894277.out
li_h,cc-pvdz,ΛCCSD(T),-8.060678644867,slurm-894471.out
na,cc-pvdz,ΛUCCSD(T),-162.085108615545,slurm-894336.out
na+,cc-pvdz,ΛCCSD(T),-161.903328720134,slurm-894453.out
na2,cc-pvdz,ΛCCSD(T),-324.196579745499,slurm-894342.out
si,cc-pvdz,ΛUCCSD(T),-289.207907532148,slurm-894459.out
si2,cc-pvdz,ΛUCCSD(T),-578.515592206198,slurm-894465.out
