species,basis_set,method,energy_hartree,slurm_file
h,cc-pvtz,ΛUCCSD(T),-0.499923416317,slurm-894758.out
li,cc-pvtz,ΛUCCSD(T),-7.478792019564,slurm-894477.out
li+,cc-pvtz,ΛCCSD(T),-7.280885452306,slurm-894501.out
li2,cc-pvtz,ΛCCSD(T),-14.996201827242,slurm-894483.out
li_h,cc-pvtz,ΛCCSD(T),-8.071002245861,slurm-894525.out
na,cc-pvtz,ΛUCCSD(T),-162.095847552654,slurm-894489.out
na+,cc-pvtz,ΛCCSD(T),-161.91300235082,slurm-894507.out
na2,cc-pvtz,ΛCCSD(T),-324.220564331009,slurm-894495.out
si,cc-pvtz,ΛUCCSD(T),-289.254925897241,slurm-894513.out
si2,cc-pvtz,ΛUCCSD(T),-578.621499862138,slurm-894519.out
