species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(D+d)Z,ΛCCSD(T),-14.666683968045,slurm-925853.out
be_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-15.241624515638,slurm-925875.out
c,aug-ano-pV(D+d)Z,ΛUCCSD(T),-37.840321918668,slurm-925855.out
c2_h2,aug-ano-pV(D+d)Z,ΛCCSD(T),-77.319748543646,slurm-925919.out
c2_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-78.574110105724,slurm-925921.out
c2_h6,aug-ano-pV(D+d)Z,ΛCCSD(T),-79.812396282834,slurm-925923.out
c_h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-38.472245281696,slurm-925877.out
c_h2_singlet,aug-ano-pV(D+d)Z,ΛCCSD(T),-39.126112031117,slurm-925881.out
c_h2_triplet,aug-ano-pV(D+d)Z,ΛUCCSD(T),-39.141662149808,slurm-925879.out
c_h3,aug-ano-pV(D+d)Z,ΛUCCSD(T),-39.828200488836,slurm-925883.out
c_h3_cl,aug-ano-pV(D+d)Z,ΛCCSD(T),-499.997921602251,slurm-925975.out
c_h4,aug-ano-pV(D+d)Z,ΛCCSD(T),-40.508236058343,slurm-925885.out
c_n,aug-ano-pV(D+d)Z,ΛUCCSD(T),-92.70490768896,slurm-925925.out
c_o,aug-ano-pV(D+d)Z,ΛCCSD(T),-113.308469722236,slurm-925929.out
c_o2,aug-ano-pV(D+d)Z,ΛCCSD(T),-188.568711213701,slurm-925949.out
c_s,aug-ano-pV(D+d)Z,ΛCCSD(T),-436.11301380802,slurm-925965.out
cl,aug-ano-pV(D+d)Z,ΛUCCSD(T),-460.032535650137,slurm-925871.out
cl2,aug-ano-pV(D+d)Z,ΛCCSD(T),-920.152879438603,slurm-925959.out
cl_f,aug-ano-pV(D+d)Z,ΛCCSD(T),-559.850471131961,slurm-925971.out
cl_o,aug-ano-pV(D+d)Z,ΛUCCSD(T),-535.1867606343,slurm-925969.out
f,aug-ano-pV(D+d)Z,ΛUCCSD(T),-99.721995083628,slurm-925861.out
f2,aug-ano-pV(D+d)Z,ΛCCSD(T),-199.502258073269,slurm-925947.out
h,aug-ano-pV(D+d)Z,ΛUCCSD(T),-0.499874158651,slurm-925849.out
h-,aug-ano-pV(D+d)Z,ΛCCSD(T),-0.482136629969,slurm-925987.out
