species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(Q+d)Z,ΛCCSD(T),-14.668105201959,slurm-926133.out
be_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-15.247856854632,slurm-926155.out
c,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-37.845372149766,slurm-926135.out
c2_h2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-77.33632144697,slurm-926445.out
c2_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T),-78.589287629059,slurm-926446.out
c2_h6,aug-ano-pV(Q+d)Z,ΛCCSD(T),-79.827588547735,slurm-926447.out
c_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-38.479285155404,slurm-926157.out
c_h2_singlet,aug-ano-pV(Q+d)Z,ΛCCSD(T),-39.134018135109,slurm-926448.out
c_h2_triplet,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-39.149325166004,slurm-926449.out
c_h3,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-39.836071344874,slurm-926450.out
c_h3_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-500.096919749187,slurm-926451.out
c_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T),-40.515582015039,slurm-926452.out
c_n,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-92.722503387551,slurm-926456.out
c_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-113.327360737798,slurm-926457.out
c_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-188.603606859184,slurm-926458.out
c_s,aug-ano-pV(Q+d)Z,ΛCCSD(T),-436.197050685441,slurm-926459.out
cl,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-460.119572631305,slurm-926151.out
cl2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-920.33357474967,slurm-926453.out
cl_f,aug-ano-pV(Q+d)Z,ΛCCSD(T),-559.95493281758,slurm-926454.out
cl_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-535.290796073419,slurm-926455.out
f,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-99.735051884361,slurm-926141.out
h2_c_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-114.510534154799,slurm-926463.out
h2_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-76.439631094603,slurm-926464.out
h2_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-151.564934955323,slurm-926465.out
h2_s,aug-ano-pV(Q+d)Z,ΛCCSD(T),-399.371713179856,slurm-926466.out
h3_c_o_h,aug-ano-pV(Q+d)Z,ΛCCSD(T),-115.732527316126,slurm-926467.out
h3_c_s_h,aug-ano-pV(Q+d)Z,ΛCCSD(T),-438.681808537042,slurm-926468.out
h_c_n,aug-ano-pV(Q+d)Z,ΛCCSD(T),-93.434014839832,slurm-926476.out
h_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-460.791085513939,slurm-926475.out
h_f,aug-ano-pV(Q+d)Z,ΛCCSD(T),-100.461041505992,slurm-926478.out
h_o_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T),-535.952946357884,slurm-926479.out
n,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-54.589858916694,slurm-926137.out
n2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-109.542964970682,slurm-926485.out
n_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-55.222044818842,slurm-926490.out
n_h2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-55.880508237369,slurm-926491.out
n_h3,aug-ano-pV(Q+d)Z,ΛCCSD(T),-56.564614841416,slurm-926492.out
n_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-129.900690795571,slurm-926493.out
na,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-162.254925160112,slurm-926143.out
o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-75.06808839667,slurm-926139.out
o2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-150.327079699908,slurm-926494.out
o_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-75.7389451831,slurm-926495.out
p,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-341.223873579198,slurm-926147.out
p2,aug-ano-pV(Q+d)Z,ΛCCSD(T),-682.632378763314,slurm-926496.out
p_h2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-342.470401355371,slurm-926497.out
p_h3,aug-ano-pV(Q+d)Z,ΛCCSD(T),-343.11061221257,slurm-926498.out
s,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-398.078115966485,slurm-926149.out
s2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-796.320589712078,slurm-926499.out
s_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-473.348008106911,slurm-926507.out
si,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-289.318988771208,slurm-926145.out
si2,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-578.758647545496,slurm-926500.out
si_h2_singlet,aug-ano-pV(Q+d)Z,ΛCCSD(T),-290.564561265947,slurm-926502.out
si_h2_triplet,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-290.531155694692,slurm-926503.out
si_h3,aug-ano-pV(Q+d)Z,ΛUCCSD(T),-291.183289581783,slurm-926504.out
si_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T),-291.837894040914,slurm-926505.out
si_o,aug-ano-pV(Q+d)Z,ΛCCSD(T),-364.695663843236,slurm-926506.out
