species,basis_set,method,energy_hartree,slurm_file
be,aug-ano-pV(T+d)Z,ΛCCSD(T),-14.666874267249,slurm-925993.out
be_h,aug-ano-pV(T+d)Z,ΛUCCSD(T),-15.245874171302,slurm-926015.out
c,aug-ano-pV(T+d)Z,ΛUCCSD(T),-37.845135883991,slurm-925995.out
c2_h2,aug-ano-pV(T+d)Z,ΛCCSD(T),-77.335798628202,slurm-926059.out
c2_h4,aug-ano-pV(T+d)Z,ΛCCSD(T),-78.589750567958,slurm-926061.out
c2_h6,aug-ano-pV(T+d)Z,ΛCCSD(T),-79.828572098811,slurm-926063.out
c_h,aug-ano-pV(T+d)Z,ΛUCCSD(T),-38.47908426193,slurm-926017.out
c_h2_singlet,aug-ano-pV(T+d)Z,ΛCCSD(T),-39.134046385555,slurm-926021.out
c_h2_triplet,aug-ano-pV(T+d)Z,ΛUCCSD(T),-39.149236668919,slurm-926019.out
c_h3,aug-ano-pV(T+d)Z,ΛUCCSD(T),-39.836318428505,slurm-926023.out
c_h3_cl,aug-ano-pV(T+d)Z,ΛCCSD(T),-500.06606818475,slurm-926115.out
c_h4,aug-ano-pV(T+d)Z,ΛCCSD(T),-40.516185390782,slurm-926025.out
c_n,aug-ano-pV(T+d)Z,ΛUCCSD(T),-92.721903668809,slurm-926065.out
c_o,aug-ano-pV(T+d)Z,ΛCCSD(T),-113.327416327551,slurm-926069.out
c_o2,aug-ano-pV(T+d)Z,ΛCCSD(T),-188.603551270383,slurm-926089.out
c_s,aug-ano-pV(T+d)Z,ΛCCSD(T),-436.173863017774,slurm-926105.out
cl,aug-ano-pV(T+d)Z,ΛUCCSD(T),-460.088402787507,slurm-926011.out
cl2,aug-ano-pV(T+d)Z,ΛCCSD(T),-920.269687500879,slurm-926099.out
cl_f,aug-ano-pV(T+d)Z,ΛCCSD(T),-559.924100829826,slurm-926111.out
cl_o,aug-ano-pV(T+d)Z,ΛUCCSD(T),-535.259553151177,slurm-926109.out
f,aug-ano-pV(T+d)Z,ΛUCCSD(T),-99.735807538667,slurm-926001.out
