species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(D+d)Z,ΛCCSD(T),-14.664233022447,slurm-50959.out
be_h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-15.24307348453,slurm-50981.out
c,aug-cc-pV(D+d)Z,ΛUCCSD(T),-37.831393034236,slurm-50961.out
c2_h2,aug-cc-pV(D+d)Z,ΛCCSD(T),-77.300519802583,slurm-51025.out
c2_h4,aug-cc-pV(D+d)Z,ΛCCSD(T),-78.557613149034,slurm-51027.out
c2_h6,aug-cc-pV(D+d)Z,ΛCCSD(T),-79.79631002078,slurm-51029.out
c_h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-38.464174175848,slurm-50983.out
c_h2_singlet,aug-cc-pV(D+d)Z,ΛCCSD(T),-39.118342951178,slurm-50987.out
c_h2_triplet,aug-cc-pV(D+d)Z,ΛUCCSD(T),-39.133898992516,slurm-50985.out
c_h3,aug-cc-pV(D+d)Z,ΛUCCSD(T),-39.820567319845,slurm-50989.out
c_h3_cl,aug-cc-pV(D+d)Z,ΛCCSD(T),-499.971379903645,slurm-926441.out
c_h4,aug-cc-pV(D+d)Z,ΛCCSD(T),-40.50057296385,slurm-50991.out
c_n,aug-cc-pV(D+d)Z,ΛUCCSD(T),-92.682807211529,slurm-51031.out
c_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-113.283256707069,slurm-51035.out
c_o2,aug-cc-pV(D+d)Z,ΛCCSD(T),-188.529801528747,slurm-51055.out
c_s,aug-cc-pV(D+d)Z,ΛCCSD(T),-436.08518732115,slurm-51071.out
cl,aug-cc-pV(D+d)Z,ΛUCCSD(T),-460.014746139878,slurm-50977.out
cl2,aug-cc-pV(D+d)Z,ΛCCSD(T),-920.117354526466,slurm-51065.out
cl_f,aug-cc-pV(D+d)Z,ΛCCSD(T),-559.818124638818,slurm-51077.out
cl_o,aug-cc-pV(D+d)Z,ΛUCCSD(T),-535.154729580781,slurm-51075.out
f,aug-cc-pV(D+d)Z,ΛUCCSD(T),-99.704785182105,slurm-50967.out
f2,aug-cc-pV(D+d)Z,ΛCCSD(T),-199.467837808388,slurm-51053.out
h,aug-cc-pV(D+d)Z,ΛUCCSD(T),-0.500004185862,slurm-50955.out
h-,aug-cc-pV(D+d)Z,ΛCCSD(T),-0.527365929715,slurm-51093.out
h2_c_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-114.46707688315,slurm-51039.out
h2_o,aug-cc-pV(D+d)Z,ΛCCSD(T),-76.412506183516,slurm-51001.out
h2_o2,aug-cc-pV(D+d)Z,ΛCCSD(T),-151.508422854337,slurm-51051.out
h2_s,aug-cc-pV(D+d)Z,ΛCCSD(T),-399.27755391181,slurm-51017.out
h3_c_o_h,aug-cc-pV(D+d)Z,ΛCCSD(T),-115.689124490741,slurm-51041.out
h3_c_s_h,aug-cc-pV(D+d)Z,ΛCCSD(T),-438.569114040284,slurm-51083.out
h_c_n,aug-cc-pV(D+d)Z,ΛCCSD(T),-93.393735129961,slurm-51033.out
h_c_o,aug-cc-pV(D+d)Z,ΛUCCSD(T),-113.813928051599,slurm-51037.out
