species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(Q+d)Z,ΛCCSD(T),-14.668748073489,slurm-925500.out
be_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-15.249201417528,slurm-925522.out
c,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-37.845569384881,slurm-925502.out
c2_h2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-77.336904406209,slurm-925566.out
c2_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T),-78.590137162004,slurm-925568.out
c2_h6,aug-cc-pV(Q+d)Z,ΛCCSD(T),-79.828602513717,slurm-926291.out
c_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-38.479637734364,slurm-925524.out
c_h2_singlet,aug-cc-pV(Q+d)Z,ΛCCSD(T),-39.13443314922,slurm-925528.out
c_h2_triplet,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-39.149656645752,slurm-925526.out
c_h3,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-39.836524658782,slurm-925530.out
c_h3_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-500.088245448786,slurm-925623.out
c_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T),-40.516035585577,slurm-925532.out
c_n,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-92.722996246766,slurm-925572.out
c_o,aug-cc-pV(Q+d)Z,ΛCCSD(T),-113.32804493022,slurm-925576.out
c_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-188.604922721532,slurm-925596.out
c_s,aug-cc-pV(Q+d)Z,ΛCCSD(T),-436.185198327194,slurm-925612.out
cl,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-460.109677130532,slurm-925518.out
cl2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-920.314367432375,slurm-925606.out
cl_f,aug-cc-pV(Q+d)Z,ΛCCSD(T),-559.946765815033,slurm-925619.out
cl_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-535.282003266136,slurm-925617.out
f2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-199.532943620339,slurm-925594.out
h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-0.500002913203,slurm-925496.out
h-,aug-cc-pV(Q+d)Z,ΛCCSD(T),-0.527577931415,slurm-925635.out
h2_c_o,aug-cc-pV(Q+d)Z,ΛCCSD(T),-114.511439374031,slurm-925580.out
h2_o,aug-cc-pV(Q+d)Z,ΛCCSD(T),-76.440327556489,slurm-925542.out
h2_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-151.566031668678,slurm-925592.out
h2_s,aug-cc-pV(Q+d)Z,ΛCCSD(T),-399.359104207773,slurm-925558.out
h3_c_o_h,aug-cc-pV(Q+d)Z,ΛCCSD(T),-115.733440346504,slurm-925582.out
h3_c_s_h,aug-cc-pV(Q+d)Z,ΛCCSD(T),-438.670370466994,slurm-925625.out
h_c_n,aug-cc-pV(Q+d)Z,ΛCCSD(T),-93.434500548483,slurm-925574.out
h_c_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-113.85938474967,slurm-925578.out
h_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-460.781707999536,slurm-925560.out
h_f,aug-cc-pV(Q+d)Z,ΛCCSD(T),-100.462095487856,slurm-925544.out
h_o_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-535.944505391455,slurm-925627.out
li_f,aug-cc-pV(Q+d)Z,ΛCCSD(T),-107.436999564514,slurm-925564.out
li_h,aug-cc-pV(Q+d)Z,ΛCCSD(T),-8.070945355599,slurm-925520.out
n,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-54.589925188232,slurm-925504.out
n2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-109.543530390764,slurm-925584.out
n2_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T),-111.879322801353,slurm-925586.out
n_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-55.222430255728,slurm-925534.out
n_h2,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-55.881183263906,slurm-925536.out
n_h3,aug-cc-pV(Q+d)Z,ΛCCSD(T),-56.565452779428,slurm-925538.out
n_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-129.901435238027,slurm-925588.out
na,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-162.254871375274,slurm-925510.out
na+,aug-cc-pV(Q+d)Z,ΛCCSD(T),-162.066654857176,slurm-925633.out
na2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-324.536897732673,slurm-925598.out
na_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T),-622.52214166778,slurm-925608.out
o,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-75.068688337125,slurm-925506.out
o2,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-150.328038778555,slurm-925590.out
o_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-75.739614912861,slurm-925540.out
p,aug-cc-pV(Q+d)Z,ΛUCCSD(T),-341.208674537467,slurm-925514.out
p2,aug-cc-pV(Q+d)Z,ΛCCSD(T),-682.601311657093,slurm-925602.out
