species,basis_set,method,energy_hartree,slurm_file
be,aug-cc-pV(T+d)Z,ΛCCSD(T),-14.666327413989,slurm-925359.out
be_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-15.247978443829,slurm-925381.out
c,aug-cc-pV(T+d)Z,ΛUCCSD(T),-37.843019049967,slurm-925361.out
c2_h2,aug-cc-pV(T+d)Z,ΛCCSD(T),-77.333353650537,slurm-925425.out
c2_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-78.587865595955,slurm-925427.out
c2_h6,aug-cc-pV(T+d)Z,ΛCCSD(T),-79.827475228026,slurm-925429.out
c_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-38.478004631058,slurm-925383.out
c_h2_singlet,aug-cc-pV(T+d)Z,ΛCCSD(T),-39.133198416025,slurm-925387.out
c_h2_triplet,aug-cc-pV(T+d)Z,ΛUCCSD(T),-39.148280496824,slurm-925385.out
c_h3,aug-cc-pV(T+d)Z,ΛUCCSD(T),-39.835491201569,slurm-925389.out
c_h3_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-500.063612345279,slurm-925481.out
c_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-40.515509815144,slurm-925391.out
c_n,aug-cc-pV(T+d)Z,ΛUCCSD(T),-92.718109336525,slurm-925431.out
c_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-113.322828866406,slurm-925435.out
c_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-188.596374420054,slurm-925455.out
c_s,aug-cc-pV(T+d)Z,ΛCCSD(T),-436.16252877817,slurm-925471.out
cl,aug-cc-pV(T+d)Z,ΛUCCSD(T),-460.087610596088,slurm-925377.out
cl2,aug-cc-pV(T+d)Z,ΛCCSD(T),-920.266753172614,slurm-925465.out
cl_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-559.919578072295,slurm-925477.out
cl_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-535.255377203486,slurm-925475.out
f,aug-cc-pV(T+d)Z,ΛUCCSD(T),-99.730640401891,slurm-925367.out
f2,aug-cc-pV(T+d)Z,ΛCCSD(T),-199.523528894513,slurm-925453.out
h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-0.500003982206,slurm-925355.out
h-,aug-cc-pV(T+d)Z,ΛCCSD(T),-0.527640475173,slurm-925493.out
h2_c_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-114.507008007098,slurm-925439.out
h2_o,aug-cc-pV(T+d)Z,ΛCCSD(T),-76.43744305337,slurm-925401.out
h2_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-151.559918902552,slurm-925451.out
h2_s,aug-cc-pV(T+d)Z,ΛCCSD(T),-399.340059929427,slurm-925417.out
h3_c_o_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-115.730021141716,slurm-925441.out
h3_c_s_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-438.650440947281,slurm-925483.out
h_c_n,aug-cc-pV(T+d)Z,ΛCCSD(T),-93.430419486615,slurm-925433.out
h_c_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-113.854342725975,slurm-925437.out
h_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-460.758497279245,slurm-925419.out
h_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-100.457483905972,slurm-925403.out
h_o_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-535.918423822807,slurm-925485.out
li,aug-cc-pV(T+d)Z,ΛUCCSD(T),-7.478241296373,slurm-925357.out
li+,aug-cc-pV(T+d)Z,ΛCCSD(T),-7.280070368472,slurm-925489.out
li2,aug-cc-pV(T+d)Z,ΛCCSD(T),-14.995264340912,slurm-925421.out
li_f,aug-cc-pV(T+d)Z,ΛCCSD(T),-107.431685603231,slurm-925423.out
li_h,aug-cc-pV(T+d)Z,ΛCCSD(T),-8.071343397403,slurm-925379.out
n,aug-cc-pV(T+d)Z,ΛUCCSD(T),-54.586957262782,slurm-925363.out
n2,aug-cc-pV(T+d)Z,ΛCCSD(T),-109.538735363426,slurm-925443.out
n2_h4,aug-cc-pV(T+d)Z,ΛCCSD(T),-111.876256998755,slurm-925445.out
n_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-55.220108008119,slurm-925393.out
n_h2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-55.879301095582,slurm-925395.out
n_h3,aug-cc-pV(T+d)Z,ΛCCSD(T),-56.5640442044,slurm-925397.out
n_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-129.895982745399,slurm-925447.out
na,aug-cc-pV(T+d)Z,ΛUCCSD(T),-162.248901307534,slurm-925369.out
na+,aug-cc-pV(T+d)Z,ΛCCSD(T),-162.06154061592,slurm-925491.out
na2,aug-cc-pV(T+d)Z,ΛCCSD(T),-324.524749631053,slurm-925457.out
na_cl,aug-cc-pV(T+d)Z,ΛCCSD(T),-622.490535568335,slurm-925467.out
o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-75.06441395277,slurm-925365.out
o2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-150.32133648556,slurm-925449.out
o_h,aug-cc-pV(T+d)Z,ΛUCCSD(T),-75.736047221152,slurm-925399.out
p,aug-cc-pV(T+d)Z,ΛUCCSD(T),-341.199298652423,slurm-925373.out
p2,aug-cc-pV(T+d)Z,ΛCCSD(T),-682.578937915484,slurm-925461.out
p_h2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-342.444784749895,slurm-925413.out
p_h3,aug-cc-pV(T+d)Z,ΛCCSD(T),-343.084770265798,slurm-925415.out
s,aug-cc-pV(T+d)Z,ΛUCCSD(T),-398.04734294543,slurm-925375.out
s2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-796.255948656939,slurm-925463.out
s_o,aug-cc-pV(T+d)Z,ΛUCCSD(T),-473.314027158736,slurm-925473.out
s_o2,aug-cc-pV(T+d)Z,ΛCCSD(T),-548.591935950316,slurm-925487.out
si,aug-cc-pV(T+d)Z,ΛUCCSD(T),-289.300940225347,slurm-925371.out
si2,aug-cc-pV(T+d)Z,ΛUCCSD(T),-578.719930605245,slurm-925459.out
si2_h6,aug-cc-pV(T+d)Z,ΛCCSD(T),-582.453327949595,slurm-925479.out
si_h2_singlet,aug-cc-pV(T+d)Z,ΛCCSD(T),-290.545868602369,slurm-925405.out
si_h2_triplet,aug-cc-pV(T+d)Z,ΛUCCSD(T),-290.512347480109,slurm-925407.out
si_h3,aug-cc-pV(T+d)Z,ΛUCCSD(T),-291.1636530995,slurm-925409.out
