basis_folder,species,formula,mol_energy_hartree,atomization_energy_hartree,atomization_energy_kcal_mol
NacV-aug-ano-pV(5+d)Z,be_h,BeH,-15.247527710878,0.0797739810479996,50.058928891349936
NacV-aug-ano-pV(5+d)Z,c2_h2,C2H2,-77.334888397319,0.6451852678470118,404.8598680999387
NacV-aug-ano-pV(5+d)Z,c2_h4,C2H4,-78.587701123801,0.8979979943290033,563.5022491311115
NacV-aug-ano-pV(5+d)Z,c_h,CH,-38.478677969141,0.13382640440500637,83.97733664394129
NacV-aug-ano-pV(5+d)Z,c_h2_singlet,CH2,-39.133287902762,0.28843633802600266,180.99653477538345
NacV-aug-ano-pV(5+d)Z,c_h2_triplet,CH2,-39.148667234332,0.3038156695960055,190.64721104031796
NacV-aug-ano-pV(5+d)Z,c_h3,CH3,-39.835306018438,0.49045445370200014,307.76481629444714
NacV-aug-ano-pV(5+d)Z,c_h3_cl,CClH3,-500.09713705108,0.6317262264059877,396.4141920838882
NacV-aug-ano-pV(5+d)Z,c_h4,CH4,-40.514730061312,0.6698784965760041,420.35510307258846
NacV-aug-ano-pV(5+d)Z,c_o,CO,-113.325646929291,0.4132626438450018,259.32622428910327
NacV-aug-ano-pV(5+d)Z,c_o2,CO2,-188.601030090113,0.6211130839569989,389.7543446475665
NacV-aug-ano-pV(5+d)Z,c_s,CS,-436.198565270162,0.2745532806450228,172.28478473985697
NacV-aug-ano-pV(5+d)Z,cl2,Cl2,-920.335997544497,0.09487902462103648,59.53748683956652
NacV-aug-ano-pV(5+d)Z,cl_f,ClF,-559.955530894881,0.10030681966497923,62.94347965291333
NacV-aug-ano-pV(5+d)Z,cl_o,ClO,-535.291152094907,0.10306011425905126,64.67119809558025
NacV-aug-ano-pV(5+d)Z,f2,F2,-199.529556996515,0.06022736595900824,37.79324273714311
NacV-aug-ano-pV(5+d)Z,h2_c_o,CH2O,-114.50876365347,0.596379368024003,374.2337035708261
NacV-aug-ano-pV(5+d)Z,h2_o,H2O,-76.438764156656,0.37123143594600094,232.95124312616446
NacV-aug-ano-pV(5+d)Z,h2_o2,H2O2,-151.563147343179,0.4280819017589863,268.62544902871315
