formula,De_shci_ref,ZPE,SR_SO,CV,experiment,D0_shci_pbe,D0_shci_ref,De_shci_pbe,De_f12,Exp_f12,D0_f12,D0_exp_f12,De_xtc_ccsdt_avdz,D0_xtc_ccsdt_avdz,De_xtc_dc_ccsdt_avdz,D0_xtc_dc_ccsdt_avdz,De_xtc_ccsdt_avtz,D0_xtc_ccsdt_avtz,De_xtc_dc_ccsdt_avtz,D0_xtc_dc_ccsdt_avtz,De_xtc_ccsdt_avqz,D0_xtc_ccsdt_avqz,De_xtc_dc_ccsdt_avqz,D0_xtc_dc_ccsdt_avqz,De_xtc_ccsdt_pvdz,D0_xtc_ccsdt_pvdz,De_xtc_ccsdt_pvtz,D0_xtc_ccsdt_pvtz,De_xtc_ccsdt_pvqz,D0_xtc_ccsdt_pvqz,De_ccsdt_2z,D0_ccsdt_2z,De_ccsdt_3z,D0_ccsdt_3z,De_ccsdt_4z,D0_ccsdt_4z,De_ccsdt_5z,D0_ccsdt_5z
LiH,57.71,-1.99,-0.02,0.3,55.7058,56.02,56.0,57.73000000000001,57.903919694072655,57.903919694072655,56.19391969407265,56.19391969407265,57.47558311544494,55.76558311544493,57.47558311544494,55.76558311544493,57.50699162187432,55.79699162187431,57.50699177561415,55.796991775614146,59.416726996803405,57.7067269968034,59.4167269974309,57.70672699743089,54.40752630932222,52.697526309322214,57.24380282253374,55.53380282253373,57.47891701366727,55.76891701366726,51.86993312605568,50.15993312605567,56.35913590350358,54.64913590350357,57.27153467879067,55.561534678790665,57.50057563682339,55.790575636823384
BeH,50.23,-2.92,-0.02,0.51,47.7059,47.8,47.8,50.230000000000004,50.7887189292543,50.7887189292543,48.358718929254294,48.358718929254294,50.851917885430765,48.42191788543076,50.92249893182254,48.49249893182253,50.1981304525188,47.76813045251879,50.271327828754025,47.84132782875402,50.3010673463526,47.871067346352596,50.376606264150155,47.94660626415015,54.89698010534462,52.46698010534461,53.500621213817375,51.07062121381737,51.74754589083297,49.31754589083296,45.24594311784545,42.81594311784544,48.59809872829092,46.168098728290914,49.72949831002711,47.299498310027104,49.939086474363386,47.50908647436338
CH,84.11,-4.04,-0.08,0.14,79.9756,80.16,80.13,84.14,83.86950286806884,84.03441682600382,79.88950286806883,80.05441682600382,84.29504532381235,80.31504532381234,84.51338225786706,80.53338225786706,84.11547674772989,80.13547674772988,84.34078636939581,80.36078636939581,84.03484931419207,80.05484931419207,84.26233278115986,80.28233278115985,84.19462955408466,80.21462955408465,84.05691324822779,80.07691324822778,83.97944586957006,79.99944586957005,75.34443504128735,71.36443504128735,81.49214535867843,77.51214535867842,83.07033168594423,79.09033168594422,83.55100394308022,79.57100394308021
CH2,190.01,-10.55,-0.23,0.82,179.8356,179.95,180.05,189.91,189.7418738049713,190.5425430210325,179.7818738049713,180.58254302103248,190.8047155763112,180.8447155763112,190.91234545474185,180.95234545474185,190.41355402156088,180.45355402156088,190.51727535369398,180.55727535369397,190.70713812041382,180.7471381204138,190.81046129025475,180.85046129025474,191.2962707126827,181.3362707126827,190.49606468633237,180.53606468633237,190.66625452275846,180.70625452275846,177.1685148690799,167.2085148690799,186.68281351482247,176.72281351482246,188.8395635771762,178.87956357717619,189.4382076154369,179.4782076154369
CH2_singlet,181.12,-10.29,-0.17,0.39,170.8356,171.1,171.05,181.17,180.61902485659655,181.0348948374761,170.54902485659656,170.9648948374761,181.68848574627953,171.61848574627953,182.0329880164415,171.9629880164415,181.17289890028854,171.10289890028855,181.50263627538706,171.43263627538707,181.14293858469685,171.07293858469686,181.47681373718595,171.40681373718596,181.69161544601693,171.62161544601693,181.11813203579004,171.04813203579005,181.08211833647715,171.01211833647716,165.10652775863952,155.03652775863952,176.37597040333722,166.30597040333723,179.19976303662128,169.12976303662128,180.04125324134216,169.97125324134217
CH3,306.93,-18.55,-0.25,1.07,289.1156,289.18,289.2,306.91,306.58938814531547,307.6505736137667,288.85938814531545,289.9205736137667,308.7348898570616,291.0048898570616,308.8384701137688,291.10847011376876,307.72010000383796,289.99010000383794,307.7979348169042,290.0679348169042,307.90491979631827,290.17491979631825,307.98634917755106,290.25634917755104,309.0774269388612,291.3474269388612,307.72340401378455,289.9934040137845,307.8847608022052,290.1547608022052,287.054836419643,269.32483641964296,301.7354205653452,284.00542056534516,305.0605932684061,287.33059326840606,306.0093875931883,288.2793875931883
CH4,419.25,-27.74,-0.27,1.26,392.4756,392.56,392.5,419.31,418.8718929254302,420.1290630975143,392.1218929254302,393.3790630975143,421.9113431828302,395.1613431828302,421.9983984958615,395.2483984958615,420.29684710480853,393.54684710480853,420.34330743375466,393.59330743375466,420.4536322758685,393.7036322758685,420.50648599073645,393.75648599073645,422.22289906767924,395.47289906767924,420.43393862897614,393.68393862897614,420.5090981570552,393.7590981570552,394.948187880575,368.198187880575,413.01042058200386,386.26042058200386,417.0785645023568,390.3285645023568,418.1923938188156,391.4423938188156
NH,83.09,-4.64,-0.07,0.11,78.3656,78.55,78.49,83.14999999999999,82.7868068833652,82.9397705544933,78.18680688336521,78.3397705544933,83.63774067708049,79.03774067708049,83.80353305198621,79.20353305198621,83.43987410043675,78.83987410043676,83.61182551973629,79.01182551973629,83.16358350631451,78.56358350631452,83.33719376008663,78.73719376008664,83.31438284818486,78.71438284818487,83.27088530773183,78.67088530773184,83.10903239651525,78.50903239651525,71.28005617777825,66.68005617777825,79.22934619520828,74.62934619520829,81.5191282660619,76.9191282660619,82.28908239074184,77.68908239074185
NH2,182.5,-11.84,0.08,0.32,170.5956,171.1,171.06,182.54,181.9550669216061,182.34942638623326,170.5150669216061,170.90942638623326,183.68185648313312,172.24185648313312,183.8699262984081,172.4299262984081,183.08976553823646,171.64976553823647,183.2550361019929,171.81503610199292,182.82896890541275,171.38896890541275,183.0012068643643,171.5612068643643,183.12764575506765,171.68764575506765,182.8803474333602,171.44034743336022,182.71781731015463,171.27781731015463,160.39706915579478,148.95706915579478,175.35877754588088,163.91877754588089,179.63713714004032,168.19713714004033,181.07476134512754,169.63476134512754
NH3,297.91,-21.33,-0.25,0.65,276.5956,276.97,276.98,297.90000000000003,297.0697896749522,297.79875717017205,276.13978967495217,276.86875717017205,299.9162102681375,278.9862102681375,300.031091327276,279.101091327276,298.76709032964686,277.83709032964686,298.83658085430665,277.90658085430664,298.5414414857731,277.61144148577307,298.62387716253534,277.69387716253533,299.2745006474979,278.3445006474979,298.5366164179624,277.6066164179624,298.44446879213064,277.51446879213063,267.1025451823282,246.1725451823282,288.14733041398404,267.21733041398403,294.0396443754342,273.1096443754342,296.0206917850524,275.0906917850524
