method,family,basis,n,MAE,RMSE,MaxE,MSE
SHCI CBS+CV,SHCI,CBS,55,0.18109090909089703,0.2586749451970996,0.75,-0.035636363636355965
xTC-CCSD(T)/avdz,xTC-CCSD(T),avdz,55,1.602222810359329,2.1630048505658497,6.949807208449329,-0.5138165656243069
xTC-DC-CCSDT/avdz,xTC-DC-CCSDT,avdz,55,1.5314378535722524,2.0461355585278045,6.9048482360834385,-0.2643491328416358
xTC-CCSD(T)/avtz,xTC-CCSD(T),avtz,55,0.7771171056253817,1.0124376746412243,3.7310351854406747,-0.6587681309497632
xTC-DC-CCSDT/avtz,xTC-DC-CCSDT,avtz,55,0.6504044575806899,0.8671796808616071,2.770042722188748,-0.3298831561644483
xTC-CCSD(T)/avqz,xTC-CCSD(T),avqz,55,0.741685954399369,1.0482995246353755,3.2599579096130356,-0.33850527080718085
xTC-DC-CCSDT/avqz,xTC-DC-CCSDT,avqz,45,0.6487420971139655,0.9885892055077977,2.779003652267292,-0.07271773633979958
xTC-CCSD(T)/pvdz,xTC-CCSD(T),pvdz,54,3.1260895765624714,4.384362955396921,12.403138031070341,-1.9232523951136005
xTC-CCSD(T)/pvtz,xTC-CCSD(T),pvtz,55,2.0367406719081482,3.2097717332310665,9.702228661141447,-1.7903030638776598
xTC-CCSD(T)/pvqz,xTC-CCSD(T),pvqz,55,1.0884536954222814,1.4840433271028606,4.099371610912328,-1.01910937578957
CCSD(T)+CV/2z,CCSD(T),2z,55,23.18226772375807,26.466338619441988,75.70824881068364,-23.18226772375807
CCSD(T)+CV/3z,CCSD(T),3z,55,8.2454543458992,9.46444267626141,28.597975045415325,-8.2454543458992
CCSD(T)+CV/4z,CCSD(T),4z,55,3.453210129529632,4.079944270947573,13.935588674450656,-3.453210129529632
CCSD(T)+CV/5z,CCSD(T),5z,55,1.6715053659336474,1.960368700277025,5.520059117778402,-1.6715053659336474
