config_dir,ee_cutoff,en_cutoff,een_cutoff,ee_order,en_order,een_order,species,CCSD(T)_energy_Ha,heat_energy_Ha,error_Ha,error_mHa
4.5_0_0_order_5_0_0,4.5,0.0,0.0,5,0,0,CH3,-39.808146885623,-39.836136,0.027989114377000135,27.989114377000135
4.5_0_0_order_5_0_0,4.5,0.0,0.0,5,0,0,F2,-199.463578099195,-199.532431,0.0688529008050125,68.8529008050125
4.5_0_0_order_5_0_0,4.5,0.0,0.0,5,0,0,HF,-100.424856469585,-100.460908,0.036051530415008415,36.051530415008415
4.5_0_0_order_5_0_0,4.5,0.0,0.0,5,0,0,NH2,-55.847927412029,-55.880866,0.032938587970996025,32.938587970996025
4.5_0_0_order_5_0_0,4.5,0.0,0.0,5,0,0,NH3,-56.526922900781,-56.564955,0.038032099218995086,38.032099218995086
4.5_0_0_order_7_0_0,4.5,0.0,0.0,7,0,0,CH3,-39.803379918965,-39.836136,0.032756081035003604,32.756081035003604
4.5_0_0_order_7_0_0,4.5,0.0,0.0,7,0,0,F2,-199.410145381766,-199.532431,0.12228561823400241,122.28561823400241
4.5_0_0_order_7_0_0,4.5,0.0,0.0,7,0,0,HF,-100.397504135544,-100.460908,0.06340386445600643,63.40386445600643
4.5_0_0_order_7_0_0,4.5,0.0,0.0,7,0,0,NH2,-55.83866641705,-55.880866,0.042199582949997705,42.199582949997705
4.5_0_0_order_7_0_0,4.5,0.0,0.0,7,0,0,NH3,-56.516885997871,-56.564955,0.04806900212899734,48.06900212899734
4.5_0_0_order_9_0_0,4.5,0.0,0.0,9,0,0,CH3,-39.803224408055,-39.836136,0.03291159194500182,32.91159194500182
4.5_0_0_order_9_0_0,4.5,0.0,0.0,9,0,0,F2,-199.404290320542,-199.532431,0.12814067945799934,128.14067945799934
4.5_0_0_order_9_0_0,4.5,0.0,0.0,9,0,0,HF,-100.395249275695,-100.460908,0.06565872430500974,65.65872430500974
4.5_0_0_order_9_0_0,4.5,0.0,0.0,9,0,0,NH2,-55.838243687865,-55.880866,0.0426223121349949,42.6223121349949
4.5_0_0_order_9_0_0,4.5,0.0,0.0,9,0,0,NH3,-56.516441873718,-56.564955,0.04851312628199622,48.51312628199622
4.5_0_1_order_5_0_2,4.5,0.0,1.0,5,0,2,CH3,-39.810285615093,-39.836136,0.02585038490700242,25.85038490700242
4.5_0_1_order_5_0_2,4.5,0.0,1.0,5,0,2,F2,-199.469357219716,-199.532431,0.06307378028401445,63.07378028401445
4.5_0_1_order_5_0_2,4.5,0.0,1.0,5,0,2,HF,-100.430776476825,-100.460908,0.030131523175001007,30.131523175001007
4.5_0_1_order_5_0_2,4.5,0.0,1.0,5,0,2,NH2,-55.851331433339,-55.880866,0.029534566660998962,29.534566660998962
4.5_0_1_order_5_0_2,4.5,0.0,1.0,5,0,2,NH3,-56.530969736562,-56.564955,0.033985263437998015,33.985263437998015
4.5_0_1_order_5_0_4,4.5,0.0,1.0,5,0,4,CH3,-39.814975416109,-39.836136,0.02116058389100317,21.16058389100317
4.5_0_1_order_5_0_4,4.5,0.0,1.0,5,0,4,F2,-199.457233097701,-199.532431,0.07519790229900991,75.19790229900991
4.5_0_1_order_5_0_4,4.5,0.0,1.0,5,0,4,HF,-100.42519206304,-100.460908,0.03571593696000264,35.71593696000264
4.5_0_1_order_5_0_4,4.5,0.0,1.0,5,0,4,NH2,-55.853438297257,-55.880866,0.02742770274299744,27.42770274299744
4.5_0_1_order_5_0_4,4.5,0.0,1.0,5,0,4,NH3,-56.532847829312,-56.564955,0.03210717068800051,32.10717068800051
4.5_0_1_order_5_0_6,4.5,0.0,1.0,5,0,6,CH3,-39.81569918582,-39.836136,0.02043681418000176,20.43681418000176
4.5_0_1_order_5_0_6,4.5,0.0,1.0,5,0,6,F2,-199.461139917646,-199.532431,0.0712910823540085,71.2910823540085
4.5_0_1_order_5_0_6,4.5,0.0,1.0,5,0,6,HF,-100.431801102103,-100.460908,0.02910689789700882,29.10689789700882
4.5_0_1_order_5_0_6,4.5,0.0,1.0,5,0,6,NH2,-55.854597465587,-55.880866,0.026268534412999145,26.268534412999145
4.5_0_1_order_5_0_6,4.5,0.0,1.0,5,0,6,NH3,-56.534121176907,-56.564955,0.030833823092997648,30.833823092997648
4.5_0_1_order_7_0_2,4.5,0.0,1.0,7,0,2,CH3,-39.807948245168,-39.836136,0.028187754832003975,28.187754832003975
4.5_0_1_order_7_0_2,4.5,0.0,1.0,7,0,2,F2,-199.437174635754,-199.532431,0.09525636424601203,95.25636424601203
4.5_0_1_order_7_0_2,4.5,0.0,1.0,7,0,2,HF,-100.414176720402,-100.460908,0.04673127959800638,46.73127959800638
4.5_0_1_order_7_0_2,4.5,0.0,1.0,7,0,2,NH2,-55.846413157323,-55.880866,0.03445284267699833,34.45284267699833
4.5_0_1_order_7_0_2,4.5,0.0,1.0,7,0,2,NH3,-56.525422778402,-56.564955,0.03953222159799452,39.53222159799452
4.5_0_1_order_7_0_4,4.5,0.0,1.0,7,0,4,CH3,-39.815248331862,-39.836136,0.020887668138001914,20.887668138001914
4.5_0_1_order_7_0_4,4.5,0.0,1.0,7,0,4,F2,-199.457333878434,-199.532431,0.0750971215659888,75.0971215659888
4.5_0_1_order_7_0_4,4.5,0.0,1.0,7,0,4,HF,-100.426062769098,-100.460908,0.03484523090200753,34.84523090200753
4.5_0_1_order_7_0_4,4.5,0.0,1.0,7,0,4,NH2,-55.853836299271,-55.880866,0.027029700728995465,27.029700728995465
4.5_0_1_order_7_0_4,4.5,0.0,1.0,7,0,4,NH3,-56.533384899991,-56.564955,0.031570100008998736,31.570100008998736
4.5_0_1_order_7_0_6,4.5,0.0,1.0,7,0,6,CH3,-39.8163699569,-39.836136,0.01976604310000596,19.76604310000596
4.5_0_1_order_7_0_6,4.5,0.0,1.0,7,0,6,F2,-199.465171306759,-199.532431,0.06725969324099879,67.25969324099879
4.5_0_1_order_7_0_6,4.5,0.0,1.0,7,0,6,HF,-100.435201636726,-100.460908,0.025706363273997113,25.706363273997113
4.5_0_1_order_7_0_6,4.5,0.0,1.0,7,0,6,NH2,-55.855860389044,-55.880866,0.025005610956000623,25.005610956000623
