project,system,basis,00,02a,02b,03,03_no_fci,04
g2_dfunc_projection_5z,Be,avdz,1,N/A,N/A,25,24.84,11.70
g2_dfunc_projection_5z,Be,avqz,5,N/A,N/A,60,32.70,12.80
g2_dfunc_projection_5z,Be,avtz,2,N/A,N/A,28,24.73,18.12
g2_dfunc_projection_5z,Be,pvdz,3,N/A,N/A,17,16.99,12.74
g2_dfunc_projection_5z,Be,pvqz,9,N/A,N/A,49,40.28,12.63
g2_dfunc_projection_5z,Be,pvtz,7,N/A,N/A,34,33.39,12.47
g2_dfunc_projection_5z,BeH,avdz,4,N/A,N/A,39,37.01,23.26
g2_dfunc_projection_5z,BeH,avqz,26,N/A,N/A,1014,484.00,39.09
g2_dfunc_projection_5z,BeH,avtz,12,N/A,N/A,115,68.50,27.05
g2_dfunc_projection_5z,BeH,pvdz,14,N/A,N/A,36,35.91,22.55
g2_dfunc_projection_5z,BeH,pvqz,20,N/A,N/A,391,192.00,27.56
g2_dfunc_projection_5z,BeH,pvtz,12,N/A,N/A,130,90.30,24.52
g2_dfunc_projection_5z,C,avdz,3,N/A,N/A,21,20.54,24.62
g2_dfunc_projection_5z,C,avqz,4,N/A,N/A,187,101.00,28.41
g2_dfunc_projection_5z,C,avtz,2,N/A,N/A,44,35.24,25.77
g2_dfunc_projection_5z,C,pvdz,3,N/A,N/A,17,16.94,22.38
g2_dfunc_projection_5z,C,pvqz,6,N/A,N/A,96,60.50,24.88
g2_dfunc_projection_5z,C,pvtz,3,N/A,N/A,39,36.04,24.72
g2_dfunc_projection_5z,C2H2,avdz,49,N/A,N/A,188,178.10,15.92
g2_dfunc_projection_5z,C2H2,avqz,434,N/A,N/A,5120,2379.00,199.25
g2_dfunc_projection_5z,C2H2,avtz,96,N/A,N/A,826,596.00,32.49
g2_dfunc_projection_5z,C2H2,pvdz,306,N/A,N/A,165,163.66,16.93
g2_dfunc_projection_5z,C2H2,pvqz,293,N/A,N/A,3449,1750.00,82.70
g2_dfunc_projection_5z,C2H2,pvtz,164,N/A,N/A,903,634.00,36.75
g2_dfunc_projection_5z,C2H4,avdz,259,N/A,N/A,644,612.70,20.46
g2_dfunc_projection_5z,C2H4,avqz,1712,N/A,N/A,19461,9921.00,500.22
g2_dfunc_projection_5z,C2H4,avtz,553,N/A,N/A,2061,1312.00,68.78
g2_dfunc_projection_5z,C2H4,pvdz,734,N/A,N/A,265,261.90,28.79
g2_dfunc_projection_5z,C2H4,pvqz,1184,N/A,N/A,8509,3889.00,229.67
g2_dfunc_projection_5z,C2H4,pvtz,675,N/A,N/A,3261,1864.00,110.05
g2_dfunc_projection_5z,C2H6,avdz,402,N/A,N/A,746,686.00,33.46
g2_dfunc_projection_5z,C2H6,avqz,6834,N/A,N/A,44217,19677.00,1946.00
g2_dfunc_projection_5z,C2H6,avtz,1071,N/A,N/A,9349,7223.00,338.60
g2_dfunc_projection_5z,C2H6,pvdz,1859,N/A,N/A,654,640.40,16.53
g2_dfunc_projection_5z,C2H6,pvqz,4079,N/A,N/A,23968,11308.00,699.91
g2_dfunc_projection_5z,C2H6,pvtz,1189,N/A,N/A,8481,4821.00,323.70
g2_dfunc_projection_5z,CH,avdz,7,N/A,N/A,44,41.46,25.21
g2_dfunc_projection_5z,CH,avqz,41,N/A,N/A,999,297.00,64.20
g2_dfunc_projection_5z,CH,avtz,7,N/A,N/A,164,95.00,27.77
g2_dfunc_projection_5z,CH,pvdz,14,N/A,N/A,29,28.69,31.57
g2_dfunc_projection_5z,CH,pvqz,21,N/A,N/A,476,158.00,32.71
g2_dfunc_projection_5z,CH,pvtz,12,N/A,N/A,158,90.00,27.91
g2_dfunc_projection_5z,CH2,avdz,11,N/A,N/A,78,70.00,25.42
g2_dfunc_projection_5z,CH2,avqz,96,N/A,N/A,3553,983.00,121.43
g2_dfunc_projection_5z,CH2,avtz,22,N/A,N/A,467,248.00,49.81
g2_dfunc_projection_5z,CH2,pvdz,45,N/A,N/A,54,53.08,28.35
g2_dfunc_projection_5z,CH2,pvqz,70,N/A,N/A,1612,445.00,76.83
g2_dfunc_projection_5z,CH2,pvtz,45,N/A,N/A,574,224.00,36.02
g2_dfunc_projection_5z,CH2O,avdz,50,N/A,N/A,204,193.70,16.04
g2_dfunc_projection_5z,CH2O,avqz,459,N/A,N/A,7988,4816.00,250.68
g2_dfunc_projection_5z,CH2O,avtz,100,N/A,N/A,825,591.00,39.77
g2_dfunc_projection_5z,CH2O,pvdz,311,N/A,N/A,139,137.81,16.97
