species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,20.572515326354893,-0.2,20.372515326354893,SHCI_PBE_D0,16.85,17.0,3.522515326354892
li2,Li2,24.18356252053795,-0.5,23.68356252053795,SHCI_PBE_D0,23.84,23.9,-0.1564374794620491
f2,F2,37.27888203212209,-2.09,35.188882032122095,SHCI_PBE_D0,36.93,36.93,-1.741117967877905
be_h,BeH,49.30681420339302,-2.94,46.36681420339302,SHCI_PBE_D0,47.8,47.7,-1.4331857966069776
li_h,LiH,56.792042139469345,-2.01,54.78204213946935,SHCI_PBE_D0,56.02,55.7,-1.2379578605306563
cl2,Cl2,60.0526190172899,-2.62,57.4326190172899,SHCI_PBE_D0,56.75,57.18,0.6826190172899018
cl_f,ClF,62.48658393994814,-2.51,59.97658393994814,SHCI_PBE_D0,59.99,60.35,-0.013416060051859802
cl_o,ClO,63.92733314226967,-2.0300000000000002,61.897333142269666,SHCI_PBE_D0,63.07,63.42,-1.1726668577303343
si2,Si2,69.73109924182505,-1.74,67.99109924182505,SHCI_PBE_D0,75.03,74.4,-7.038900758174947
n_h,NH,80.6467332197501,-4.71,75.93673321975011,SHCI_PBE_D0,78.55,78.36,-2.6132667802498872
c_h,CH,82.0599849568501,-4.12,77.9399849568501,SHCI_PBE_D0,80.16,79.97,-2.2200150431498997
na_cl,NaCl,97.19021729126962,-1.6,95.59021729126962,SHCI_PBE_D0,96.85,97.4,-1.25978270873037
s2,S2,101.68914646558497,-2.44,99.24914646558497,SHCI_PBE_D0,101.51,100.8,-2.260853534415034
o_h,OH,105.4808724626154,-5.53,99.9508724626154,SHCI_PBE_D0,101.81,101.73,-1.8591275373846088
h_cl,HCl,106.94025242114486,-5.24,101.70025242114487,SHCI_PBE_D0,102.3,102.21,-0.5997475788551299
p2,P2,111.9760285007207,-1.36,110.6160285007207,SHCI_PBE_D0,116.29,116.0,-5.673971499279304
o2,O2,118.23072918343694,-2.87,115.36072918343693,SHCI_PBE_D0,117.95,117.99,-2.5892708165630722
s_o,SO,124.36415738519372,-2.7199999999999998,121.64415738519372,SHCI_PBE_D0,123.67,123.5,-2.0258426148062796
si_h2_triplet,SiH2(3B1),130.92663891476394,-8.3,122.62663891476394,SHCI_PBE_D0,124.42,123.4,-1.7933610852360573
h_f,HF,140.61896827339166,-6.44,134.17896827339166,SHCI_PBE_D0,135.37,135.27,-1.1910317266083439
li_f,LiF,137.10526034884563,-1.9,135.20526034884563,SHCI_PBE_D0,137.34,137.6,-2.1347396511543764
p_h2,PH2,150.82768772842712,-8.6,142.22768772842713,SHCI_PBE_D0,145.96,144.7,-3.73231227157288
si_h2_singlet,SiH2(1A1),150.69378348175744,-7.8999999999999995,142.79378348175743,SHCI_PBE_D0,146.05,144.1,-3.2562165182425815
n_o,NO,148.44566803996915,-2.94,145.50566803996915,SHCI_PBE_D0,150.23,149.81,-4.724331960030838
h_o_cl,HOCl,164.15095633153396,-9.68,154.47095633153396,SHCI_PBE_D0,156.93,156.88,-2.4590436684660517
c_s,CS,169.44928237502273,-2.63,166.81928237502274,SHCI_PBE_D0,169.67,170.4,-2.85071762497725
c_h2_singlet,CH2(1A1),177.7540627846124,-10.459999999999999,167.29406278461238,SHCI_PBE_D0,171.1,170.83,-3.8059372153876154
n_h2,NH2,178.42546654639162,-11.76,166.66546654639163,SHCI_PBE_D0,171.1,170.59,-4.434533453608367
h2_s,H2S,181.38217196137012,-10.33,171.0521719613701,SHCI_PBE_D0,173.41,173.2,-2.35782803862989
c_n,CN,175.85012373916658,-3.1900000000000004,172.66012373916658,SHCI_PBE_D0,178.58,178.12,-5.919876260833433
c_h2_triplet,CH2(3B1),187.89170424151183,-10.780000000000001,177.11170424151183,SHCI_PBE_D0,179.95,179.83,-2.838295758488158
si_o,SiO,189.31710456203612,-2.68,186.63710456203611,SHCI_PBE_D0,190.53,189.8,-3.8928954379638867
si_h3,SiH3,224.59903809447135,-14.0,210.59903809447135,SHCI_PBE_D0,214.02,212.2,-3.4209619055286566
h2_o,H2O,230.2993404319433,-13.75,216.5493404319433,SHCI_PBE_D0,219.51,219.37,-2.960659568056684
n2,N2,222.75345115500457,-3.5,219.25345115500457,SHCI_PBE_D0,225.62,224.94,-6.366548844995435
p_h3,PH3,237.46501544344972,-14.879999999999999,222.58501544344972,SHCI_PBE_D0,227.36,227.1,-4.774984556550294
h2_o2,H2O2,264.76645918737785,-17.26,247.50645918737786,SHCI_PBE_D0,252.33,252.21,-4.823540812622156
s_o2,SO2,256.2924771232158,-6.17,250.12247712321582,SHCI_PBE_D0,255.0,254.46,-4.877522876784184
c_o,CO,256.56822988649424,-3.55,253.01822988649423,SHCI_PBE_D0,256.47,256.23,-3.451770113505802
h_c_o,HCO,275.09623149505205,-8.68,266.41623149505205,SHCI_PBE_D0,270.92,270.76,-4.5037685049479705
n_h3,NH3,292.9139174793481,-21.6,271.31391747934805,SHCI_PBE_D0,276.97,276.59,-5.656082520651978
c_h3,CH3,303.5953711966579,-18.8,284.79537119665787,SHCI_PBE_D0,289.18,289.11,-4.384628803342139
h_c_n,HCN,307.15281653154,-10.26,296.89281653154,SHCI_PBE_D0,303.76,303.14,-6.867183468459984
si_h4,SiH4,319.9578878109737,-20.4,299.55788781097374,SHCI_PBE_D0,304.27,302.6,-4.712112189026243
h2_c_o,H2CO,369.539199758708,-17.169999999999998,352.36919975870796,SHCI_PBE_D0,357.88,357.48,-5.510800241292031
c_h3_cl,CH3Cl,391.2413513652105,-24.59,366.65135136521053,SHCI_PBE_D0,371.53,371.35,-4.878648634789442
c_o2,CO2,385.0003994150627,-8.25,376.7503994150627,SHCI_PBE_D0,382.46,381.98,-5.709600584937277
c2_h2,C2H2,398.8392737277189,-16.96,381.8792737277189,SHCI_PBE_D0,388.84,388.64,-6.960726272281079
c_h4,CH4,415.1424593212709,-28.009999999999998,387.1324593212709,SHCI_PBE_D0,392.56,392.47,-5.427540678729088
n2_h4,N2H4,429.5584289968713,-33.19,396.36842899687133,SHCI_PBE_D0,406.6,404.81,-10.231571003128693
h3_c_s_h,H3CSH,468.7082054254806,-29.8,438.9082054254806,SHCI_PBE_D0,445.91,445.1,-7.001794574519408
h3_c_o_h,H3COH,506.908428242915,-32.519999999999996,474.38842824291504,SHCI_PBE_D0,481.52,480.97,-7.1315717570849415
si2_h6,Si2H6,526.1136255257221,-32.5,493.6136255257221,SHCI_PBE_D0,503.34,500.1,-9.726374474277861
c2_h4,C2H4,556.4205196205586,-32.16,524.2605196205586,SHCI_PBE_D0,532.09,532.04,-7.8294803794414065
c2_h6,C2H6,704.0167594609542,-46.79,657.2267594609542,SHCI_PBE_D0,666.97,666.19,-9.743240539045814
