species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,31.578585969731996,-0.2,31.378585969731997,SHCI_PBE_D0,16.85,17.0,14.528585969731996
li2,Li2,24.46105976015928,-0.5,23.96105976015928,SHCI_PBE_D0,23.84,23.9,0.12105976015928022
f2,F2,38.288350247942255,-2.09,36.19835024794226,SHCI_PBE_D0,36.93,36.93,-0.7316497520577414
be_h,BeH,50.68365784081401,-2.94,47.74365784081401,SHCI_PBE_D0,47.8,47.7,-0.05634215918598784
li_h,LiH,58.171301688365844,-2.01,56.161301688365846,SHCI_PBE_D0,56.02,55.7,0.1413016883658429
cl2,Cl2,59.21642499250908,-2.62,56.596424992509085,SHCI_PBE_D0,56.75,57.18,-0.15357500749091457
cl_f,ClF,62.52008039570749,-2.51,60.01008039570749,SHCI_PBE_D0,59.99,60.35,0.020080395707488208
cl_o,ClO,64.3963588235977,-2.0300000000000002,62.36635882359769,SHCI_PBE_D0,63.07,63.42,-0.7036411764023072
si2,Si2,73.83737063781993,-1.74,72.09737063781994,SHCI_PBE_D0,75.03,74.4,-2.932629362180066
n_h,NH,82.88279420452963,-4.71,78.17279420452964,SHCI_PBE_D0,78.55,78.36,-0.3772057954703598
c_h,CH,84.01281326542123,-4.12,79.89281326542122,SHCI_PBE_D0,80.16,79.97,-0.26718673457877173
na_cl,NaCl,102.92139309485175,-1.6,101.32139309485176,SHCI_PBE_D0,96.85,97.4,4.471393094851763
s2,S2,103.20035243161624,-2.44,100.76035243161624,SHCI_PBE_D0,101.51,100.8,-0.7496475683837645
o_h,OH,107.1061220004375,-5.53,101.5761220004375,SHCI_PBE_D0,101.81,101.73,-0.23387799956250888
h_cl,HCl,107.48254610864501,-5.24,102.24254610864502,SHCI_PBE_D0,102.3,102.21,-0.05745389135498158
p2,P2,116.16901543088365,-1.36,114.80901543088365,SHCI_PBE_D0,116.29,116.0,-1.4809845691163588
o2,O2,119.95440358226345,-2.87,117.08440358226345,SHCI_PBE_D0,117.95,117.99,-0.8655964177365547
s_o,SO,125.97009218138443,-2.7199999999999998,123.25009218138443,SHCI_PBE_D0,123.67,123.5,-0.41990781861557025
si_h2_triplet,SiH2(3B1),134.28426640783792,-8.3,125.98426640783792,SHCI_PBE_D0,124.42,123.4,1.5642664078379198
h_f,HF,141.71732320621493,-6.44,135.27732320621493,SHCI_PBE_D0,135.37,135.27,-0.0926767937850741
li_f,LiF,139.54288992688595,-1.9,137.64288992688594,SHCI_PBE_D0,137.34,137.6,0.3028899268859391
p_h2,PH2,154.55611684480166,-8.6,145.95611684480167,SHCI_PBE_D0,145.96,144.7,-0.0038831551983378176
si_h2_singlet,SiH2(1A1),154.9153346432246,-7.8999999999999995,147.0153346432246,SHCI_PBE_D0,146.05,144.1,0.965334643224594
n_o,NO,151.91605271042607,-2.94,148.97605271042607,SHCI_PBE_D0,150.23,149.81,-1.2539472895739152
h_o_cl,HOCl,165.93254985482008,-9.68,156.25254985482007,SHCI_PBE_D0,156.93,156.88,-0.6774501451799324
c_s,CS,171.2450576124368,-2.63,168.6150576124368,SHCI_PBE_D0,169.67,170.4,-1.0549423875631874
c_h2_singlet,CH2(1A1),181.02587835709303,-10.459999999999999,170.56587835709303,SHCI_PBE_D0,171.1,170.83,-0.5341216429069675
n_h2,NH2,182.29519824613638,-11.76,170.5351982461364,SHCI_PBE_D0,171.1,170.59,-0.5648017538636054
h2_s,H2S,183.73292285275667,-10.33,173.40292285275666,SHCI_PBE_D0,173.41,173.2,-0.007077147243336412
c_n,CN,180.00055925195292,-3.1900000000000004,176.81055925195292,SHCI_PBE_D0,178.58,178.12,-1.7694407480470886
c_h2_triplet,CH2(3B1),190.67055464626353,-10.780000000000001,179.89055464626352,SHCI_PBE_D0,179.95,179.83,-0.05944535373646431
si_o,SiO,193.23514821622254,-2.68,190.55514821622253,SHCI_PBE_D0,190.53,189.8,0.025148216222532938
si_h3,SiH3,229.96945242634823,-14.0,215.96945242634823,SHCI_PBE_D0,214.02,212.2,1.9494524263482162
h2_o,H2O,232.9183327981753,-13.75,219.1683327981753,SHCI_PBE_D0,219.51,219.37,-0.34166720182469135
n2,N2,227.52729222988702,-3.5,224.02729222988702,SHCI_PBE_D0,225.62,224.94,-1.5927077701129804
p_h3,PH3,242.4641449697044,-14.879999999999999,227.5841449697044,SHCI_PBE_D0,227.36,227.1,0.22414496970438336
h2_o2,H2O2,268.6902696536042,-17.26,251.43026965360423,SHCI_PBE_D0,252.33,252.21,-0.8997303463957849
s_o2,SO2,259.66554134932704,-6.17,253.49554134932706,SHCI_PBE_D0,255.0,254.46,-1.5044586506729445
c_o,CO,259.1684157937975,-3.55,255.6184157937975,SHCI_PBE_D0,256.47,256.23,-0.8515842062025172
h_c_o,HCO,278.9238196585185,-8.68,270.2438196585185,SHCI_PBE_D0,270.92,270.76,-0.6761803414815404
n_h3,NH3,297.8137812819048,-21.6,276.2137812819048,SHCI_PBE_D0,276.97,276.59,-0.7562187180952264
c_h3,CH3,307.72878237740434,-18.8,288.92878237740433,SHCI_PBE_D0,289.18,289.11,-0.25121762259567504
h_c_n,HCN,312.7232934339401,-10.26,302.4632934339401,SHCI_PBE_D0,303.76,303.14,-1.2967065660598678
si_h4,SiH4,327.06300815824324,-20.4,306.66300815824326,SHCI_PBE_D0,304.27,302.6,2.3930081582432763
h2_c_o,H2CO,374.35568637744495,-17.169999999999998,357.18568637744494,SHCI_PBE_D0,357.88,357.48,-0.6943136225550575
c_h3_cl,CH3Cl,396.0019708154551,-24.59,371.4119708154551,SHCI_PBE_D0,371.53,371.35,-0.11802918454486644
c_o2,CO2,389.744490265775,-8.25,381.494490265775,SHCI_PBE_D0,382.46,381.98,-0.9655097342249519
c2_h2,C2H2,405.0637410039879,-16.96,388.1037410039879,SHCI_PBE_D0,388.84,388.64,-0.7362589960120545
c_h4,CH4,420.2899948381503,-28.009999999999998,392.2799948381503,SHCI_PBE_D0,392.56,392.47,-0.280005161849715
n2_h4,N2H4,437.8935808649905,-33.19,404.7035808649905,SHCI_PBE_D0,406.6,404.81,-1.8964191350095234
h3_c_s_h,H3CSH,475.08887863515366,-29.8,445.28887863515365,SHCI_PBE_D0,445.91,445.1,-0.621121364846374
h3_c_o_h,H3COH,513.4190084638849,-32.519999999999996,480.8990084638849,SHCI_PBE_D0,481.52,480.97,-0.6209915361150706
si2_h6,Si2H6,539.8777822853126,-32.5,507.3777822853126,SHCI_PBE_D0,503.34,500.1,4.03778228531263
c2_h4,C2H4,563.6885037767098,-32.16,531.5285037767098,SHCI_PBE_D0,532.09,532.04,-0.5614962232901917
c2_h6,C2H6,712.9332925817145,-46.79,666.1432925817145,SHCI_PBE_D0,666.97,666.19,-0.8267074182855367
