species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.99614660810275,-0.2,16.796146608102752,SHCI_PBE_D0,16.85,17.0,-0.053853391897249026
li2,Li2,24.414826701967886,-0.5,23.914826701967886,SHCI_PBE_D0,23.84,23.9,0.07482670196788632
f2,F2,37.79324273714311,-2.09,35.703242737143114,SHCI_PBE_D0,36.93,36.93,-1.2267572628568857
be_h,BeH,50.058928891349936,-2.94,47.11892889134994,SHCI_PBE_D0,47.8,47.7,-0.6810711086500589
li_h,LiH,58.16816720135944,-2.01,56.15816720135944,SHCI_PBE_D0,56.02,55.7,0.13816720135943683
cl2,Cl2,59.53748683956652,-2.62,56.91748683956652,SHCI_PBE_D0,56.75,57.18,0.16748683956652144
cl_f,ClF,62.94347965291333,-2.51,60.433479652913334,SHCI_PBE_D0,59.99,60.35,0.44347965291333225
cl_o,ClO,64.67119809558025,-2.0300000000000002,62.64119809558025,SHCI_PBE_D0,63.07,63.42,-0.42880190441974975
si2,Si2,76.5884138757714,-1.74,74.8484138757714,SHCI_PBE_D0,75.03,74.4,-0.18158612422860188
n_h,NH,82.87317360703175,-4.71,78.16317360703175,SHCI_PBE_D0,78.55,78.36,-0.3868263929682456
c_h,CH,83.97733664394129,-4.12,79.85733664394128,SHCI_PBE_D0,80.16,79.97,-0.30266335605871575
na_cl,NaCl,99.16969065174371,-1.6,97.56969065174371,SHCI_PBE_D0,96.85,97.4,0.7196906517437185
s2,S2,103.81482317243942,-2.44,101.37482317243942,SHCI_PBE_D0,101.51,100.8,-0.1351768275605849
o_h,OH,107.09064077883303,-5.53,101.56064077883303,SHCI_PBE_D0,101.81,101.73,-0.2493592211669693
h_cl,HCl,107.56348879041626,-5.24,102.32348879041626,SHCI_PBE_D0,102.3,102.21,0.02348879041626617
p2,P2,116.91879977705199,-1.36,115.55879977705199,SHCI_PBE_D0,116.29,116.0,-0.7312002229480186
s_o,SO,126.74865746674092,-2.7199999999999998,124.02865746674092,SHCI_PBE_D0,123.67,123.5,0.35865746674092236
si_h2_triplet,SiH2(3B1),133.23080271335016,-8.3,124.93080271335016,SHCI_PBE_D0,124.42,123.4,0.5108027133501594
h_f,HF,141.64256100647572,-6.44,135.20256100647572,SHCI_PBE_D0,135.37,135.27,-0.1674389935242857
li_f,LiF,139.65316060301453,-1.9,137.75316060301452,SHCI_PBE_D0,137.34,137.6,0.41316060301451785
p_h2,PH2,154.67515801562874,-8.6,146.07515801562874,SHCI_PBE_D0,145.96,144.7,0.11515801562873662
si_h2_singlet,SiH2(1A1),154.22899305544632,-7.8999999999999995,146.32899305544632,SHCI_PBE_D0,146.05,144.1,0.2789930554463069
h_o_cl,HOCl,166.34982556901002,-9.68,156.66982556901002,SHCI_PBE_D0,156.93,156.88,-0.2601744309899914
c_s,CS,172.28478473985697,-2.63,169.65478473985698,SHCI_PBE_D0,169.67,170.4,-0.01521526014300889
c_h2_singlet,CH2(1A1),180.99653477538345,-10.459999999999999,170.53653477538344,SHCI_PBE_D0,171.1,170.83,-0.5634652246165501
n_h2,NH2,182.26251727599004,-11.76,170.50251727599004,SHCI_PBE_D0,171.1,170.59,-0.5974827240099501
h2_s,H2S,184.11088940997035,-10.33,173.78088940997034,SHCI_PBE_D0,173.41,173.2,0.3708894099703457
c_h2_triplet,CH2(3B1),190.64721104031796,-10.780000000000001,179.86721104031795,SHCI_PBE_D0,179.95,179.83,-0.08278895968203415
si_o,SiO,193.98759118133873,-2.68,191.30759118133872,SHCI_PBE_D0,190.53,189.8,0.7775911813387211
si_h3,SiH3,228.7290239243717,-14.0,214.7290239243717,SHCI_PBE_D0,214.02,212.2,0.709023924371678
h2_o,H2O,232.95124312616446,-13.75,219.20124312616446,SHCI_PBE_D0,219.51,219.37,-0.3087568738355344
n2,N2,227.52110426734845,-3.5,224.02110426734845,SHCI_PBE_D0,225.62,224.94,-1.598895732651556
p_h3,PH3,242.56748195352858,-14.879999999999999,227.6874819535286,SHCI_PBE_D0,227.36,227.1,0.3274819535285758
h2_o2,H2O2,268.62544902871315,-17.26,251.36544902871316,SHCI_PBE_D0,252.33,252.21,-0.9645509712868545
s_o2,SO2,260.9718055235653,-6.17,254.80180552356532,SHCI_PBE_D0,255.0,254.46,-0.19819447643467925
c_o,CO,259.32622428910327,-3.55,255.77622428910325,SHCI_PBE_D0,256.47,256.23,-0.693775710896773
n_h3,NH3,297.7672702884705,-21.6,276.1672702884705,SHCI_PBE_D0,276.97,276.59,-0.8027297115295369
c_h3,CH3,307.76481629444714,-18.8,288.96481629444713,SHCI_PBE_D0,289.18,289.11,-0.21518370555287447
h_c_n,HCN,312.6464190636614,-10.26,302.38641906366144,SHCI_PBE_D0,303.76,303.14,-1.3735809363385556
si_h4,SiH4,325.76928061301544,-20.4,305.36928061301546,SHCI_PBE_D0,304.27,302.6,1.0992806130154804
h2_c_o,H2CO,374.2337035708261,-17.169999999999998,357.0637035708261,SHCI_PBE_D0,357.88,357.48,-0.8162964291739172
c_h3_cl,CH3Cl,396.4141920838882,-24.59,371.82419208388825,SHCI_PBE_D0,371.53,371.35,0.29419208388827656
c_o2,CO2,389.7543446475665,-8.25,381.5043446475665,SHCI_PBE_D0,382.46,381.98,-0.9556553524334959
c2_h2,C2H2,404.8598680999387,-16.96,387.8998680999387,SHCI_PBE_D0,388.84,388.64,-0.9401319000612602
c_h4,CH4,420.35510307258846,-28.009999999999998,392.3451030725885,SHCI_PBE_D0,392.56,392.47,-0.21489692741153021
n2_h4,N2H4,437.80125912096776,-33.19,404.61125912096776,SHCI_PBE_D0,406.6,404.81,-1.9887408790322638
h3_c_s_h,H3CSH,475.90620754641577,-29.8,446.10620754641576,SHCI_PBE_D0,445.91,445.1,0.19620754641573512
h3_c_o_h,H3COH,513.4954461678886,-32.519999999999996,480.97544616788866,SHCI_PBE_D0,481.52,480.97,-0.544553832111319
si2_h6,Si2H6,538.037863600641,-32.5,505.537863600641,SHCI_PBE_D0,503.34,500.1,2.1978636006410284
c2_h4,C2H4,563.5022491311115,-32.16,531.3422491311115,SHCI_PBE_D0,532.09,532.04,-0.7477508688884882
