species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.88443731565785,-0.2,16.68443731565785,SHCI_PBE_D0,16.85,17.0,-0.16556268434215227
li2,Li2,23.94175973604116,-0.5,23.44175973604116,SHCI_PBE_D0,23.84,23.9,-0.39824026395884005
f2,F2,32.040930068186626,-2.09,29.950930068186626,SHCI_PBE_D0,36.93,36.93,-6.979069931813374
be_h,BeH,43.28677383106203,-2.94,40.34677383106203,SHCI_PBE_D0,47.8,47.7,-7.453226168937967
li_h,LiH,56.59690489896868,-2.01,54.58690489896868,SHCI_PBE_D0,56.02,55.7,-1.43309510103132
cl2,Cl2,51.30724216220031,-2.62,48.68724216220031,SHCI_PBE_D0,56.75,57.18,-8.062757837799687
cl_f,ClF,55.730088198519255,-2.51,53.22008819851926,SHCI_PBE_D0,59.99,60.35,-6.769911801480745
cl_o,ClO,57.16808094367078,-2.0300000000000002,55.13808094367078,SHCI_PBE_D0,63.07,63.42,-7.931919056329221
si2,Si2,67.8459254950749,-1.74,66.1059254950749,SHCI_PBE_D0,75.03,74.4,-8.924074504925102
n_h,NH,80.92404636628483,-4.71,76.21404636628483,SHCI_PBE_D0,78.55,78.36,-2.335953633715164
c_h,CH,82.46624833658707,-4.12,78.34624833658707,SHCI_PBE_D0,80.16,79.97,-1.8137516634129298
na_cl,NaCl,93.68745920815219,-1.6,92.0874592081522,SHCI_PBE_D0,96.85,97.4,-4.7625407918477975
s2,S2,93.27370962780748,-2.44,90.83370962780748,SHCI_PBE_D0,101.51,100.8,-10.676290372192526
o_h,OH,105.81356830454739,-5.53,100.28356830454739,SHCI_PBE_D0,101.81,101.73,-1.5264316954526151
h_cl,HCl,106.37581400465146,-5.24,101.13581400465146,SHCI_PBE_D0,102.3,102.21,-1.1641859953485323
p2,P2,103.32552286521607,-1.36,101.96552286521607,SHCI_PBE_D0,116.29,116.0,-14.324477134783933
o2,O2,113.29119614393653,-2.87,110.42119614393653,SHCI_PBE_D0,117.95,117.99,-7.528803856063476
s_o,SO,118.76409658751228,-2.7199999999999998,116.04409658751229,SHCI_PBE_D0,123.67,123.5,-7.625903412487716
si_h2_triplet,SiH2(3B1),129.53789939259667,-8.3,121.23789939259667,SHCI_PBE_D0,124.42,123.4,-3.182100607403328
h_f,HF,140.4006439146284,-6.44,133.9606439146284,SHCI_PBE_D0,135.37,135.27,-1.4093560853715985
li_f,LiF,131.95773773419083,-1.9,130.05773773419082,SHCI_PBE_D0,137.34,137.6,-7.28226226580918
p_h2,PH2,149.33680387194312,-8.6,140.73680387194312,SHCI_PBE_D0,145.96,144.7,-5.223196128056884
si_h2_singlet,SiH2(1A1),149.9981935488783,-7.8999999999999995,142.0981935488783,SHCI_PBE_D0,146.05,144.1,-3.951806451121712
n_o,NO,145.06883829577708,-2.94,142.1288382957771,SHCI_PBE_D0,150.23,149.81,-8.101161704222903
h_o_cl,HOCl,158.831389256094,-9.68,149.151389256094,SHCI_PBE_D0,156.93,156.88,-7.778610743906
c_s,CS,165.9752504243635,-2.63,163.3452504243635,SHCI_PBE_D0,169.67,170.4,-6.324749575636474
c_h2_singlet,CH2(1A1),178.53550058617773,-10.459999999999999,168.07550058617772,SHCI_PBE_D0,171.1,170.83,-3.0244994138222694
n_h2,NH2,178.9449170284515,-11.76,167.1849170284515,SHCI_PBE_D0,171.1,170.59,-3.915082971548486
h2_s,H2S,180.74920663942825,-10.33,170.41920663942824,SHCI_PBE_D0,173.41,173.2,-2.9907933605717574
c_n,CN,173.82368855360687,-3.1900000000000004,170.63368855360687,SHCI_PBE_D0,178.58,178.12,-7.946311446393139
c_h2_triplet,CH2(3B1),188.37490093286252,-10.780000000000001,177.59490093286252,SHCI_PBE_D0,179.95,179.83,-2.3550990671374734
si_o,SiO,186.40538589548422,-2.68,183.7253858954842,SHCI_PBE_D0,190.53,189.8,-6.804614104515792
si_h3,SiH3,223.44689870021287,-14.0,209.44689870021287,SHCI_PBE_D0,214.02,212.2,-4.57310129978714
h2_o,H2O,231.06360061282868,-13.75,217.31360061282868,SHCI_PBE_D0,219.51,219.37,-2.1963993871713114
n2,N2,221.51249183086537,-3.5,218.01249183086537,SHCI_PBE_D0,225.62,224.94,-7.607508169134633
p_h3,PH3,236.2262018703566,-14.879999999999999,221.3462018703566,SHCI_PBE_D0,227.36,227.1,-6.013798129643419
h2_o2,H2O2,263.1316834451675,-17.26,245.8716834451675,SHCI_PBE_D0,252.33,252.21,-6.458316554832521
s_o2,SO2,244.28191507932397,-6.17,238.11191507932398,SHCI_PBE_D0,255.0,254.46,-16.88808492067602
c_o,CO,254.8555723232372,-3.55,251.3055723232372,SHCI_PBE_D0,256.47,256.23,-5.164427676762841
h_c_o,HCO,273.2402302954176,-8.68,264.56023029541757,SHCI_PBE_D0,270.92,270.76,-6.3597697045824475
n_h3,NH3,293.6033687022497,-21.6,272.0033687022497,SHCI_PBE_D0,276.97,276.59,-4.966631297750325
c_h3,CH3,305.04725201977516,-18.8,286.24725201977515,SHCI_PBE_D0,289.18,289.11,-2.9327479802248604
h_c_n,HCN,306.00797290633886,-10.26,295.7479729063389,SHCI_PBE_D0,303.76,303.14,-8.012027093661118
si_h4,SiH4,319.4994232565904,-20.4,299.0994232565904,SHCI_PBE_D0,304.27,302.6,-5.170576743409583
h2_c_o,H2CO,368.5555977030275,-17.169999999999998,351.3855977030275,SHCI_PBE_D0,357.88,357.48,-6.49440229697251
c_h3_cl,CH3Cl,389.8214002560248,-24.59,365.2314002560248,SHCI_PBE_D0,371.53,371.35,-6.29859974397516
c_o2,CO2,380.0551838009807,-8.25,371.8051838009807,SHCI_PBE_D0,382.46,381.98,-10.654816199019251
c2_h2,C2H2,397.7857202755615,-16.96,380.82572027556154,SHCI_PBE_D0,388.84,388.64,-8.014279724438438
c_h4,CH4,417.7973402971981,-28.009999999999998,389.7873402971981,SHCI_PBE_D0,392.56,392.47,-2.7726597028018887
n2_h4,N2H4,428.60653830941135,-33.19,395.41653830941135,SHCI_PBE_D0,406.6,404.81,-11.183461690588672
