species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.033051968249225,-0.2,16.833051968249226,SHCI_PBE_D0,16.85,17.0,-0.016948031750775527
li2,Li2,24.368920122523225,-0.5,23.868920122523225,SHCI_PBE_D0,23.84,23.9,0.028920122523224734
f2,F2,37.96453161624837,-2.09,35.874531616248376,SHCI_PBE_D0,36.93,36.93,-1.0554683837516237
be_h,BeH,49.9211707105306,-2.94,46.981170710530606,SHCI_PBE_D0,47.8,47.7,-0.8188292894693916
li_h,LiH,58.1543246347808,-2.01,56.1443246347808,SHCI_PBE_D0,56.02,55.7,0.12432463478079825
cl2,Cl2,59.242172961256884,-2.62,56.62217296125689,SHCI_PBE_D0,56.75,57.18,-0.12782703874311352
cl_f,ClF,62.87476905539024,-2.51,60.36476905539024,SHCI_PBE_D0,59.99,60.35,0.37476905539023875
cl_o,ClO,64.70009314921994,-2.0300000000000002,62.67009314921994,SHCI_PBE_D0,63.07,63.42,-0.39990685078006294
si2,Si2,75.72752425458232,-1.74,73.98752425458233,SHCI_PBE_D0,75.03,74.4,-1.0424757454176756
n_h,NH,82.94590158798283,-4.71,78.23590158798284,SHCI_PBE_D0,78.55,78.36,-0.3140984120171595
c_h,CH,84.02383753571957,-4.12,79.90383753571956,SHCI_PBE_D0,80.16,79.97,-0.2561624642804361
na_cl,NaCl,98.69359518957474,-1.6,97.09359518957474,SHCI_PBE_D0,96.85,97.4,0.2435951895747479
s2,S2,103.60297748256343,-2.44,101.16297748256343,SHCI_PBE_D0,101.51,100.8,-0.34702251743657087
o_h,OH,107.1356847103462,-5.53,101.6056847103462,SHCI_PBE_D0,101.81,101.73,-0.20431528965380608
h_cl,HCl,107.76858554626799,-5.24,102.52858554626799,SHCI_PBE_D0,102.3,102.21,0.22858554626799332
p2,P2,116.48008062090311,-1.36,115.12008062090311,SHCI_PBE_D0,116.29,116.0,-1.1699193790968963
o2,O2,119.64815419237937,-2.87,116.77815419237936,SHCI_PBE_D0,117.95,117.99,-1.1718458076206417
s_o,SO,126.71864874569809,-2.7199999999999998,123.99864874569809,SHCI_PBE_D0,123.67,123.5,0.32864874569808933
si_h2_triplet,SiH2(3B1),133.39237383644095,-8.3,125.09237383644096,SHCI_PBE_D0,124.42,123.4,0.6723738364409542
h_f,HF,141.73327502604639,-6.44,135.2932750260464,SHCI_PBE_D0,135.37,135.27,-0.07672497395361688
