species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.03984952924903,-0.2,16.83984952924903,SHCI_PBE_D0,16.85,17.0,-0.010150470750971863
li2,Li2,24.361869328180987,-0.5,23.861869328180987,SHCI_PBE_D0,23.84,23.9,0.02186932818098697
f2,F2,38.026289027912334,-2.09,35.93628902791234,SHCI_PBE_D0,36.93,36.93,-0.993710972087662
be_h,BeH,50.52792007907623,-2.94,47.587920079076234,SHCI_PBE_D0,47.8,47.7,-0.21207992092376315
li_h,LiH,58.14827021002136,-2.01,56.13827021002136,SHCI_PBE_D0,56.02,55.7,0.11827021002135751
cl2,Cl2,60.186705003291905,-2.62,57.56670500329191,SHCI_PBE_D0,56.75,57.18,0.8167050032919079
cl_f,ClF,63.2653083052284,-2.51,60.755308305228404,SHCI_PBE_D0,59.99,60.35,0.7653083052284018
n_h,NH,83.02001091934731,-4.71,78.31001091934732,SHCI_PBE_D0,78.55,78.36,-0.239989080652677
c_h,CH,84.04187295933328,-4.12,79.92187295933327,SHCI_PBE_D0,80.16,79.97,-0.23812704066672552
na_cl,NaCl,99.59775965187823,-1.6,97.99775965187824,SHCI_PBE_D0,96.85,97.4,1.1477596518782462
o_h,OH,107.14593777902809,-5.53,101.61593777902809,SHCI_PBE_D0,101.81,101.73,-0.19406222097191517
h_cl,HCl,108.02395612725876,-5.24,102.78395612725876,SHCI_PBE_D0,102.3,102.21,0.48395612725876447
p2,P2,117.18725459517546,-1.36,115.82725459517546,SHCI_PBE_D0,116.29,116.0,-0.4627454048245454
o2,O2,119.62462022389555,-2.87,116.75462022389554,SHCI_PBE_D0,117.95,117.99,-1.1953797761044598
h_f,HF,141.66072687425273,-6.44,135.22072687425273,SHCI_PBE_D0,135.37,135.27,-0.14927312574727125
li_f,LiF,139.81564059637176,-1.9,137.91564059637176,SHCI_PBE_D0,137.34,137.6,0.5756405963717555
si_h2_singlet,SiH2(1A1),154.5071446311927,-7.8999999999999995,146.60714463119268,SHCI_PBE_D0,146.05,144.1,0.5571446311926707
n_o,NO,152.2200655900405,-2.94,149.2800655900405,SHCI_PBE_D0,150.23,149.81,-0.9499344099594964
h_o_cl,HOCl,166.8015370597712,-9.68,157.12153705977119,SHCI_PBE_D0,156.93,156.88,0.19153705977117852
c_s,CS,172.10732544837103,-2.63,169.47732544837103,SHCI_PBE_D0,169.67,170.4,-0.1926745516289543
c_h2_singlet,CH2(1A1),181.08433958259013,-10.459999999999999,170.62433958259012,SHCI_PBE_D0,171.1,170.83,-0.47566041740986975
h2_s,H2S,184.34071402883148,-10.33,174.01071402883147,SHCI_PBE_D0,173.41,173.2,0.6007140288314758
c_n,CN,180.2529022886087,-3.1900000000000004,177.0629022886087,SHCI_PBE_D0,178.58,178.12,-1.5170977113913011
si_o,SiO,193.89170973483334,-2.68,191.21170973483333,SHCI_PBE_D0,190.53,189.8,0.6817097348333334
h2_o,H2O,233.02169543396911,-13.75,219.27169543396911,SHCI_PBE_D0,219.51,219.37,-0.23830456603087669
n2,N2,227.88890640040287,-3.5,224.38890640040287,SHCI_PBE_D0,225.62,224.94,-1.2310935995971306
p_h3,PH3,242.883467976822,-14.879999999999999,228.003467976822,SHCI_PBE_D0,227.36,227.1,0.6434679768219951
h2_o2,H2O2,268.7938014333106,-17.26,251.5338014333106,SHCI_PBE_D0,252.33,252.21,-0.7961985666894122
s_o2,SO2,260.74500650569587,-6.17,254.57500650569588,SHCI_PBE_D0,255.0,254.46,-0.42499349430411826
c_o,CO,259.4874675830172,-3.55,255.93746758301717,SHCI_PBE_D0,256.47,256.23,-0.5325324169828605
n_h3,NH3,298.08311404972414,-21.6,276.4831140497241,SHCI_PBE_D0,276.97,276.59,-0.4868859502759051
h_c_n,HCN,312.875638871303,-10.26,302.615638871303,SHCI_PBE_D0,303.76,303.14,-1.1443611286969713
si_h4,SiH4,325.7854877488934,-20.4,305.3854877488934,SHCI_PBE_D0,304.27,302.6,1.115487748893429
h2_c_o,H2CO,374.47838170475256,-17.169999999999998,357.30838170475255,SHCI_PBE_D0,357.88,357.48,-0.5716182952474469
c_o2,CO2,390.0588378668348,-8.25,381.8088378668348,SHCI_PBE_D0,382.46,381.98,-0.6511621331652009
c2_h2,C2H2,405.0459734610263,-16.96,388.0859734610263,SHCI_PBE_D0,388.84,388.64,-0.754026538973676
c_h4,CH4,420.4199955479278,-28.009999999999998,392.4099955479278,SHCI_PBE_D0,392.56,392.47,-0.15000445207220992
