species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.745704281341798,-0.2,16.5457042813418,SHCI_PBE_D0,16.85,17.0,-0.30429571865820293
li2,Li2,23.902538533347123,-0.5,23.402538533347123,SHCI_PBE_D0,23.84,23.9,-0.4374614666528771
f2,F2,30.572268797739518,-2.09,28.48226879773952,SHCI_PBE_D0,36.93,36.93,-8.447731202260481
be_h,BeH,48.44729738403817,-2.94,45.507297384038175,SHCI_PBE_D0,47.8,47.7,-2.2927026159618222
li_h,LiH,56.492286984437385,-2.01,54.48228698443739,SHCI_PBE_D0,56.02,55.7,-1.5377130155626162
cl_f,ClF,57.11453010723683,-2.51,54.60453010723683,SHCI_PBE_D0,59.99,60.35,-5.385469892763169
cl_o,ClO,56.41500571950771,-2.0300000000000002,54.38500571950771,SHCI_PBE_D0,63.07,63.42,-8.68499428049229
si2,Si2,67.66257048105707,-1.74,65.92257048105708,SHCI_PBE_D0,75.03,74.4,-9.107429518942922
n_h,NH,80.7527151353082,-4.71,76.0427151353082,SHCI_PBE_D0,78.55,78.36,-2.5072848646917976
c_h,CH,81.85541741926475,-4.12,77.73541741926475,SHCI_PBE_D0,80.16,79.97,-2.4245825807352475
s2,S2,92.52146048787381,-2.44,90.08146048787381,SHCI_PBE_D0,101.51,100.8,-11.428539512126193
o_h,OH,105.71712823404724,-5.53,100.18712823404724,SHCI_PBE_D0,101.81,101.73,-1.622871765952766
h_cl,HCl,105.82959693402385,-5.24,100.58959693402386,SHCI_PBE_D0,102.3,102.21,-1.7104030659761378
p2,P2,101.65822271838438,-1.36,100.29822271838438,SHCI_PBE_D0,116.29,116.0,-15.991777281615626
o2,O2,114.17320232741949,-2.87,111.30320232741948,SHCI_PBE_D0,117.95,117.99,-6.646797672580519
s_o,SO,115.9138299564528,-2.7199999999999998,113.1938299564528,SHCI_PBE_D0,123.67,123.5,-10.4761700435472
si_h2_triplet,SiH2(3B1),129.8344630011994,-8.3,121.5344630011994,SHCI_PBE_D0,124.42,123.4,-2.885536998800603
h_f,HF,139.95967254976853,-6.44,133.51967254976853,SHCI_PBE_D0,135.37,135.27,-1.8503274502314753
li_f,LiF,136.30885273335923,-1.9,134.40885273335923,SHCI_PBE_D0,137.34,137.6,-2.931147266640778
p_h2,PH2,148.96727944502592,-8.6,140.36727944502593,SHCI_PBE_D0,145.96,144.7,-5.592720554974079
si_h2_singlet,SiH2(1A1),150.28364468821584,-7.8999999999999995,142.38364468821584,SHCI_PBE_D0,146.05,144.1,-3.666355311784173
n_o,NO,144.68725915771282,-2.94,141.74725915771282,SHCI_PBE_D0,150.23,149.81,-8.482740842287171
h_o_cl,HOCl,158.8513428313198,-9.68,149.1713428313198,SHCI_PBE_D0,156.93,156.88,-7.758657168680202
c_s,CS,163.66433973302776,-2.63,161.03433973302776,SHCI_PBE_D0,169.67,170.4,-8.635660266972224
