species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.112947776534817,-0.2,16.912947776534818,SHCI_PBE_D0,16.85,17.0,0.06294777653481631
li2,Li2,24.381091129364773,-0.5,23.881091129364773,SHCI_PBE_D0,23.84,23.9,0.04109112936477288
f2,F2,37.43488751324549,-2.09,35.344887513245496,SHCI_PBE_D0,36.93,36.93,-1.585112486754504
be_h,BeH,50.47956726627043,-2.94,47.53956726627043,SHCI_PBE_D0,47.8,47.7,-0.26043273372956577
li_h,LiH,58.18265302350671,-2.01,56.17265302350671,SHCI_PBE_D0,56.02,55.7,0.1526530235067085
cl2,Cl2,59.234198781107196,-2.62,56.6141987811072,SHCI_PBE_D0,56.75,57.18,-0.1358012188928015
cl_f,ClF,62.784936987785535,-2.51,60.27493698778554,SHCI_PBE_D0,59.99,60.35,0.2849369877855352
cl_o,ClO,64.82188784162946,-2.0300000000000002,62.79188784162946,SHCI_PBE_D0,63.07,63.42,-0.27811215837053993
si2,Si2,76.13280367677682,-1.74,74.39280367677682,SHCI_PBE_D0,75.03,74.4,-0.6371963232231792
n_h,NH,83.06920490107169,-4.71,78.35920490107169,SHCI_PBE_D0,78.55,78.36,-0.19079509892830515
c_h,CH,84.08785826549327,-4.12,79.96785826549326,SHCI_PBE_D0,80.16,79.97,-0.192141734506734
na_cl,NaCl,98.64193225107347,-1.6,97.04193225107348,SHCI_PBE_D0,96.85,97.4,0.19193225107348155
s2,S2,103.8465853720816,-2.44,101.40658537208161,SHCI_PBE_D0,101.51,100.8,-0.10341462791839717
o_h,OH,107.28635707315428,-5.53,101.75635707315428,SHCI_PBE_D0,101.81,101.73,-0.05364292684572547
h_cl,HCl,107.8811689687857,-5.24,102.6411689687857,SHCI_PBE_D0,102.3,102.21,0.3411689687857091
p2,P2,116.57510036140674,-1.36,115.21510036140674,SHCI_PBE_D0,116.29,116.0,-1.0748996385932656
o2,O2,119.4833642782684,-2.87,116.61336427826839,SHCI_PBE_D0,117.95,117.99,-1.3366357217316107
s_o,SO,126.9236533681032,-2.7199999999999998,124.2036533681032,SHCI_PBE_D0,123.67,123.5,0.5336533681032023
si_h2_triplet,SiH2(3B1),133.90835551136215,-8.3,125.60835551136215,SHCI_PBE_D0,124.42,123.4,1.188355511362147
h_f,HF,141.5299346635504,-6.44,135.0899346635504,SHCI_PBE_D0,135.37,135.27,-0.28006533644960996
li_f,LiF,139.6522121971176,-1.9,137.7522121971176,SHCI_PBE_D0,137.34,137.6,0.41221219711758295
p_h2,PH2,155.2269672775114,-8.6,146.6269672775114,SHCI_PBE_D0,145.96,144.7,0.6669672775113895
si_h2_singlet,SiH2(1A1),154.99122699317792,-7.8999999999999995,147.0912269931779,SHCI_PBE_D0,146.05,144.1,1.0412269931779008
n_o,NO,152.20975937881138,-2.94,149.2697593788114,SHCI_PBE_D0,150.23,149.81,-0.9602406211886034
h_o_cl,HOCl,166.90107039423017,-9.68,157.22107039423017,SHCI_PBE_D0,156.93,156.88,0.2910703942301609
c_s,CS,172.07644933542022,-2.63,169.44644933542023,SHCI_PBE_D0,169.67,170.4,-0.22355066457976136
c_h2_singlet,CH2(1A1),181.16696881590576,-10.459999999999999,170.70696881590575,SHCI_PBE_D0,171.1,170.83,-0.39303118409424087
n_h2,NH2,182.64060275318218,-11.76,170.8806027531822,SHCI_PBE_D0,171.1,170.59,-0.21939724681780604
h2_s,H2S,184.63240595066623,-10.33,174.3024059506662,SHCI_PBE_D0,173.41,173.2,0.8924059506662161
c_n,CN,180.26793841900277,-3.1900000000000004,177.07793841900278,SHCI_PBE_D0,178.58,178.12,-1.5020615809972355
c_h2_triplet,CH2(3B1),190.75549166552307,-10.780000000000001,179.97549166552307,SHCI_PBE_D0,179.95,179.83,0.025491665523077245
si_o,SiO,194.3443292154237,-2.68,191.6643292154237,SHCI_PBE_D0,190.53,189.8,1.1343292154236906
si_h3,SiH3,229.46754925521373,-14.0,215.46754925521373,SHCI_PBE_D0,214.02,212.2,1.4475492552137155
h2_o,H2O,233.17847939455322,-13.75,219.42847939455322,SHCI_PBE_D0,219.51,219.37,-0.08152060544676942
n2,N2,227.9601956872374,-3.5,224.4601956872374,SHCI_PBE_D0,225.62,224.94,-1.159804312762617
p_h3,PH3,243.24526614128587,-14.879999999999999,228.36526614128587,SHCI_PBE_D0,227.36,227.1,1.0052661412858583
h2_o2,H2O2,268.9547136325324,-17.26,251.6947136325324,SHCI_PBE_D0,252.33,252.21,-0.6352863674676144
s_o2,SO2,260.63428661122913,-6.17,254.46428661122914,SHCI_PBE_D0,255.0,254.46,-0.5357133887708585
c_o,CO,259.57405300942816,-3.55,256.02405300942814,SHCI_PBE_D0,256.47,256.23,-0.44594699057188336
h_c_o,HCO,279.2946259159928,-8.68,270.6146259159928,SHCI_PBE_D0,270.92,270.76,-0.30537408400721233
n_h3,NH3,298.34143800719374,-21.6,276.7414380071937,SHCI_PBE_D0,276.97,276.59,-0.22856199280630562
c_h3,CH3,307.95844965829343,-18.8,289.1584496582934,SHCI_PBE_D0,289.18,289.11,-0.021550341706586096
h_c_n,HCN,313.1163927366977,-10.26,302.8563927366977,SHCI_PBE_D0,303.76,303.14,-0.9036072633022627
si_h4,SiH4,326.8907583537622,-20.4,306.4907583537622,SHCI_PBE_D0,304.27,302.6,2.2207583537622213
h2_c_o,H2CO,374.70646444201907,-17.169999999999998,357.53646444201905,SHCI_PBE_D0,357.88,357.48,-0.3435355579809425
c_h3_cl,CH3Cl,397.2647505529289,-24.59,372.6747505529289,SHCI_PBE_D0,371.53,371.35,1.1447505529289401
c_o2,CO2,390.1523862149316,-8.25,381.9023862149316,SHCI_PBE_D0,382.46,381.98,-0.5576137850683835
c2_h2,C2H2,405.15307102129293,-16.96,388.19307102129295,SHCI_PBE_D0,388.84,388.64,-0.6469289787070238
c_h4,CH4,420.6364408822859,-28.009999999999998,392.6264408822859,SHCI_PBE_D0,392.56,392.47,0.06644088228591727
