species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
,Na2,16.85,0.0,16.85,SHCI_PBE_D0,16.85,17.0,0.0
,Li2,23.84,0.0,23.84,SHCI_PBE_D0,23.84,23.9,0.0
,F2,36.93,0.0,36.93,SHCI_PBE_D0,36.93,36.93,0.0
,BeH,47.8,0.0,47.8,SHCI_PBE_D0,47.8,47.7,0.0
,LiH,56.02,0.0,56.02,SHCI_PBE_D0,56.02,55.7,0.0
,Cl2,56.75,0.0,56.75,SHCI_PBE_D0,56.75,57.18,0.0
,ClF,59.99,0.0,59.99,SHCI_PBE_D0,59.99,60.35,0.0
,ClO,63.07,0.0,63.07,SHCI_PBE_D0,63.07,63.42,0.0
,Si2,75.03,0.0,75.03,SHCI_PBE_D0,75.03,74.4,0.0
,NH,78.55,0.0,78.55,SHCI_PBE_D0,78.55,78.36,0.0
,CH,80.16,0.0,80.16,SHCI_PBE_D0,80.16,79.97,0.0
,NaCl,96.85,0.0,96.85,SHCI_PBE_D0,96.85,97.4,0.0
,S2,101.51,0.0,101.51,SHCI_PBE_D0,101.51,100.8,0.0
,OH,101.81,0.0,101.81,SHCI_PBE_D0,101.81,101.73,0.0
,HCl,102.3,0.0,102.3,SHCI_PBE_D0,102.3,102.21,0.0
,P2,116.29,0.0,116.29,SHCI_PBE_D0,116.29,116.0,0.0
,O2,117.95,0.0,117.95,SHCI_PBE_D0,117.95,117.99,0.0
,SO,123.67,0.0,123.67,SHCI_PBE_D0,123.67,123.5,0.0
,SiH2(3B1),124.42,0.0,124.42,SHCI_PBE_D0,124.42,123.4,0.0
,HF,135.37,0.0,135.37,SHCI_PBE_D0,135.37,135.27,0.0
,LiF,137.34,0.0,137.34,SHCI_PBE_D0,137.34,137.6,0.0
,PH2,145.96,0.0,145.96,SHCI_PBE_D0,145.96,144.7,0.0
,SiH2(1A1),146.05,0.0,146.05,SHCI_PBE_D0,146.05,144.1,0.0
,NO,150.23,0.0,150.23,SHCI_PBE_D0,150.23,149.81,0.0
,HOCl,156.93,0.0,156.93,SHCI_PBE_D0,156.93,156.88,0.0
,CS,169.67,0.0,169.67,SHCI_PBE_D0,169.67,170.4,0.0
,NH2,171.1,0.0,171.1,SHCI_PBE_D0,171.1,170.59,0.0
,CH2(1A1),171.1,0.0,171.1,SHCI_PBE_D0,171.1,170.83,0.0
,H2S,173.41,0.0,173.41,SHCI_PBE_D0,173.41,173.2,0.0
,CN,178.58,0.0,178.58,SHCI_PBE_D0,178.58,178.12,0.0
,CH2(3B1),179.95,0.0,179.95,SHCI_PBE_D0,179.95,179.83,0.0
,SiO,190.53,0.0,190.53,SHCI_PBE_D0,190.53,189.8,0.0
,SiH3,214.02,0.0,214.02,SHCI_PBE_D0,214.02,212.2,0.0
,H2O,219.51,0.0,219.51,SHCI_PBE_D0,219.51,219.37,0.0
,N2,225.62,0.0,225.62,SHCI_PBE_D0,225.62,224.94,0.0
,PH3,227.36,0.0,227.36,SHCI_PBE_D0,227.36,227.1,0.0
,H2O2,252.33,0.0,252.33,SHCI_PBE_D0,252.33,252.21,0.0
,SO2,255.0,0.0,255.0,SHCI_PBE_D0,255.0,254.46,0.0
,CO,256.47,0.0,256.47,SHCI_PBE_D0,256.47,256.23,0.0
,HCO,270.92,0.0,270.92,SHCI_PBE_D0,270.92,270.76,0.0
,NH3,276.97,0.0,276.97,SHCI_PBE_D0,276.97,276.59,0.0
,CH3,289.18,0.0,289.18,SHCI_PBE_D0,289.18,289.11,0.0
,HCN,303.76,0.0,303.76,SHCI_PBE_D0,303.76,303.14,0.0
,SiH4,304.27,0.0,304.27,SHCI_PBE_D0,304.27,302.6,0.0
,H2CO,357.88,0.0,357.88,SHCI_PBE_D0,357.88,357.48,0.0
,CH3Cl,371.53,0.0,371.53,SHCI_PBE_D0,371.53,371.35,0.0
,CO2,382.46,0.0,382.46,SHCI_PBE_D0,382.46,381.98,0.0
,C2H2,388.84,0.0,388.84,SHCI_PBE_D0,388.84,388.64,0.0
,CH4,392.56,0.0,392.56,SHCI_PBE_D0,392.56,392.47,0.0
,N2H4,406.6,0.0,406.6,SHCI_PBE_D0,406.6,404.81,0.0
,H3CSH,445.91,0.0,445.91,SHCI_PBE_D0,445.91,445.1,0.0
,H3COH,481.52,0.0,481.52,SHCI_PBE_D0,481.52,480.97,0.0
,Si2H6,503.34,0.0,503.34,SHCI_PBE_D0,503.34,500.1,0.0
,C2H4,532.09,0.0,532.09,SHCI_PBE_D0,532.09,532.04,0.0
,C2H6,666.97,0.0,666.97,SHCI_PBE_D0,666.97,666.19,0.0
