species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.877292336563276,-0.2,16.677292336563276,SHCI_PBE_D0,16.85,17.0,-0.17270766343672506
li2,Li2,24.37867749512184,-0.5,23.87867749512184,SHCI_PBE_D0,23.84,23.9,0.03867749512183849
f2,F2,36.84423658334092,-2.09,34.754236583340926,SHCI_PBE_D0,36.93,36.93,-2.1757634166590734
be_h,BeH,47.54020106882586,-2.94,44.60020106882586,SHCI_PBE_D0,47.8,47.7,-3.1997989311741364
li_h,LiH,57.94221459583612,-2.01,55.93221459583612,SHCI_PBE_D0,56.02,55.7,-0.08778540416388125
cl2,Cl2,55.59954136162455,-2.62,52.979541361624555,SHCI_PBE_D0,56.75,57.18,-3.7704586383754446
cl_f,ClF,60.57007640064391,-2.51,58.060076400643915,SHCI_PBE_D0,59.99,60.35,-1.929923599356087
cl_o,ClO,61.672988556963304,-2.0300000000000002,59.6429885569633,SHCI_PBE_D0,63.07,63.42,-3.4270114430366974
si2,Si2,68.64158135366317,-1.74,66.90158135366318,SHCI_PBE_D0,75.03,74.4,-8.128418646336826
n_h,NH,81.58279805488597,-4.71,76.87279805488598,SHCI_PBE_D0,78.55,78.36,-1.677201945114021
c_h,CH,82.77328700412066,-4.12,78.65328700412066,SHCI_PBE_D0,80.16,79.97,-1.5067129958793402
na_cl,NaCl,94.41496646285638,-1.6,92.81496646285639,SHCI_PBE_D0,96.85,97.4,-4.035033537143605
s2,S2,96.97596086625585,-2.44,94.53596086625585,SHCI_PBE_D0,101.51,100.8,-6.9740391337441565
o_h,OH,106.6248450914947,-5.53,101.0948450914947,SHCI_PBE_D0,101.81,101.73,-0.7151549085052977
h_cl,HCl,106.97493935647601,-5.24,101.73493935647602,SHCI_PBE_D0,102.3,102.21,-0.565060643523978
p2,P2,105.30804128893631,-1.36,103.94804128893631,SHCI_PBE_D0,116.29,116.0,-12.341958711063697
o2,O2,118.0031120989959,-2.87,115.1331120989959,SHCI_PBE_D0,117.95,117.99,-2.816887901004108
s_o,SO,124.16745428012183,-2.7199999999999998,121.44745428012183,SHCI_PBE_D0,123.67,123.5,-2.2225457198781697
si_h2_triplet,SiH2(3B1),130.2551141296304,-8.3,121.95511412963042,SHCI_PBE_D0,124.42,123.4,-2.464885870369585
h_f,HF,141.6776775385447,-6.44,135.23767753854472,SHCI_PBE_D0,135.37,135.27,-0.13232246145528848
li_f,LiF,136.3553523167743,-1.9,134.45535231677428,SHCI_PBE_D0,137.34,137.6,-2.8846476832257224
p_h2,PH2,150.42048179558054,-8.6,141.82048179558055,SHCI_PBE_D0,145.96,144.7,-4.13951820441946
si_h2_singlet,SiH2(1A1),151.0345693622042,-7.8999999999999995,143.1345693622042,SHCI_PBE_D0,146.05,144.1,-2.915430637795822
n_o,NO,150.10723210766832,-2.94,147.16723210766833,SHCI_PBE_D0,150.23,149.81,-3.0627678923316637
h_o_cl,HOCl,162.91864116691517,-9.68,153.23864116691516,SHCI_PBE_D0,156.93,156.88,-3.6913588330848484
c_h2_singlet,CH2(1A1),179.31950560618256,-10.459999999999999,168.85950560618255,SHCI_PBE_D0,171.1,170.83,-2.2404943938174426
n_h2,NH2,180.18274030872752,-11.76,168.42274030872753,SHCI_PBE_D0,171.1,170.59,-2.677259691272468
h2_s,H2S,182.02979433208807,-10.33,171.69979433208806,SHCI_PBE_D0,173.41,173.2,-1.7102056679119357
c_n,CN,177.19039358052078,-3.1900000000000004,174.00039358052078,SHCI_PBE_D0,178.58,178.12,-4.579606419479234
c_h2_triplet,CH2(3B1),189.16915274834003,-10.780000000000001,178.38915274834002,SHCI_PBE_D0,179.95,179.83,-1.5608472516599647
si_o,SiO,189.86258633399115,-2.68,187.18258633399114,SHCI_PBE_D0,190.53,189.8,-3.347413666008862
si_h3,SiH3,224.86841218627475,-14.0,210.86841218627475,SHCI_PBE_D0,214.02,212.2,-3.151587813725257
h2_o,H2O,232.634831879864,-13.75,218.884831879864,SHCI_PBE_D0,219.51,219.37,-0.6251681201359816
n2,N2,225.9829030238533,-3.5,222.4829030238533,SHCI_PBE_D0,225.62,224.94,-3.137096976146694
p_h3,PH3,237.51747724100383,-14.879999999999999,222.63747724100384,SHCI_PBE_D0,227.36,227.1,-4.722522758996178
h2_o2,H2O2,266.81256483273705,-17.26,249.55256483273706,SHCI_PBE_D0,252.33,252.21,-2.7774351672629507
s_o2,SO2,257.2441534628385,-6.17,251.0741534628385,SHCI_PBE_D0,255.0,254.46,-3.9258465371615046
c_o,CO,258.4623299517326,-3.55,254.9123299517326,SHCI_PBE_D0,256.47,256.23,-1.5576700482674255
h_c_o,HCO,276.96501582446473,-8.68,268.2850158244647,SHCI_PBE_D0,270.92,270.76,-2.634984175535294
n_h3,NH3,295.7418468282743,-21.6,274.14184682827425,SHCI_PBE_D0,276.97,276.59,-2.8281531717257735
c_h3,CH3,306.22320366912004,-18.8,287.42320366912,SHCI_PBE_D0,289.18,289.11,-1.756796330879979
h_c_n,HCN,309.77075346261074,-10.26,299.51075346261075,SHCI_PBE_D0,303.76,303.14,-4.24924653738924
si_h4,SiH4,321.2240692534595,-20.4,300.8240692534595,SHCI_PBE_D0,304.27,302.6,-3.445930746540455
h2_c_o,H2CO,372.2472965212133,-17.169999999999998,355.07729652121327,SHCI_PBE_D0,357.88,357.48,-2.802703478786725
c_h3_cl,CH3Cl,392.60097535951735,-24.59,368.0109753595174,SHCI_PBE_D0,371.53,371.35,-3.5190246404825984
c_o2,CO2,386.3673306756187,-8.25,378.1173306756187,SHCI_PBE_D0,382.46,381.98,-4.342669324381291
c_h4,CH4,419.2424972238934,-28.009999999999998,391.2324972238934,SHCI_PBE_D0,392.56,392.47,-1.3275027761065985
n2_h4,N2H4,433.85570787114057,-33.19,400.66570787114057,SHCI_PBE_D0,406.6,404.81,-5.934292128859454
h3_c_s_h,H3CSH,470.71341378220853,-29.8,440.9134137822085,SHCI_PBE_D0,445.91,445.1,-4.996586217791503
h3_c_o_h,H3COH,511.6576634501841,-32.519999999999996,479.1376634501841,SHCI_PBE_D0,481.52,480.97,-2.382336549815875
si2_h6,Si2H6,526.5776291169262,-32.5,494.07762911692623,SHCI_PBE_D0,503.34,500.1,-9.262370883073743
c2_h4,C2H4,561.028020319642,-32.16,528.868020319642,SHCI_PBE_D0,532.09,532.04,-3.221979680358004
c2_h6,C2H6,710.4297588989676,-46.79,663.6397588989677,SHCI_PBE_D0,666.97,666.19,-3.3302411010323567
