species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.040320352739617,-0.2,16.840320352739617,SHCI_PBE_D0,16.85,17.0,-0.009679647260384172
li2,Li2,24.361869296178504,-0.5,23.861869296178504,SHCI_PBE_D0,23.84,23.9,0.021869296178504527
f2,F2,37.60758661444902,-2.09,35.517586614449016,SHCI_PBE_D0,36.93,36.93,-1.412413385550984
be_h,BeH,50.53688046946126,-2.94,47.59688046946126,SHCI_PBE_D0,47.8,47.7,-0.20311953053873566
li_h,LiH,58.18360457008853,-2.01,56.17360457008853,SHCI_PBE_D0,56.02,55.7,0.15360457008852535
cl2,Cl2,59.777185212050675,-2.62,57.15718521205068,SHCI_PBE_D0,56.75,57.18,0.4071852120506776
cl_f,ClF,63.050384491210394,-2.51,60.540384491210396,SHCI_PBE_D0,59.99,60.35,0.5503844912103943
cl_o,ClO,65.03971468010208,-2.0300000000000002,63.00971468010208,SHCI_PBE_D0,63.07,63.42,-0.06028531989792185
si2,Si2,76.09045694225094,-1.74,74.35045694225094,SHCI_PBE_D0,75.03,74.4,-0.6795430577490578
n_h,NH,83.14678969239532,-4.71,78.43678969239532,SHCI_PBE_D0,78.55,78.36,-0.11321030760467465
c_h,CH,84.1426190738945,-4.12,80.02261907389449,SHCI_PBE_D0,80.16,79.97,-0.13738092610550723
na_cl,NaCl,98.94328299147125,-1.6,97.34328299147126,SHCI_PBE_D0,96.85,97.4,0.4932829914712613
s2,S2,103.64227074904333,-2.44,101.20227074904334,SHCI_PBE_D0,101.51,100.8,-0.3077292509566689
o_h,OH,107.27580075926726,-5.53,101.74580075926725,SHCI_PBE_D0,101.81,101.73,-0.06419924073274785
h_cl,HCl,108.00150048740981,-5.24,102.76150048740982,SHCI_PBE_D0,102.3,102.21,0.46150048740982186
p2,P2,116.49863864315793,-1.36,115.13863864315793,SHCI_PBE_D0,116.29,116.0,-1.1513613568420737
o2,O2,119.64938251957155,-2.87,116.77938251957154,SHCI_PBE_D0,117.95,117.99,-1.1706174804284615
s_o,SO,126.98424874012424,-2.7199999999999998,124.26424874012424,SHCI_PBE_D0,123.67,123.5,0.5942487401242431
si_h2_triplet,SiH2(3B1),133.86916645661705,-8.3,125.56916645661705,SHCI_PBE_D0,124.42,123.4,1.1491664566170527
h_f,HF,141.58204272208326,-6.44,135.14204272208326,SHCI_PBE_D0,135.37,135.27,-0.2279572779167438
li_f,LiF,139.5619925684026,-1.9,137.66199256840258,SHCI_PBE_D0,137.34,137.6,0.32199256840257817
p_h2,PH2,155.1164586460074,-8.6,146.5164586460074,SHCI_PBE_D0,145.96,144.7,0.5564586460073997
si_h2_singlet,SiH2(1A1),154.92042026052016,-7.8999999999999995,147.02042026052015,SHCI_PBE_D0,146.05,144.1,0.9704202605201431
n_o,NO,152.40595376194287,-2.94,149.46595376194287,SHCI_PBE_D0,150.23,149.81,-0.7640462380571194
h_o_cl,HOCl,167.09998360588813,-9.68,157.41998360588812,SHCI_PBE_D0,156.93,156.88,0.4899836058881135
c_s,CS,172.10760641825982,-2.63,169.47760641825982,SHCI_PBE_D0,169.67,170.4,-0.19239358174016274
c_h2_singlet,CH2(1A1),181.29622215311431,-10.459999999999999,170.8362221531143,SHCI_PBE_D0,171.1,170.83,-0.26377784688568795
n_h2,NH2,182.78312740685425,-11.76,171.02312740685426,SHCI_PBE_D0,171.1,170.59,-0.0768725931457368
h2_s,H2S,184.51586170526684,-10.33,174.18586170526683,SHCI_PBE_D0,173.41,173.2,0.7758617052668342
c_n,CN,180.45470476342564,-3.1900000000000004,177.26470476342564,SHCI_PBE_D0,178.58,178.12,-1.3152952365743715
c_h2_triplet,CH2(3B1),190.83053098725532,-10.780000000000001,180.0505309872553,SHCI_PBE_D0,179.95,179.83,0.1005309872553255
si_o,SiO,194.14861928026693,-2.68,191.46861928026692,SHCI_PBE_D0,190.53,189.8,0.93861928026692
si_h3,SiH3,229.49848972555043,-14.0,215.49848972555043,SHCI_PBE_D0,214.02,212.2,1.4784897255504177
h2_o,H2O,233.2631476477519,-13.75,219.5131476477519,SHCI_PBE_D0,219.51,219.37,0.003147647751916338
n2,N2,228.2324808595161,-3.5,224.7324808595161,SHCI_PBE_D0,225.62,224.94,-0.8875191404839029
p_h3,PH3,243.229187772864,-14.879999999999999,228.349187772864,SHCI_PBE_D0,227.36,227.1,0.9891877728639997
h2_o2,H2O2,269.07273322863233,-17.26,251.81273322863234,SHCI_PBE_D0,252.33,252.21,-0.5172667713676731
s_o2,SO2,261.20210564144094,-6.17,255.03210564144095,SHCI_PBE_D0,255.0,254.46,0.03210564144094974
c_o,CO,259.7146389594013,-3.55,256.1646389594013,SHCI_PBE_D0,256.47,256.23,-0.3053610405987115
h_c_o,HCO,279.32604593533586,-8.68,270.64604593533585,SHCI_PBE_D0,270.92,270.76,-0.27395406466416716
n_h3,NH3,298.46210812486174,-21.6,276.8621081248617,SHCI_PBE_D0,276.97,276.59,-0.10789187513830711
h_c_n,HCN,313.1988540503413,-10.26,302.9388540503413,SHCI_PBE_D0,303.76,303.14,-0.8211459496586713
si_h4,SiH4,326.74794365265154,-20.4,306.34794365265157,SHCI_PBE_D0,304.27,302.6,2.0779436526515838
h2_c_o,H2CO,374.8247412159588,-17.169999999999998,357.6547412159588,SHCI_PBE_D0,357.88,357.48,-0.22525878404121613
c_o2,CO2,390.3837632156566,-8.25,382.1337632156566,SHCI_PBE_D0,382.46,381.98,-0.32623678434339354
c2_h2,C2H2,405.3190979862214,-16.96,388.3590979862214,SHCI_PBE_D0,388.84,388.64,-0.4809020137785751
c_h4,CH4,420.75985902207606,-28.009999999999998,392.74985902207607,SHCI_PBE_D0,392.56,392.47,0.18985902207606387
