species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.933443203326306,-0.2,16.733443203326306,SHCI_PBE_D0,16.85,17.0,-0.11655679667369512
li2,Li2,24.42604457274694,-0.5,23.92604457274694,SHCI_PBE_D0,23.84,23.9,0.086044572746939
f2,F2,37.85259027834053,-2.09,35.762590278340525,SHCI_PBE_D0,36.93,36.93,-1.1674097216594745
be_h,BeH,49.57318824333399,-2.94,46.63318824333399,SHCI_PBE_D0,47.8,47.7,-1.1668117566660072
li_h,LiH,58.33100837536388,-2.01,56.32100837536388,SHCI_PBE_D0,56.02,55.7,0.30100837536387814
cl2,Cl2,58.284288449487796,-2.62,55.6642884494878,SHCI_PBE_D0,56.75,57.18,-1.085711550512201
cl_f,ClF,62.68223741055043,-2.51,60.17223741055043,SHCI_PBE_D0,59.99,60.35,0.18223741055042808
cl_o,ClO,64.75327224151557,-2.0300000000000002,62.72327224151557,SHCI_PBE_D0,63.07,63.42,-0.34672775848442683
si2,Si2,74.2482988432721,-1.74,72.5082988432721,SHCI_PBE_D0,75.03,74.4,-2.5217011567279
n_h,NH,83.04593006827967,-4.71,78.33593006827968,SHCI_PBE_D0,78.55,78.36,-0.21406993172031719
c_h,CH,84.05387619210686,-4.12,79.93387619210685,SHCI_PBE_D0,80.16,79.97,-0.22612380789314557
na_cl,NaCl,96.7718472947416,-1.6,95.17184729474161,SHCI_PBE_D0,96.85,97.4,-1.678152705258384
s2,S2,101.89024751853584,-2.44,99.45024751853585,SHCI_PBE_D0,101.51,100.8,-2.059752481464159
o_h,OH,107.39958326367926,-5.53,101.86958326367926,SHCI_PBE_D0,101.81,101.73,0.059583263679257925
h_cl,HCl,107.87507987475531,-5.24,102.63507987475532,SHCI_PBE_D0,102.3,102.21,0.33507987475532275
p2,P2,112.59925621350628,-1.36,111.23925621350628,SHCI_PBE_D0,116.29,116.0,-5.050743786493726
o2,O2,119.96461398468495,-2.87,117.09461398468494,SHCI_PBE_D0,117.95,117.99,-0.8553860153150623
s_o,SO,126.44186144583705,-2.7199999999999998,123.72186144583705,SHCI_PBE_D0,123.67,123.5,0.05186144583704788
si_h2_triplet,SiH2(3B1),132.65110348102272,-8.3,124.35110348102272,SHCI_PBE_D0,124.42,123.4,-0.068896518977283
h_f,HF,141.97390876917248,-6.44,135.53390876917248,SHCI_PBE_D0,135.37,135.27,0.16390876917247965
li_f,LiF,139.27651682946995,-1.9,137.37651682946995,SHCI_PBE_D0,137.34,137.6,0.03651682946994583
p_h2,PH2,154.05611651838072,-8.6,145.45611651838072,SHCI_PBE_D0,145.96,144.7,-0.5038834816192832
si_h2_singlet,SiH2(1A1),153.70165506669616,-7.8999999999999995,145.80165506669616,SHCI_PBE_D0,146.05,144.1,-0.248344933303855
n_o,NO,152.62827319931444,-2.94,149.68827319931444,SHCI_PBE_D0,150.23,149.81,-0.5417268006855522
h_o_cl,HOCl,166.62501919183086,-9.68,156.94501919183085,SHCI_PBE_D0,156.93,156.88,0.015019191830845102
c_s,CS,171.11181666901163,-2.63,168.48181666901164,SHCI_PBE_D0,169.67,170.4,-1.1881833309883518
c_h2_singlet,CH2(1A1),181.29407688773466,-10.459999999999999,170.83407688773465,SHCI_PBE_D0,171.1,170.83,-0.26592311226534093
n_h2,NH2,182.64416185074987,-11.76,170.88416185074988,SHCI_PBE_D0,171.1,170.59,-0.2158381492501178
h2_s,H2S,184.63981607703286,-10.33,174.30981607703285,SHCI_PBE_D0,173.41,173.2,0.8998160770328525
c_n,CN,180.2263156120504,-3.1900000000000004,177.0363156120504,SHCI_PBE_D0,178.58,178.12,-1.543684387949611
c_h2_triplet,CH2(3B1),190.82612361234737,-10.780000000000001,180.04612361234737,SHCI_PBE_D0,179.95,179.83,0.09612361234738387
si_o,SiO,192.68467631883573,-2.68,190.00467631883572,SHCI_PBE_D0,190.53,189.8,-0.5253236811642807
si_h3,SiH3,228.08842674373355,-14.0,214.08842674373355,SHCI_PBE_D0,214.02,212.2,0.0684267437335393
h2_o,H2O,233.60758437203532,-13.75,219.85758437203532,SHCI_PBE_D0,219.51,219.37,0.3475843720353282
n2,N2,228.51781616123048,-3.5,225.01781616123048,SHCI_PBE_D0,225.62,224.94,-0.6021838387695198
p_h3,PH3,242.0270516165509,-14.879999999999999,227.1470516165509,SHCI_PBE_D0,227.36,227.1,-0.21294838344911682
