species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.545764495136677,-0.2,17.345764495136677,SHCI_PBE_D0,16.85,17.0,0.495764495136676
li2,Li2,24.125473047340847,-0.5,23.625473047340847,SHCI_PBE_D0,23.84,23.9,-0.21452695265915267
f2,F2,36.563373251137826,-2.09,34.47337325113783,SHCI_PBE_D0,36.93,36.93,-2.4566267488621705
be_h,BeH,49.47313689659559,-2.94,46.53313689659559,SHCI_PBE_D0,47.8,47.7,-1.266863103404404
li_h,LiH,57.60391535471754,-2.01,55.593915354717545,SHCI_PBE_D0,56.02,55.7,-0.42608464528245804
cl2,Cl2,55.13439222296956,-2.62,52.51439222296956,SHCI_PBE_D0,56.75,57.18,-4.235607777030438
cl_f,ClF,61.86824039321849,-2.51,59.358240393218495,SHCI_PBE_D0,59.99,60.35,-0.6317596067815074
cl_o,ClO,62.08927255456779,-2.0300000000000002,60.05927255456779,SHCI_PBE_D0,63.07,63.42,-3.0107274454322095
si2,Si2,68.16753676367064,-1.74,66.42753676367064,SHCI_PBE_D0,75.03,74.4,-8.602463236329356
n_h,NH,81.94533444469698,-4.71,77.23533444469699,SHCI_PBE_D0,78.55,78.36,-1.3146655553030087
c_h,CH,83.32142433844409,-4.12,79.20142433844408,SHCI_PBE_D0,80.16,79.97,-0.958575661555912
na_cl,NaCl,95.46908076353671,-1.6,93.86908076353672,SHCI_PBE_D0,96.85,97.4,-2.9809192364632793
s2,S2,96.46429622869383,-2.44,94.02429622869383,SHCI_PBE_D0,101.51,100.8,-7.485703771306177
o_h,OH,106.74362733185608,-5.53,101.21362733185607,SHCI_PBE_D0,101.81,101.73,-0.5963726681439283
h_cl,HCl,107.1392664296195,-5.24,101.8992664296195,SHCI_PBE_D0,102.3,102.21,-0.4007335703804955
p2,P2,104.8105564840995,-1.36,103.4505564840995,SHCI_PBE_D0,116.29,116.0,-12.839443515900513
o2,O2,117.96175958045507,-2.87,115.09175958045506,SHCI_PBE_D0,117.95,117.99,-2.8582404195449413
s_o,SO,124.5773979590539,-2.7199999999999998,121.8573979590539,SHCI_PBE_D0,123.67,123.5,-1.8126020409461034
si_h2_triplet,SiH2(3B1),131.25601406063453,-8.3,122.95601406063453,SHCI_PBE_D0,124.42,123.4,-1.4639859393654717
h_f,HF,142.17180025167096,-6.44,135.73180025167096,SHCI_PBE_D0,135.37,135.27,0.36180025167095664
li_f,LiF,138.0177918361118,-1.9,136.1177918361118,SHCI_PBE_D0,137.34,137.6,-1.2222081638882116
p_h2,PH2,150.78732933045464,-8.6,142.18732933045465,SHCI_PBE_D0,145.96,144.7,-3.772670669545363
si_h2_singlet,SiH2(1A1),151.84467082326316,-7.8999999999999995,143.94467082326315,SHCI_PBE_D0,146.05,144.1,-2.105329176736859
n_o,NO,150.17235804101185,-2.94,147.23235804101185,SHCI_PBE_D0,150.23,149.81,-2.9976419589881402
h_o_cl,HOCl,164.26144170059604,-9.68,154.58144170059603,SHCI_PBE_D0,156.93,156.88,-2.348558299403976
c_s,CS,167.1635941057172,-2.63,164.5335941057172,SHCI_PBE_D0,169.67,170.4,-5.136405894282774
c_h2_singlet,CH2(1A1),180.06379146272437,-10.459999999999999,169.60379146272436,SHCI_PBE_D0,171.1,170.83,-1.4962085372756349
n_h2,NH2,180.86773711170508,-11.76,169.1077371117051,SHCI_PBE_D0,171.1,170.59,-1.9922628882949027
h2_s,H2S,182.07298382814378,-10.33,171.74298382814376,SHCI_PBE_D0,173.41,173.2,-1.6670161718562326
c_n,CN,176.07902289700462,-3.1900000000000004,172.88902289700462,SHCI_PBE_D0,178.58,178.12,-5.69097710299539
c_h2_triplet,CH2(3B1),189.8253547812376,-10.780000000000001,179.0453547812376,SHCI_PBE_D0,179.95,179.83,-0.904645218762397
si_o,SiO,189.57567471094063,-2.68,186.89567471094063,SHCI_PBE_D0,190.53,189.8,-3.634325289059376
si_h3,SiH3,225.75402928267135,-14.0,211.75402928267135,SHCI_PBE_D0,214.02,212.2,-2.2659707173286563
h2_o,H2O,233.09987544187993,-13.75,219.34987544187993,SHCI_PBE_D0,219.51,219.37,-0.1601245581200601
n2,N2,224.72661717991522,-3.5,221.22661717991522,SHCI_PBE_D0,225.62,224.94,-4.393382820084781
p_h3,PH3,238.05879934173302,-14.879999999999999,223.17879934173303,SHCI_PBE_D0,227.36,227.1,-4.181200658266988
h2_o2,H2O2,267.5368322786252,-17.26,250.2768322786252,SHCI_PBE_D0,252.33,252.21,-2.0531677213748196
s_o2,SO2,256.6151310396406,-6.17,250.4451310396406,SHCI_PBE_D0,255.0,254.46,-4.554868960359414
c_o,CO,257.7970728636336,-3.55,254.2470728636336,SHCI_PBE_D0,256.47,256.23,-2.2229271363664225
h_c_o,HCO,277.04363213846597,-8.68,268.36363213846596,SHCI_PBE_D0,270.92,270.76,-2.5563678615340564
n_h3,NH3,296.5235889618941,-21.6,274.9235889618941,SHCI_PBE_D0,276.97,276.59,-2.04641103810593
c_h3,CH3,306.9614986876939,-18.8,288.1614986876939,SHCI_PBE_D0,289.18,289.11,-1.018501312306114
h_c_n,HCN,308.43829005749706,-10.26,298.17829005749707,SHCI_PBE_D0,303.76,303.14,-5.5817099425029255
si_h4,SiH4,322.25564110017217,-20.4,301.8556411001722,SHCI_PBE_D0,304.27,302.6,-2.414358899827789
h2_c_o,H2CO,373.145974878408,-17.169999999999998,355.975974878408,SHCI_PBE_D0,357.88,357.48,-1.9040251215919852
c_h3_cl,CH3Cl,392.34448135083613,-24.59,367.75448135083616,SHCI_PBE_D0,371.53,371.35,-3.775518649163814
c_o2,CO2,386.75462142373607,-8.25,378.50462142373607,SHCI_PBE_D0,382.46,381.98,-3.955378576263911
c2_h2,C2H2,400.1839600842873,-16.96,383.22396008428734,SHCI_PBE_D0,388.84,388.64,-5.6160399157126335
c_h4,CH4,419.91674568566106,-28.009999999999998,391.90674568566106,SHCI_PBE_D0,392.56,392.47,-0.6532543143389375
n2_h4,N2H4,434.7023547435275,-33.19,401.5123547435275,SHCI_PBE_D0,406.6,404.81,-5.087645256472513
h3_c_s_h,H3CSH,470.8321951145688,-29.8,441.03219511456876,SHCI_PBE_D0,445.91,445.1,-4.87780488543126
h3_c_o_h,H3COH,512.4829523348025,-32.519999999999996,479.9629523348025,SHCI_PBE_D0,481.52,480.97,-1.5570476651975014
si2_h6,Si2H6,527.225082164821,-32.5,494.72508216482095,SHCI_PBE_D0,503.34,500.1,-8.614917835179028
c2_h4,C2H4,561.5124707008771,-32.16,529.3524707008771,SHCI_PBE_D0,532.09,532.04,-2.7375292991229117
c2_h6,C2H6,711.2970191507172,-46.79,664.5070191507173,SHCI_PBE_D0,666.97,666.19,-2.462980849282758
