species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.9095078283183,-0.2,16.7095078283183,SHCI_PBE_D0,16.85,17.0,-0.14049217168170003
li2,Li2,24.33591439489453,-0.5,23.83591439489453,SHCI_PBE_D0,23.84,23.9,-0.004085605105469625
f2,F2,39.06126667604411,-2.09,36.97126667604411,SHCI_PBE_D0,36.93,36.93,0.04126667604410983
be_h,BeH,51.23679479160871,-2.94,48.29679479160871,SHCI_PBE_D0,47.8,47.7,0.4967947916087141
li_h,LiH,58.42245045150514,-2.01,56.412450451505144,SHCI_PBE_D0,56.02,55.7,0.392450451505141
cl2,Cl2,57.437184904633945,-2.62,54.81718490463395,SHCI_PBE_D0,56.75,57.18,-1.9328150953660526
cl_f,ClF,63.58369911240585,-2.51,61.073699112405855,SHCI_PBE_D0,59.99,60.35,1.0836991124058528
cl_o,ClO,64.85476994863977,-2.0300000000000002,62.82476994863977,SHCI_PBE_D0,63.07,63.42,-0.24523005136023102
si2,Si2,74.07759039539229,-1.74,72.3375903953923,SHCI_PBE_D0,75.03,74.4,-2.692409604607704
n_h,NH,83.55335417752939,-4.71,78.84335417752939,SHCI_PBE_D0,78.55,78.36,0.29335417752939463
c_h,CH,84.70473099651626,-4.12,80.58473099651626,SHCI_PBE_D0,80.16,79.97,0.42473099651626
na_cl,NaCl,96.65130883733131,-1.6,95.05130883733132,SHCI_PBE_D0,96.85,97.4,-1.7986911626686748
s2,S2,101.19391352823305,-2.44,98.75391352823306,SHCI_PBE_D0,101.51,100.8,-2.756086471766949
o_h,OH,107.7015019741259,-5.53,102.1715019741259,SHCI_PBE_D0,101.81,101.73,0.36150197412590046
h_cl,HCl,107.2330126722326,-5.24,101.99301267223261,SHCI_PBE_D0,102.3,102.21,-0.3069873277673878
p2,P2,113.16544173362391,-1.36,111.80544173362391,SHCI_PBE_D0,116.29,116.0,-4.484558266376098
o2,O2,120.80095780099565,-2.87,117.93095780099564,SHCI_PBE_D0,117.95,117.99,-0.019042199004360327
s_o,SO,126.92650480755844,-2.7199999999999998,124.20650480755845,SHCI_PBE_D0,123.67,123.5,0.536504807558444
si_h2_triplet,SiH2(3B1),132.66005524881376,-8.3,124.36005524881377,SHCI_PBE_D0,124.42,123.4,-0.059944751186236545
h_f,HF,142.34644794050106,-6.44,135.90644794050107,SHCI_PBE_D0,135.37,135.27,0.5364479405010627
li_f,LiF,139.81156122505257,-1.9,137.91156122505257,SHCI_PBE_D0,137.34,137.6,0.5715612250525623
p_h2,PH2,154.04485191445534,-8.6,145.44485191445534,SHCI_PBE_D0,145.96,144.7,-0.5151480855446664
si_h2_singlet,SiH2(1A1),153.69487704820784,-7.8999999999999995,145.79487704820784,SHCI_PBE_D0,146.05,144.1,-0.25512295179217404
n_o,NO,153.49605244407405,-2.94,150.55605244407406,SHCI_PBE_D0,150.23,149.81,0.3260524440740653
h_o_cl,HOCl,167.16806828652324,-9.68,157.48806828652323,SHCI_PBE_D0,156.93,156.88,0.5580682865232234
c_s,CS,170.78723471533937,-2.63,168.15723471533937,SHCI_PBE_D0,169.67,170.4,-1.5127652846606168
c_h2_singlet,CH2(1A1),182.09030137902278,-10.459999999999999,171.63030137902277,SHCI_PBE_D0,171.1,170.83,0.5303013790227737
n_h2,NH2,183.44852476591905,-11.76,171.68852476591906,SHCI_PBE_D0,171.1,170.59,0.5885247659190611
h2_s,H2S,183.68268067730986,-10.33,173.35268067730985,SHCI_PBE_D0,173.41,173.2,-0.057319322690148056
c_n,CN,180.80620220988735,-3.1900000000000004,177.61620220988735,SHCI_PBE_D0,178.58,178.12,-0.9637977901126646
c_h2_triplet,CH2(3B1),191.55444996897873,-10.780000000000001,180.77444996897873,SHCI_PBE_D0,179.95,179.83,0.8244499689787403
si_o,SiO,192.91035789361976,-2.68,190.23035789361975,SHCI_PBE_D0,190.53,189.8,-0.29964210638024724
si_h3,SiH3,227.60576489564932,-14.0,213.60576489564932,SHCI_PBE_D0,214.02,212.2,-0.4142351043506949
h2_o,H2O,234.0792947277418,-13.75,220.3292947277418,SHCI_PBE_D0,219.51,219.37,0.8192947277418057
n2,N2,228.92853209404208,-3.5,225.42853209404208,SHCI_PBE_D0,225.62,224.94,-0.1914679059579214
p_h3,PH3,241.88708937519394,-14.879999999999999,227.00708937519394,SHCI_PBE_D0,227.36,227.1,-0.3529106248060714
h2_o2,H2O2,270.5136848083416,-17.26,253.25368480834163,SHCI_PBE_D0,252.33,252.21,0.9236848083416191
s_o2,SO2,260.89653882440336,-6.17,254.72653882440338,SHCI_PBE_D0,255.0,254.46,-0.27346117559662275
c_o,CO,260.6648399389245,-3.55,257.1148399389245,SHCI_PBE_D0,256.47,256.23,0.6448399389244628
h_c_o,HCO,280.44008538276796,-8.68,271.76008538276795,SHCI_PBE_D0,270.92,270.76,0.8400853827679384
n_h3,NH3,299.37657581708265,-21.6,277.77657581708263,SHCI_PBE_D0,276.97,276.59,0.806575817082603
c_h3,CH3,309.03094084249517,-18.8,290.23094084249516,SHCI_PBE_D0,289.18,289.11,1.0509408424951516
h_c_n,HCN,314.03283283111523,-10.26,303.77283283111524,SHCI_PBE_D0,303.76,303.14,0.012832831115247245
si_h4,SiH4,324.36337445536924,-20.4,303.96337445536926,SHCI_PBE_D0,304.27,302.6,-0.30662554463071956
h2_c_o,H2CO,376.23899564795215,-17.169999999999998,359.06899564795214,SHCI_PBE_D0,357.88,357.48,1.1889956479521402
c_h3_cl,CH3Cl,397.20264068112135,-24.59,372.6126406811214,SHCI_PBE_D0,371.53,371.35,1.0826406811214042
c_o2,CO2,391.89690081585854,-8.25,383.64690081585854,SHCI_PBE_D0,382.46,381.98,1.1869008158585643
c2_h2,C2H2,406.19664071176146,-16.96,389.2366407117615,SHCI_PBE_D0,388.84,388.64,0.3966407117615063
c_h4,CH4,421.99432636851253,-28.009999999999998,393.98432636851254,SHCI_PBE_D0,392.56,392.47,1.4243263685125385
n2_h4,N2H4,440.7265559642585,-33.19,407.5365559642585,SHCI_PBE_D0,406.6,404.81,0.9365559642585026
h3_c_s_h,H3CSH,476.9567433431952,-29.8,447.1567433431952,SHCI_PBE_D0,445.91,445.1,1.2467433431951918
h3_c_o_h,H3COH,516.1818504612568,-32.519999999999996,483.6618504612568,SHCI_PBE_D0,481.52,480.97,2.1418504612568086
si2_h6,Si2H6,534.29137222767,-32.5,501.79137222766997,SHCI_PBE_D0,503.34,500.1,-1.5486277723300077
c2_h4,C2H4,565.9052977237797,-32.16,533.7452977237797,SHCI_PBE_D0,532.09,532.04,1.655297723779654
c2_h6,C2H6,716.2626119251112,-46.79,669.4726119251112,SHCI_PBE_D0,666.97,666.19,2.5026119251111822
