species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.661812630949715,-0.2,17.461812630949716,SHCI_PBE_D0,16.85,17.0,0.6118126309497143
li2,Li2,24.41705252074372,-0.5,23.91705252074372,SHCI_PBE_D0,23.84,23.9,0.07705252074372027
f2,F2,38.37845433331878,-2.09,36.28845433331878,SHCI_PBE_D0,36.93,36.93,-0.6415456666812176
be_h,BeH,50.78399660571551,-2.94,47.84399660571551,SHCI_PBE_D0,47.8,47.7,0.043996605715513226
li_h,LiH,58.131781141689885,-2.01,56.12178114168989,SHCI_PBE_D0,56.02,55.7,0.10178114168988373
cl2,Cl2,59.985431577893955,-2.62,57.36543157789396,SHCI_PBE_D0,56.75,57.18,0.6154315778939576
cl_f,ClF,62.8598454004479,-2.51,60.349845400447904,SHCI_PBE_D0,59.99,60.35,0.35984540044790236
cl_o,ClO,64.9129873735094,-2.0300000000000002,62.882987373509394,SHCI_PBE_D0,63.07,63.42,-0.18701262649060624
si2,Si2,73.61827570492967,-1.74,71.87827570492968,SHCI_PBE_D0,75.03,74.4,-3.1517242950703235
n_h,NH,82.97038825201177,-4.71,78.26038825201178,SHCI_PBE_D0,78.55,78.36,-0.28961174798821787
c_h,CH,84.09533703635701,-4.12,79.975337036357,SHCI_PBE_D0,80.16,79.97,-0.1846629636429924
na_cl,NaCl,99.16740551761961,-1.6,97.56740551761962,SHCI_PBE_D0,96.85,97.4,0.7174055176196248
s2,S2,104.27759794572435,-2.44,101.83759794572435,SHCI_PBE_D0,101.51,100.8,0.3275979457243494
o_h,OH,107.17825421448798,-5.53,101.64825421448798,SHCI_PBE_D0,101.81,101.73,-0.161745785512025
h_cl,HCl,107.92603215434329,-5.24,102.6860321543433,SHCI_PBE_D0,102.3,102.21,0.3860321543432974
p2,P2,117.14717719912328,-1.36,115.78717719912328,SHCI_PBE_D0,116.29,116.0,-0.5028228008767286
o2,O2,120.1663323569466,-2.87,117.29633235694659,SHCI_PBE_D0,117.95,117.99,-0.6536676430534101
s_o,SO,126.57211222063636,-2.7199999999999998,123.85211222063636,SHCI_PBE_D0,123.67,123.5,0.18211222063635546
si_h2_triplet,SiH2(3B1),133.45750385044343,-8.3,125.15750385044343,SHCI_PBE_D0,124.42,123.4,0.7375038504434315
h_f,HF,141.7469604786882,-6.44,135.3069604786882,SHCI_PBE_D0,135.37,135.27,-0.06303952131179358
li_f,LiF,139.66057932875074,-1.9,137.76057932875074,SHCI_PBE_D0,137.34,137.6,0.42057932875073334
p_h2,PH2,154.9454488228752,-8.6,146.3454488228752,SHCI_PBE_D0,145.96,144.7,0.38544882287519044
si_h2_singlet,SiH2(1A1),154.25920446204597,-7.8999999999999995,146.35920446204597,SHCI_PBE_D0,146.05,144.1,0.30920446204595464
n_o,NO,152.22247186171123,-2.94,149.28247186171123,SHCI_PBE_D0,150.23,149.81,-0.9475281382887601
h_o_cl,HOCl,166.40652658590238,-9.68,156.72652658590238,SHCI_PBE_D0,156.93,156.88,-0.20347341409762976
c_s,CS,172.1049652202204,-2.63,169.4749652202204,SHCI_PBE_D0,169.67,170.4,-0.19503477977957573
c_h2_singlet,CH2(1A1),181.17409609486884,-10.459999999999999,170.71409609486884,SHCI_PBE_D0,171.1,170.83,-0.38590390513115835
n_h2,NH2,182.4593484494571,-11.76,170.69934844945712,SHCI_PBE_D0,171.1,170.59,-0.40065155054287516
h2_s,H2S,184.4265153494708,-10.33,174.0965153494708,SHCI_PBE_D0,173.41,173.2,0.6865153494707954
