species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.196420229505147,-0.2,16.996420229505148,SHCI_PBE_D0,16.85,17.0,0.14642022950514644
li2,Li2,24.19770658408432,-0.5,23.69770658408432,SHCI_PBE_D0,23.84,23.9,-0.142293415915681
f2,F2,38.04261126279919,-2.09,35.952611262799195,SHCI_PBE_D0,36.93,36.93,-0.9773887372008048
be_h,BeH,51.03090275847658,-2.94,48.09090275847658,SHCI_PBE_D0,47.8,47.7,0.29090275847658376
li_h,LiH,57.82856228872809,-2.01,55.81856228872809,SHCI_PBE_D0,56.02,55.7,-0.20143771127191457
cl2,Cl2,58.72138904353611,-2.62,56.10138904353611,SHCI_PBE_D0,56.75,57.18,-0.6486109564638909
cl_f,ClF,62.31997389951294,-2.51,59.80997389951294,SHCI_PBE_D0,59.99,60.35,-0.18002610048706202
cl_o,ClO,64.07673687290244,-2.0300000000000002,62.04673687290244,SHCI_PBE_D0,63.07,63.42,-1.0232631270975574
si2,Si2,72.34825300524845,-1.74,70.60825300524846,SHCI_PBE_D0,75.03,74.4,-4.421746994751544
n_h,NH,82.70805164128865,-4.71,77.99805164128865,SHCI_PBE_D0,78.55,78.36,-0.5519483587113427
c_h,CH,84.13471325585314,-4.12,80.01471325585314,SHCI_PBE_D0,80.16,79.97,-0.14528674414685838
na_cl,NaCl,98.34269491626364,-1.6,96.74269491626364,SHCI_PBE_D0,96.85,97.4,-0.10730508373634962
s2,S2,102.5715942136514,-2.44,100.1315942136514,SHCI_PBE_D0,101.51,100.8,-1.3784057863486083
o_h,OH,106.82140840186817,-5.53,101.29140840186817,SHCI_PBE_D0,101.81,101.73,-0.5185915981318345
h_cl,HCl,107.40649823547342,-5.24,102.16649823547343,SHCI_PBE_D0,102.3,102.21,-0.1335017645265708
p2,P2,114.75847453470851,-1.36,113.39847453470851,SHCI_PBE_D0,116.29,116.0,-2.891525465291494
o2,O2,119.52677470098038,-2.87,116.65677470098038,SHCI_PBE_D0,117.95,117.99,-1.2932252990196247
s_o,SO,125.61575640669021,-2.7199999999999998,122.89575640669021,SHCI_PBE_D0,123.67,123.5,-0.7742435933097909
si_h2_triplet,SiH2(3B1),132.7790719825216,-8.3,124.4790719825216,SHCI_PBE_D0,124.42,123.4,0.059071982521601285
h_f,HF,141.35949220372405,-6.44,134.91949220372405,SHCI_PBE_D0,135.37,135.27,-0.45050779627595716
li_f,LiF,138.7151861053095,-1.9,136.8151861053095,SHCI_PBE_D0,137.34,137.6,-0.5248138946905101
p_h2,PH2,153.7699102247141,-8.6,145.1699102247141,SHCI_PBE_D0,145.96,144.7,-0.7900897752859066
si_h2_singlet,SiH2(1A1),153.44063090329232,-7.8999999999999995,145.5406309032923,SHCI_PBE_D0,146.05,144.1,-0.5093690967077009
n_o,NO,151.35926982917925,-2.94,148.41926982917926,SHCI_PBE_D0,150.23,149.81,-1.810730170820733
h_o_cl,HOCl,165.5021787571537,-9.68,155.8221787571537,SHCI_PBE_D0,156.93,156.88,-1.1078212428463132
c_s,CS,170.85006549887586,-2.63,168.22006549887587,SHCI_PBE_D0,169.67,170.4,-1.449934501124119
c_h2_singlet,CH2(1A1),181.17644298029984,-10.459999999999999,170.71644298029983,SHCI_PBE_D0,171.1,170.83,-0.383557019700163
n_h2,NH2,181.96401129591612,-11.76,170.20401129591613,SHCI_PBE_D0,171.1,170.59,-0.8959887040838623
h2_s,H2S,183.47013443516147,-10.33,173.14013443516146,SHCI_PBE_D0,173.41,173.2,-0.26986556483853974
c_n,CN,179.72874097307692,-3.1900000000000004,176.53874097307693,SHCI_PBE_D0,178.58,178.12,-2.041259026923086
c_h2_triplet,CH2(3B1),190.93591585265668,-10.780000000000001,180.15591585265668,SHCI_PBE_D0,179.95,179.83,0.20591585265668755
si_o,SiO,191.68926607664793,-2.68,189.00926607664792,SHCI_PBE_D0,190.53,189.8,-1.5207339233520827
si_h3,SiH3,227.62425499378955,-14.0,213.62425499378955,SHCI_PBE_D0,214.02,212.2,-0.39574500621046127
