species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.065508204043372,-0.2,16.865508204043373,SHCI_PBE_D0,16.85,17.0,0.015508204043371165
li2,Li2,24.317290204868474,-0.5,23.817290204868474,SHCI_PBE_D0,23.84,23.9,-0.022709795131525823
f2,F2,37.42011621506121,-2.09,35.33011621506121,SHCI_PBE_D0,36.93,36.93,-1.5998837849387897
be_h,BeH,48.47577619431487,-2.94,45.53577619431487,SHCI_PBE_D0,47.8,47.7,-2.264223805685127
li_h,LiH,58.22166491727837,-2.01,56.21166491727837,SHCI_PBE_D0,56.02,55.7,0.19166491727836643
cl2,Cl2,57.85542927061368,-2.62,55.235429270613686,SHCI_PBE_D0,56.75,57.18,-1.514570729386314
cl_f,ClF,62.258707421803194,-2.51,59.748707421803196,SHCI_PBE_D0,59.99,60.35,-0.2412925781968056
cl_o,ClO,64.5383571178697,-2.0300000000000002,62.50835711786969,SHCI_PBE_D0,63.07,63.42,-0.5616428821303074
si2,Si2,74.80497701260455,-1.74,73.06497701260456,SHCI_PBE_D0,75.03,74.4,-1.965022987395443
n_h,NH,82.97119302036623,-4.71,78.26119302036624,SHCI_PBE_D0,78.55,78.36,-0.2888069796337618
c_h,CH,84.1070940783333,-4.12,79.9870940783333,SHCI_PBE_D0,80.16,79.97,-0.17290592166669683
na_cl,NaCl,96.45263370970972,-1.6,94.85263370970972,SHCI_PBE_D0,96.85,97.4,-1.9973662902902731
s2,S2,101.6172181161917,-2.44,99.1772181161917,SHCI_PBE_D0,101.51,100.8,-2.332781883808309
o_h,OH,107.32979877468189,-5.53,101.79979877468189,SHCI_PBE_D0,101.81,101.73,-0.01020122531811296
h_cl,HCl,108.01466420288484,-5.24,102.77466420288485,SHCI_PBE_D0,102.3,102.21,0.47466420288485267
p2,P2,113.41840207525122,-1.36,112.05840207525122,SHCI_PBE_D0,116.29,116.0,-4.231597924748783
o2,O2,119.24210954297631,-2.87,116.3721095429763,SHCI_PBE_D0,117.95,117.99,-1.577890457023699
s_o,SO,126.05988718448104,-2.7199999999999998,123.33988718448104,SHCI_PBE_D0,123.67,123.5,-0.33011281551895877
