species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.189192983903915,-0.2,16.989192983903916,SHCI_PBE_D0,16.85,17.0,0.13919298390391432
li2,Li2,24.37185077186219,-0.5,23.87185077186219,SHCI_PBE_D0,23.84,23.9,0.031850771862188765
f2,F2,38.88091061258862,-2.09,36.79091061258862,SHCI_PBE_D0,36.93,36.93,-0.13908938741138144
be_h,BeH,50.97308930912584,-2.94,48.03308930912584,SHCI_PBE_D0,47.8,47.7,0.23308930912584458
li_h,LiH,58.38725922823185,-2.01,56.37725922823185,SHCI_PBE_D0,56.02,55.7,0.35725922823184675
cl2,Cl2,57.95866260685636,-2.62,55.33866260685636,SHCI_PBE_D0,56.75,57.18,-1.41133739314364
cl_f,ClF,63.49064354809825,-2.51,60.98064354809825,SHCI_PBE_D0,59.99,60.35,0.9906435480982481
cl_o,ClO,64.94613745654831,-2.0300000000000002,62.91613745654831,SHCI_PBE_D0,63.07,63.42,-0.15386254345168737
si2,Si2,74.52697309613757,-1.74,72.78697309613757,SHCI_PBE_D0,75.03,74.4,-2.243026903862429
n_h,NH,83.51920171901114,-4.71,78.80920171901114,SHCI_PBE_D0,78.55,78.36,0.25920171901114486
c_h,CH,84.6327667573457,-4.12,80.5127667573457,SHCI_PBE_D0,80.16,79.97,0.3527667573457052
na_cl,NaCl,96.9094032172724,-1.6,95.3094032172724,SHCI_PBE_D0,96.85,97.4,-1.5405967827275902
s2,S2,100.89484513522183,-2.44,98.45484513522183,SHCI_PBE_D0,101.51,100.8,-3.0551548647781743
o_h,OH,107.67151344632735,-5.53,102.14151344632735,SHCI_PBE_D0,101.81,101.73,0.33151344632734947
h_cl,HCl,107.74625733472442,-5.24,102.50625733472442,SHCI_PBE_D0,102.3,102.21,0.20625733472442676
p2,P2,113.3032516708872,-1.36,111.94325167088721,SHCI_PBE_D0,116.29,116.0,-4.346748329112799
o2,O2,119.97731986931683,-2.87,117.10731986931683,SHCI_PBE_D0,117.95,117.99,-0.8426801306831777
s_o,SO,126.31622836700767,-2.7199999999999998,123.59622836700767,SHCI_PBE_D0,123.67,123.5,-0.07377163299233302
si_h2_triplet,SiH2(3B1),132.73482556037905,-8.3,124.43482556037905,SHCI_PBE_D0,124.42,123.4,0.014825560379051694
h_f,HF,142.27985679136617,-6.44,135.83985679136617,SHCI_PBE_D0,135.37,135.27,0.4698567913661691
li_f,LiF,139.55618655144457,-1.9,137.65618655144456,SHCI_PBE_D0,137.34,137.6,0.3161865514445594
p_h2,PH2,154.6952103005252,-8.6,146.0952103005252,SHCI_PBE_D0,145.96,144.7,0.13521030052518768
si_h2_singlet,SiH2(1A1),153.83199164148658,-7.8999999999999995,145.93199164148658,SHCI_PBE_D0,146.05,144.1,-0.1180083585134355
n_o,NO,152.55002413147395,-2.94,149.61002413147395,SHCI_PBE_D0,150.23,149.81,-0.6199758685260406
h_o_cl,HOCl,167.30674156061082,-9.68,157.6267415606108,SHCI_PBE_D0,156.93,156.88,0.6967415606108034
c_s,CS,170.68072639273976,-2.63,168.05072639273976,SHCI_PBE_D0,169.67,170.4,-1.6192736072602258
c_h2_singlet,CH2(1A1),181.97819981285596,-10.459999999999999,171.51819981285595,SHCI_PBE_D0,171.1,170.83,0.41819981285595986
n_h2,NH2,183.31159903414948,-11.76,171.5515990341495,SHCI_PBE_D0,171.1,170.59,0.45159903414949554
