species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.972128157740066,-0.2,16.772128157740067,SHCI_PBE_D0,16.85,17.0,-0.07787184225993471
li2,Li2,24.414826755932925,-0.5,23.914826755932925,SHCI_PBE_D0,23.84,23.9,0.07482675593292498
f2,F2,38.000545833244075,-2.09,35.91054583324407,SHCI_PBE_D0,36.93,36.93,-1.0194541667559278
be_h,BeH,50.04710420447653,-2.94,47.107104204476535,SHCI_PBE_D0,47.8,47.7,-0.6928957955234623
li_h,LiH,58.168167209516675,-2.01,56.15816720951668,SHCI_PBE_D0,56.02,55.7,0.1381672095166735
si2,Si2,75.94629963079629,-1.74,74.2062996307963,SHCI_PBE_D0,75.03,74.4,-0.8237003692037064
n_h,NH,82.94215755144968,-4.71,78.23215755144969,SHCI_PBE_D0,78.55,78.36,-0.31784244855030863
c_h,CH,84.036395971934,-4.12,79.916395971934,SHCI_PBE_D0,80.16,79.97,-0.24360402806600234
s2,S2,103.59794370195327,-2.44,101.15794370195327,SHCI_PBE_D0,101.51,100.8,-0.3520562980467332
o_h,OH,107.17281444090607,-5.53,101.64281444090606,SHCI_PBE_D0,101.81,101.73,-0.16718555909393729
p2,P2,116.30802738457533,-1.36,114.94802738457533,SHCI_PBE_D0,116.29,116.0,-1.3419726154246803
o2,O2,119.70109574037602,-2.87,116.83109574037601,SHCI_PBE_D0,117.95,117.99,-1.1189042596239887
s_o,SO,126.96230462527214,-2.7199999999999998,124.24230462527214,SHCI_PBE_D0,123.67,123.5,0.5723046252721389
si_h2_triplet,SiH2(3B1),133.45691130895182,-8.3,125.15691130895182,SHCI_PBE_D0,124.42,123.4,0.736911308951818
h_f,HF,141.73239407239743,-6.44,135.29239407239743,SHCI_PBE_D0,135.37,135.27,-0.07760592760257623
li_f,LiF,139.77909992401536,-1.9,137.87909992401535,SHCI_PBE_D0,137.34,137.6,0.5390999240153462
p_h2,PH2,155.00554236244975,-8.6,146.40554236244975,SHCI_PBE_D0,145.96,144.7,0.44554236244974277
si_h2_singlet,SiH2(1A1),154.37895382632655,-7.8999999999999995,146.47895382632655,SHCI_PBE_D0,146.05,144.1,0.4289538263265342
n_o,NO,152.26738118864895,-2.94,149.32738118864896,SHCI_PBE_D0,150.23,149.81,-0.902618811351033
c_s,CS,172.16474057415817,-2.63,169.53474057415818,SHCI_PBE_D0,169.67,170.4,-0.1352594258418094
c_h2_singlet,CH2(1A1),181.12233285278373,-10.459999999999999,170.66233285278372,SHCI_PBE_D0,171.1,170.83,-0.4376671472162741
n_h2,NH2,182.36912239128586,-11.76,170.60912239128587,SHCI_PBE_D0,171.1,170.59,-0.4908776087141291
h2_s,H2S,184.60018506920684,-10.33,174.27018506920683,SHCI_PBE_D0,173.41,173.2,0.8601850692068354
c_n,CN,180.2451665777112,-3.1900000000000004,177.0551665777112,SHCI_PBE_D0,178.58,178.12,-1.5248334222888218
c_h2_triplet,CH2(3B1),190.75599463883637,-10.780000000000001,179.97599463883637,SHCI_PBE_D0,179.95,179.83,0.02599463883638009
si_o,SiO,193.91412921197767,-2.68,191.23412921197766,SHCI_PBE_D0,190.53,189.8,0.7041292119776585
si_h3,SiH3,229.0661977561254,-14.0,215.0661977561254,SHCI_PBE_D0,214.02,212.2,1.0461977561253946
h2_o,H2O,233.09959056512426,-13.75,219.34959056512426,SHCI_PBE_D0,219.51,219.37,-0.16040943487573145
n2,N2,227.9363580424434,-3.5,224.4363580424434,SHCI_PBE_D0,225.62,224.94,-1.1836419575566026
p_h3,PH3,243.14266282274355,-14.879999999999999,228.26266282274355,SHCI_PBE_D0,227.36,227.1,0.9026628227435367
h2_o2,H2O2,268.9678088554056,-17.26,251.70780885540563,SHCI_PBE_D0,252.33,252.21,-0.6221911445943817
s_o2,SO2,261.340245122706,-6.17,255.170245122706,SHCI_PBE_D0,255.0,254.46,0.17024512270600667
c_o,CO,259.6871301300586,-3.55,256.1371301300586,SHCI_PBE_D0,256.47,256.23,-0.332869869941419
h_c_o,HCO,279.25370436405217,-8.68,270.57370436405216,SHCI_PBE_D0,270.92,270.76,-0.34629563594785395
n_h3,NH3,297.88464909008314,-21.6,276.2846490900831,SHCI_PBE_D0,276.97,276.59,-0.685350909916906
c_h3,CH3,307.93068355633187,-18.8,289.13068355633186,SHCI_PBE_D0,289.18,289.11,-0.0493164436681468
h_c_n,HCN,312.9835157914141,-10.26,302.7235157914141,SHCI_PBE_D0,303.76,303.14,-1.0364842085858754
si_h4,SiH4,326.18844996754524,-20.4,305.78844996754526,SHCI_PBE_D0,304.27,302.6,1.5184499675452798
h2_c_o,H2CO,374.62475554799147,-17.169999999999998,357.45475554799145,SHCI_PBE_D0,357.88,357.48,-0.4252444520085419
c_o2,CO2,390.25803068413717,-8.25,382.00803068413717,SHCI_PBE_D0,382.46,381.98,-0.4519693158628115
c2_h2,C2H2,405.09621459856265,-16.96,388.1362145985627,SHCI_PBE_D0,388.84,388.64,-0.7037854014373011
c_h4,CH4,420.55686168449955,-28.009999999999998,392.54686168449956,SHCI_PBE_D0,392.56,392.47,-0.013138315500441422
n2_h4,N2H4,438.0722554992252,-33.19,404.8822554992252,SHCI_PBE_D0,406.6,404.81,-1.7177445007748133
h3_c_s_h,H3CSH,476.37988619289024,-29.8,446.5798861928902,SHCI_PBE_D0,445.91,445.1,0.6698861928902033
h3_c_o_h,H3COH,513.9204173934418,-32.519999999999996,481.4004173934418,SHCI_PBE_D0,481.52,480.97,-0.11958260655819686
si2_h6,Si2H6,538.4626563386888,-32.5,505.9626563386888,SHCI_PBE_D0,503.34,500.1,2.6226563386888415
c2_h4,C2H4,563.8391297339494,-32.16,531.6791297339495,SHCI_PBE_D0,532.09,532.04,-0.41087026605055144
