species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.960612384389485,-0.2,16.760612384389486,SHCI_PBE_D0,16.85,17.0,-0.08938761561051578
li2,Li2,24.425668158050602,-0.5,23.925668158050602,SHCI_PBE_D0,23.84,23.9,0.08566815805060202
f2,F2,37.79327523081809,-2.09,35.70327523081809,SHCI_PBE_D0,36.93,36.93,-1.2267247691819065
be_h,BeH,49.665622856230534,-2.94,46.72562285623054,SHCI_PBE_D0,47.8,47.7,-1.0743771437694605
cl2,Cl2,58.43205251106745,-2.62,55.81205251106745,SHCI_PBE_D0,56.75,57.18,-0.9379474889325508
cl_f,ClF,62.77207825627492,-2.51,60.262078256274926,SHCI_PBE_D0,59.99,60.35,0.27207825627492355
cl_o,ClO,64.87022672495662,-2.0300000000000002,62.84022672495662,SHCI_PBE_D0,63.07,63.42,-0.22977327504337808
si2,Si2,74.64206941933072,-1.74,72.90206941933073,SHCI_PBE_D0,75.03,74.4,-2.127930580669272
n_h,NH,83.04808961640259,-4.71,78.3380896164026,SHCI_PBE_D0,78.55,78.36,-0.21191038359739878
c_h,CH,84.05253503556074,-4.12,79.93253503556073,SHCI_PBE_D0,80.16,79.97,-0.2274649644392639
na_cl,NaCl,96.76941353682719,-1.6,95.1694135368272,SHCI_PBE_D0,96.85,97.4,-1.6805864631728014
s2,S2,102.36255007932326,-2.44,99.92255007932326,SHCI_PBE_D0,101.51,100.8,-1.5874499206767467
o_h,OH,107.37723801087861,-5.53,101.84723801087861,SHCI_PBE_D0,101.81,101.73,0.03723801087861034
h_cl,HCl,107.94550676213181,-5.24,102.70550676213182,SHCI_PBE_D0,102.3,102.21,0.4055067621318216
p2,P2,113.13081939866122,-1.36,111.77081939866122,SHCI_PBE_D0,116.29,116.0,-4.519180601338789
o2,O2,119.95031383570989,-2.87,117.08031383570989,SHCI_PBE_D0,117.95,117.99,-0.8696861642901155
s_o,SO,126.7951947327412,-2.7199999999999998,124.0751947327412,SHCI_PBE_D0,123.67,123.5,0.4051947327411938
si_h2_triplet,SiH2(3B1),133.0345090049054,-8.3,124.7345090049054,SHCI_PBE_D0,124.42,123.4,0.31450900490540334
h_f,HF,141.82674541737575,-6.44,135.38674541737575,SHCI_PBE_D0,135.37,135.27,0.016745417375744864
li_f,LiF,139.13858715783797,-1.9,137.23858715783797,SHCI_PBE_D0,137.34,137.6,-0.10141284216203417
p_h2,PH2,154.35365220382158,-8.6,145.7536522038216,SHCI_PBE_D0,145.96,144.7,-0.20634779617842014
si_h2_singlet,SiH2(1A1),154.038851690229,-7.8999999999999995,146.138851690229,SHCI_PBE_D0,146.05,144.1,0.08885169022897799
n_o,NO,152.60793191369135,-2.94,149.66793191369135,SHCI_PBE_D0,150.23,149.81,-0.562068086308642
h_o_cl,HOCl,166.6994168355888,-9.68,157.0194168355888,SHCI_PBE_D0,156.93,156.88,0.08941683558879276
c_s,CS,171.59139849788957,-2.63,168.96139849788958,SHCI_PBE_D0,169.67,170.4,-0.7086015021104117
c_h2_singlet,CH2(1A1),181.27869526129876,-10.459999999999999,170.81869526129876,SHCI_PBE_D0,171.1,170.83,-0.2813047387012375
n_h2,NH2,182.62049296082702,-11.76,170.86049296082703,SHCI_PBE_D0,171.1,170.59,-0.23950703917296323
h2_s,H2S,184.92720278686218,-10.33,174.59720278686217,SHCI_PBE_D0,173.41,173.2,1.1872027868621728
c_n,CN,180.25236019509754,-3.1900000000000004,177.06236019509754,SHCI_PBE_D0,178.58,178.12,-1.5176398049024726
c_h2_triplet,CH2(3B1),190.84738303405183,-10.780000000000001,180.06738303405183,SHCI_PBE_D0,179.95,179.83,0.1173830340518407
si_o,SiO,192.9542638692911,-2.68,190.2742638692911,SHCI_PBE_D0,190.53,189.8,-0.2557361307088968
si_h3,SiH3,228.63682614485083,-14.0,214.63682614485083,SHCI_PBE_D0,214.02,212.2,0.616826144850819
h2_o,H2O,233.51609865574713,-13.75,219.76609865574713,SHCI_PBE_D0,219.51,219.37,0.2560986557471381
n2,N2,228.55400977188677,-3.5,225.05400977188677,SHCI_PBE_D0,225.62,224.94,-0.5659902281132361
p_h3,PH3,242.48470457405884,-14.879999999999999,227.60470457405884,SHCI_PBE_D0,227.36,227.1,0.2447045740588294
h2_o2,H2O2,269.5185806175722,-17.26,252.2585806175722,SHCI_PBE_D0,252.33,252.21,-0.07141938242781976
s_o2,SO2,261.1891951963057,-6.17,255.01919519630573,SHCI_PBE_D0,255.0,254.46,0.019195196305730633
