species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.4440565296892,-0.2,17.2440565296892,SHCI_PBE_D0,16.85,17.0,0.39405652968919824
li2,Li2,24.166796426854017,-0.5,23.666796426854017,SHCI_PBE_D0,23.84,23.9,-0.17320357314598311
f2,F2,36.98214328939275,-2.09,34.89214328939275,SHCI_PBE_D0,36.93,36.93,-2.037856710607251
be_h,BeH,49.51520481296221,-2.94,46.57520481296221,SHCI_PBE_D0,47.8,47.7,-1.2247951870377847
li_h,LiH,57.80679672415129,-2.01,55.79679672415129,SHCI_PBE_D0,56.02,55.7,-0.2232032758487108
cl2,Cl2,56.48437510341059,-2.62,53.864375103410595,SHCI_PBE_D0,56.75,57.18,-2.8856248965894054
cl_f,ClF,62.27902677589534,-2.51,59.76902677589534,SHCI_PBE_D0,59.99,60.35,-0.22097322410466091
cl_o,ClO,63.01600105020214,-2.0300000000000002,60.98600105020214,SHCI_PBE_D0,63.07,63.42,-2.0839989497978593
si2,Si2,69.06575156958763,-1.74,67.32575156958764,SHCI_PBE_D0,75.03,74.4,-7.704248430412363
n_h,NH,81.8263415500376,-4.71,77.1163415500376,SHCI_PBE_D0,78.55,78.36,-1.4336584499623939
c_h,CH,83.2029882730989,-4.12,79.08298827309889,SHCI_PBE_D0,80.16,79.97,-1.0770117269011052
na_cl,NaCl,95.48028804390789,-1.6,93.8802880439079,SHCI_PBE_D0,96.85,97.4,-2.969711956092098
s2,S2,97.53912096062747,-2.44,95.09912096062747,SHCI_PBE_D0,101.51,100.8,-6.4108790393725315
o_h,OH,106.62450992174382,-5.53,101.09450992174382,SHCI_PBE_D0,101.81,101.73,-0.715490078256181
h_cl,HCl,107.43126510884896,-5.24,102.19126510884897,SHCI_PBE_D0,102.3,102.21,-0.10873489115103041
p2,P2,106.13579837590673,-1.36,104.77579837590673,SHCI_PBE_D0,116.29,116.0,-11.514201624093275
o2,O2,118.66976217088725,-2.87,115.79976217088725,SHCI_PBE_D0,117.95,117.99,-2.150237829112754
s_o,SO,125.79033109359794,-2.7199999999999998,123.07033109359794,SHCI_PBE_D0,123.67,123.5,-0.5996689064020586
si_h2_triplet,SiH2(3B1),132.24169763366012,-8.3,123.94169763366013,SHCI_PBE_D0,124.42,123.4,-0.4783023663398751
h_f,HF,142.14189534076576,-6.44,135.70189534076576,SHCI_PBE_D0,135.37,135.27,0.33189534076575455
li_f,LiF,137.5562812672673,-1.9,135.6562812672673,SHCI_PBE_D0,137.34,137.6,-1.6837187327327001
p_h2,PH2,151.439149571384,-8.6,142.839149571384,SHCI_PBE_D0,145.96,144.7,-3.120850428615995
si_h2_singlet,SiH2(1A1),152.5052941957088,-7.8999999999999995,144.6052941957088,SHCI_PBE_D0,146.05,144.1,-1.4447058042912033
n_o,NO,150.308617969522,-2.94,147.368617969522,SHCI_PBE_D0,150.23,149.81,-2.8613820304779836
h_o_cl,HOCl,164.8135295364995,-9.68,155.13352953649948,SHCI_PBE_D0,156.93,156.88,-1.7964704635005262
c_s,CS,167.8430769296028,-2.63,165.2130769296028,SHCI_PBE_D0,169.67,170.4,-4.456923070397181
c_h2_singlet,CH2(1A1),179.86104362291312,-10.459999999999999,169.4010436229131,SHCI_PBE_D0,171.1,170.83,-1.698956377086887
h2_s,H2S,182.60360887151586,-10.33,172.27360887151585,SHCI_PBE_D0,173.41,173.2,-1.1363911284841492
c_n,CN,176.1434120162537,-3.1900000000000004,172.9534120162537,SHCI_PBE_D0,178.58,178.12,-5.626587983746305
c_h2_triplet,CH2(3B1),189.84244870155695,-10.780000000000001,179.06244870155695,SHCI_PBE_D0,179.95,179.83,-0.8875512984430429
